Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,6.2,13.3,-1.0,0.0,1023.7,124,4,1,1
02/01/2016,8.8,18.8,-1.2,0.0,1018.9,163,5,1,2
03/01/2016,6.2,12.7,-0.3,0.0,1022.5,83,4,1,3
04/01/2016,2.1,4.1,0.1,0.0,1028.1,70,11,1,4
05/01/2016,2.1,3.0,1.2,0.0,1029.7,90,5,1,5
06/01/2016,6.2,10.2,2.2,0.0,1031.5,102,6,1,6
07/01/2016,0.7,4.0,-2.6,0.0,1030.5,127,5,1,7
08/01/2016,0.3,5.6,-5.0,0.0,1028.6,126,7,1,8
09/01/2016,-0.4,3.9,-4.7,0.0,1026.0,112,4,1,9
10/01/2016,-1.0,1.7,-3.7,0.0,1029.6,66,8,1,10
12/01/2016,-0.8,1.6,-3.3,0.0,1031.9,198,3,1,12
13/01/2016,0.8,7.6,-6.1,0.0,1025.7,267,12,1,13
14/01/2016,4.1,8.8,-0.6,0.0,1021.8,267,11,1,14
15/01/2016,4.6,12.2,-3.0,0.0,1017.5,240,5,1,15
16/01/2016,1.7,5.7,-2.3,0.0,1020.7,92,5,1,16
17/01/2016,0.6,3.1,-1.9,0.0,1025.3,68,8,1,17
18/01/2016,0.2,5.4,-5.0,0.0,1028.5,275,10,1,18
19/01/2016,-0.9,4.8,-6.6,0.0,1031.4,98,5,1,19
20/01/2016,-0.7,3.4,-4.7,0.0,1032.5,120,5,1,20
21/01/2016,0.8,5.7,-4.0,0.0,1031.8,127,8,1,21
22/01/2016,-3.1,-1.7,-4.6,1.7,1043.0,66,8,1,22
23/01/2016,-5.5,-1.6,-9.3,0.0,1045.2,298,20,1,23
24/01/2016,-5.2,-1.4,-9.1,0.0,1042.6,274,19,1,24
25/01/2016,0.2,4.6,-4.2,0.0,1032.4,270,15,1,25
26/01/2016,3.0,7.0,-0.9,0.0,1028.8,272,7,1,26
27/01/2016,0.8,9.0,-7.3,0.0,1025.8,143,3,1,27
28/01/2016,5.0,8.3,1.6,0.0,1027.9,69,6,1,28
01/02/2016,-1.8,5.7,-9.2,0.0,1036.7,246,6,2,1
02/02/2016,1.4,10.1,-7.2,0.0,1030.2,176,4,2,2
03/02/2016,2.4,10.1,-5.3,0.0,1028.8,144,5,2,3
04/02/2016,3.8,10.1,-2.5,0.0,1029.3,114,5,2,4
05/02/2016,3.5,9.5,-2.4,0.0,1032.8,288,14,2,5
06/02/2016,5.0,10.0,-0.1,0.0,1030.3,281,9,2,6
07/02/2016,4.7,12.3,-3.0,0.0,1022.6,261,9,2,7
08/02/2016,10.2,20.5,-0.1,0.0,1017.4,268,7,2,8
09/02/2016,8.3,16.1,0.5,0.0,1018.7,50,5,2,9
12/02/2016,6.2,7.6,4.9,20.9,1014.5,313,14,2,12
13/02/2016,3.5,5.7,1.3,0.3,1027.7,296,12,2,13
14/02/2016,1.8,3.4,0.2,0.0,1034.9,277,17,2,14
15/02/2016,3.0,7.1,-1.2,0.0,1030.7,277,19,2,15
16/02/2016,6.8,11.5,2.0,0.0,1027.1,270,15,2,16
17/02/2016,9.4,15.0,3.8,0.0,1023.5,266,8,2,17
18/02/2016,9.0,15.9,2.1,0.0,1023.5,242,8,2,18
19/02/2016,8.7,12.8,4.6,0.0,1030.2,283,14,2,19
20/02/2016,6.2,8.8,3.5,0.0,1029.5,194,9,2,20
21/02/2016,3.0,5.7,0.2,0.6,1027.4,180,6,2,21
22/02/2016,8.1,14.3,1.8,0.0,1029.3,299,7,2,22
23/02/2016,5.2,8.2,2.2,0.0,1038.1,71,7,2,23
24/02/2016,4.8,12.2,-2.6,0.0,1035.4,200,5,2,24
25/02/2016,8.7,18.0,-0.7,0.0,1030.4,273,5,2,25
26/02/2016,9.4,15.8,3.0,0.0,1024.2,133,6,2,26
27/02/2016,9.2,14.9,3.4,0.0,1022.6,64,10,2,27
28/02/2016,8.1,11.9,4.3,0.0,1031.7,87,10,2,28
01/03/2016,8.0,15.0,0.9,0.0,1024.5,143,5,3,1
02/03/2016,13.2,22.6,3.7,0.0,1018.5,238,6,3,2
03/03/2016,14.8,25.2,4.4,0.0,1013.5,164,7,3,3
04/03/2016,14.6,22.6,6.6,0.0,1016.3,25,8,3,4
05/03/2016,13.3,15.8,10.9,0.0,1020.4,124,8,3,5
06/03/2016,12.5,16.4,8.6,0.3,1015.4,169,5,3,6
08/03/2016,8.3,11.3,5.4,0.0,1028.2,66,17,3,8
09/03/2016,4.1,6.1,2.1,0.0,1034.0,52,7,3,9
10/03/2016,6.2,10.5,1.8,0.0,1031.2,283,10,3,10
11/03/2016,8.3,14.4,2.3,0.0,1021.7,170,10,3,11
12/03/2016,9.7,13.4,5.9,0.0,1017.7,184,8,3,12
13/03/2016,10.3,14.5,6.1,0.0,1026.3,70,5,3,13
14/03/2016,8.4,16.4,0.5,0.0,1023.6,165,9,3,14
15/03/2016,11.1,15.2,7.0,0.0,1017.7,156,7,3,15
16/03/2016,10.8,18.0,3.5,0.0,1016.8,173,6,3,16
17/03/2016,14.3,19.8,8.9,0.0,1011.8,159,6,3,17
18/03/2016,15.6,23.8,7.4,0.0,1012.7,92,6,3,18
19/03/2016,15.1,22.7,7.5,0.0,1019.3,94,10,3,19
20/03/2016,14.2,17.8,10.7,0.0,1024.3,74,13,3,20
21/03/2016,12.7,18.9,6.4,0.0,1021.7,112,6,3,21
22/03/2016,12.6,18.7,6.5,0.0,1020.8,79,10,3,22
23/03/2016,12.8,15.2,10.5,0.0,1031.1,79,10,3,23
26/03/2016,12.9,17.7,8.2,0.0,1026.3,247,8,3,26
27/03/2016,12.9,22.2,3.7,0.0,1021.0,208,9,3,27
28/03/2016,17.2,25.7,8.7,0.0,1014.1,234,9,3,28
01/04/2016,20.7,28.2,13.2,0.0,1008.6,96,6,4,1
02/04/2016,16.3,18.0,14.6,0.3,1017.7,46,17,4,2
03/04/2016,14.2,16.6,11.8,0.0,1020.7,86,7,4,3
04/04/2016,14.2,18.4,10.1,0.1,1014.4,166,8,4,4
05/04/2016,15.7,19.8,11.6,3.4,1013.2,143,5,4,5
06/04/2016,16.1,18.5,13.6,3.8,1010.0,294,6,4,6
07/04/2016,19.1,26.1,12.1,0.0,1013.9,226,5,4,7
08/04/2016,17.6,23.6,11.6,0.0,1015.2,76,5,4,8
09/04/2016,21.2,29.0,13.5,0.0,1010.0,200,6,4,9
10/04/2016,17.2,20.9,13.6,0.0,1015.2,68,12,4,10
11/04/2016,14.6,17.7,11.4,0.0,1013.8,109,6,4,11
13/04/2016,23.2,29.8,16.7,0.0,1006.7,236,8,4,13
14/04/2016,20.6,25.2,16.0,0.0,1012.4,101,7,4,14
15/04/2016,20.0,25.6,14.4,16.8,1007.6,105,11,4,15
16/04/2016,16.9,20.7,13.2,6.9,1011.5,88,7,4,16
17/04/2016,16.9,22.2,11.6,0.0,1014.4,266,7,4,17
18/04/2016,15.3,22.3,8.4,0.0,1014.0,127,10,4,18
19/04/2016,19.4,24.2,14.5,0.0,1013.0,143,7,4,19
20/04/2016,18.8,20.7,16.9,0.0,1012.4,320,5,4,20
21/04/2016,21.3,31.2,11.4,0.0,1007.1,247,7,4,21
22/04/2016,19.9,26.5,13.3,2.8,1008.7,38,9,4,22
23/04/2016,18.7,21.5,15.9,8.3,1013.9,118,6,4,23
24/04/2016,18.6,23.6,13.6,0.0,1014.0,164,7,4,24
26/04/2016,18.9,21.4,16.3,0.0,1013.9,78,6,4,26
28/04/2016,17.8,21.8,13.7,0.0,1016.9,105,5,4,28
01/05/2016,25.8,30.0,21.6,0.0,1001.8,155,10,5,1
03/05/2016,21.1,28.5,13.7,0.0,1008.0,220,10,5,3
04/05/2016,23.9,30.8,17.0,0.0,1003.5,130,10,5,4
05/05/2016,27.3,33.8,20.8,0.0,1004.4,72,8,5,5
06/05/2016,23.4,25.4,21.5,0.0,1014.0,50,10,5,6
07/05/2016,21.8,24.0,19.6,3.7,1018.1,5,12,5,7
08/05/2016,15.2,16.8,13.6,0.7,1014.9,120,6,5,8
09/05/2016,15.4,17.8,13.1,0.1,1012.3,76,5,5,9
10/05/2016,19.5,25.8,13.2,0.0,1010.0,152,9,5,10
11/05/2016,23.3,30.3,16.3,0.0,1001.4,177,13,5,11
12/05/2016,23.6,28.7,18.5,0.6,1015.8,48,9,5,12
13/05/2016,17.1,21.4,12.7,8.2,1019.9,100,7,5,13
14/05/2016,16.4,18.3,14.6,13.7,1017.8,285,8,5,14
15/05/2016,19.9,25.9,13.9,0.0,1016.5,251,8,5,15
16/05/2016,20.3,30.0,10.6,0.0,1012.1,197,7,5,16
17/05/2016,20.9,28.2,13.7,0.0,1011.6,156,11,5,17
18/05/2016,23.5,28.1,18.9,0.0,1012.5,94,8,5,18
19/05/2016,21.9,26.6,17.2,0.0,1012.6,56,7,5,19
20/05/2016,22.6,24.9,20.2,0.0,1015.2,60,7,5,20
21/05/2016,23.6,28.9,18.4,0.0,1017.3,81,10,5,21
22/05/2016,21.9,27.9,15.9,0.1,1015.1,135,7,5,22
24/05/2016,25.1,31.0,19.1,0.0,1005.3,222,9,5,24
25/05/2016,25.2,29.8,20.6,0.0,1009.3,351,11,5,25
26/05/2016,23.4,25.8,20.9,1.3,1012.2,264,9,5,26
27/05/2016,18.5,21.4,15.6,17.5,1012.7,253,5,5,27
28/05/2016,21.1,27.1,15.0,0.0,1006.9,261,3,5,28
