Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,11.2,12.9,9.6,0.0,1027.2,346,4,1,1
04/01/2016,12.3,14.7,10.0,0.0,1020.7,272,5,1,4
06/01/2016,10.2,10.5,9.8,3.5,1023.9,334,4,1,6
07/01/2016,9.8,10.6,9.0,1.5,1025.9,311,5,1,7
08/01/2016,9.0,9.5,8.5,1.6,1022.3,341,5,1,8
09/01/2016,8.8,9.1,8.4,3.1,1020.9,311,5,1,9
10/01/2016,9.6,10.6,8.6,0.2,1022.8,311,3,1,10
12/01/2016,10.4,11.6,9.2,0.0,1022.9,30,6,1,12
13/01/2016,10.2,11.2,9.1,1.1,1022.6,19,5,1,13
14/01/2016,8.9,10.0,7.9,0.2,1022.6,312,5,1,14
15/01/2016,10.9,13.3,8.5,0.0,1015.0,343,6,1,15
17/01/2016,10.9,14.4,7.5,0.0,1018.3,301,5,1,17
18/01/2016,9.7,12.5,6.9,0.0,1020.1,294,4,1,18
19/01/2016,10.3,11.1,9.5,0.1,1019.3,352,5,1,19
20/01/2016,8.8,10.4,7.2,0.9,1023.2,330,6,1,20
21/01/2016,6.7,7.3,6.1,3.9,1023.1,353,6,1,21
22/01/2016,5.5,6.4,4.7,19.5,1032.8,338,9,1,22
23/01/2016,1.0,1.7,0.3,5.2,1043.1,308,6,1,23
24/01/2016,3.4,5.9,0.8,0.0,1044.2,320,6,1,24
25/01/2016,3.1,6.2,0.1,0.0,1034.3,322,5,1,25
26/01/2016,5.0,6.5,3.4,0.0,1026.9,314,3,1,26
27/01/2016,5.6,6.5,4.7,0.0,1021.9,312,5,1,27
28/01/2016,5.2,6.5,3.9,0.2,1024.5,316,5,1,28
01/02/2016,6.1,6.5,5.7,6.4,1032.6,306,6,2,1
02/02/2016,7.7,9.9,5.5,0.0,1027.7,319,5,2,2
03/02/2016,6.7,7.5,5.8,0.2,1026.4,297,4,2,3
05/02/2016,9.1,11.4,6.8,0.0,1032.8,278,4,2,5
06/02/2016,10.0,15.8,4.2,0.0,1033.7,299,5,2,6
07/02/2016,10.4,17.0,3.8,0.0,1027.5,321,5,2,7
08/02/2016,9.3,14.3,4.3,0.0,1019.5,197,4,2,8
09/02/2016,11.9,14.7,9.1,0.0,1014.5,308,4,2,9
10/02/2016,13.3,17.8,8.8,0.0,1008.2,360,3,2,10
11/02/2016,14.9,19.2,10.7,0.0,1005.9,195,3,2,11
12/02/2016,16.2,19.3,13.1,0.0,1007.7,4,9,2,12
13/02/2016,10.2,11.7,8.7,1.3,1022.3,327,10,2,13
14/02/2016,4.2,5.2,3.2,0.9,1033.6,332,7,2,14
15/02/2016,5.9,7.7,4.1,0.0,1032.7,335,5,2,15
16/02/2016,7.2,10.3,4.1,0.0,1030.0,309,4,2,16
17/02/2016,8.1,12.1,4.0,0.0,1027.0,311,4,2,17
18/02/2016,10.2,15.5,5.0,0.0,1021.7,318,4,2,18
19/02/2016,12.4,16.4,8.5,0.0,1027.5,235,5,2,19
20/02/2016,12.4,14.6,10.2,0.0,1023.2,178,4,2,20
21/02/2016,10.6,11.9,9.3,8.8,1020.6,325,5,2,21
22/02/2016,9.8,11.9,7.7,8.4,1027.6,334,5,2,22
23/02/2016,9.0,9.8,8.2,6.5,1033.7,319,4,2,23
24/02/2016,11.9,15.9,8.0,0.1,1033.7,312,4,2,24
25/02/2016,11.2,12.7,9.7,0.5,1034.3,246,4,2,25
26/02/2016,12.9,18.1,7.7,0.0,1029.0,313,5,2,26
27/02/2016,14.2,21.2,7.3,0.0,1023.9,290,5,2,27
28/02/2016,15.6,22.5,8.7,0.0,1027.3,327,5,2,28
01/03/2016,18.8,25.5,12.1,0.0,1015.5,342,4,3,1
03/03/2016,18.9,23.3,14.6,0.0,1013.8,290,5,3,3
04/03/2016,16.2,19.0,13.4,0.0,1013.3,318,3,3,4
05/03/2016,19.9,24.0,15.8,0.0,1013.4,53,6,3,5
06/03/2016,21.5,28.0,15.0,0.0,1007.3,20,5,3,6
07/03/2016,22.1,26.0,18.2,32.7,1005.6,57,5,3,7
08/03/2016,16.3,17.2,15.4,30.3,1010.0,2,6,3,8
09/03/2016,12.2,13.8,10.6,25.9,1020.7,20,6,3,9
