Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,10.9,13.3,8.6,0.0,1028.7,301,8,1,1
02/01/2016,15.2,19.2,11.3,0.0,1022.7,290,6,1,2
03/01/2016,16.9,20.6,13.3,0.0,1020.9,209,5,1,3
04/01/2016,19.9,23.9,15.8,0.6,1019.0,226,5,1,4
05/01/2016,17.4,18.0,16.8,31.2,1018.8,222,6,1,5
06/01/2016,15.6,17.6,13.6,0.0,1023.2,117,6,1,6
07/01/2016,14.5,16.7,12.3,0.0,1024.8,19,6,1,7
08/01/2016,11.8,13.4,10.2,0.1,1024.7,66,5,1,8
09/01/2016,11.5,12.6,10.4,0.0,1024.6,333,6,1,9
10/01/2016,12.5,13.7,11.3,15.3,1021.3,263,7,1,10
11/01/2016,13.7,15.5,11.9,5.4,1020.5,211,6,1,11
12/01/2016,11.9,12.4,11.5,0.0,1024.1,29,8,1,12
13/01/2016,11.0,12.2,9.8,0.1,1024.4,79,4,1,13
14/01/2016,11.6,13.6,9.5,0.1,1021.9,262,7,1,14
15/01/2016,10.7,11.4,9.9,2.0,1019.6,279,5,1,15
16/01/2016,11.7,13.4,9.9,1.9,1016.4,287,5,1,16
17/01/2016,14.8,18.0,11.7,0.6,1014.4,321,13,1,17
18/01/2016,12.4,16.1,8.8,0.0,1022.3,43,8,1,18
20/01/2016,7.7,8.8,6.5,31.4,1025.9,338,9,1,20
21/01/2016,8.7,11.0,6.4,7.8,1022.6,315,5,1,21
22/01/2016,8.2,8.7,7.6,24.9,1024.6,318,9,1,22
24/01/2016,3.5,4.8,2.1,0.0,1037.7,327,18,1,24
25/01/2016,3.0,8.0,-1.9,0.0,1035.5,317,8,1,25
26/01/2016,6.5,13.0,0.1,11.6,1030.3,286,7,1,26
27/01/2016,8.8,10.6,7.1,11.8,1025.4,302,5,1,27
28/01/2016,11.1,12.8,9.4,47.0,1021.1,231,4,1,28
01/02/2016,7.3,8.5,6.1,7.2,1028.6,41,7,2,1
02/02/2016,6.7,8.0,5.3,0.0,1028.7,34,7,2,2
03/02/2016,6.6,7.6,5.6,0.0,1027.8,343,7,2,3
04/02/2016,9.6,12.2,6.9,0.0,1024.8,247,6,2,4
05/02/2016,9.1,9.7,8.4,2.8,1024.9,0,6,2,5
06/02/2016,9.9,14.6,5.3,0.0,1028.0,308,10,2,6
07/02/2016,9.6,15.9,3.2,0.0,1027.0,292,9,2,7
08/02/2016,11.2,18.9,3.5,0.0,1024.6,263,6,2,8
09/02/2016,13.1,21.2,4.9,0.0,1022.8,248,8,2,9
10/02/2016,16.3,23.0,9.6,6.2,1018.7,202,6,2,10
11/02/2016,16.5,19.5,13.5,6.5,1016.7,183,5,2,11
12/02/2016,20.4,26.0,14.9,0.0,1012.9,145,7,2,12
13/02/2016,22.8,28.5,17.1,6.5,1011.8,138,8,2,13
14/02/2016,14.2,19.7,8.7,22.3,1023.5,38,7,2,14
15/02/2016,8.2,9.8,6.5,0.0,1028.6,356,6,2,15
16/02/2016,10.2,13.8,6.5,0.0,1027.3,244,8,2,16
17/02/2016,11.2,14.7,7.6,0.0,1026.7,359,8,2,17
18/02/2016,13.2,17.4,9.1,0.2,1023.9,280,5,2,18
19/02/2016,12.2,13.5,11.0,0.8,1022.5,290,5,2,19
20/02/2016,15.2,18.9,11.6,0.0,1026.9,14,9,2,20
21/02/2016,12.1,15.9,8.3,0.5,1027.2,25,10,2,21
22/02/2016,10.4,12.3,8.6,7.5,1024.3,273,6,2,22
23/02/2016,10.6,11.4,9.8,10.9,1029.1,101,8,2,23
26/02/2016,9.8,11.3,8.4,0.8,1029.7,305,7,2,26
27/02/2016,12.8,17.4,8.3,0.0,1025.9,268,7,2,27
28/02/2016,15.6,22.3,8.9,0.0,1024.9,257,6,2,28
01/03/2016,12.4,16.9,7.9,0.0,1028.3,344,10,3,1
02/03/2016,13.7,20.6,6.8,0.0,1025.1,284,8,3,2
03/03/2016,16.7,24.2,9.2,0.0,1021.1,179,5,3,3
04/03/2016,17.6,24.1,11.2,0.0,1019.3,232,6,3,4
05/03/2016,19.6,26.3,12.8,4.8,1016.8,119,6,3,5
06/03/2016,20.8,25.5,16.0,2.0,1016.9,138,6,3,6
07/03/2016,20.6,24.8,16.5,0.0,1015.6,198,6,3,7
08/03/2016,20.1,23.3,16.8,2.6,1011.2,184,6,3,8
09/03/2016,14.2,18.6,9.9,22.9,1020.9,83,11,3,9
10/03/2016,7.7,8.3,7.1,13.7,1026.6,57,9,3,10
11/03/2016,8.6,11.5,5.7,0.0,1025.9,54,8,3,11
12/03/2016,8.4,9.7,7.1,7.8,1021.5,316,8,3,12
13/03/2016,9.8,11.8,7.9,46.3,1017.7,242,5,3,13
14/03/2016,14.4,18.2,10.7,0.0,1022.6,80,10,3,14
15/03/2016,10.9,12.0,9.8,0.0,1020.6,353,7,3,15
16/03/2016,11.4,12.4,10.5,7.1,1018.7,295,5,3,16
17/03/2016,15.0,18.3,11.7,19.4,1015.3,145,5,3,17
18/03/2016,17.9,21.4,14.5,4.4,1011.9,147,6,3,18
19/03/2016,19.6,23.3,16.0,0.5,1017.6,72,7,3,19
20/03/2016,14.9,16.6,13.3,10.8,1020.3,229,8,3,20
21/03/2016,11.7,13.8,9.6,0.7,1019.9,0,5,3,21
22/03/2016,14.2,16.5,11.8,10.8,1016.5,220,5,3,22
