Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-0.3,0.5,-1.2,10.4,1029.8,50,10
27/01/2015,3.6,6.5,0.7,17.3,1031.2,56,12
26/01/2015,7.0,9.5,4.5,1.5,1025.9,32,6
25/01/2015,7.2,9.1,5.3,0.0,1024.7,308,8
24/01/2015,11.3,18.8,3.8,0.3,1019.5,107,9
23/01/2015,5.3,11.0,-0.3,0.0,1020.0,113,7
22/01/2015,5.0,10.1,-0.1,0.0,1026.2,77,6
21/01/2015,6.8,11.9,1.8,0.0,1026.2,304,11
20/01/2015,10.4,14.7,6.1,0.0,1021.8,151,7
19/01/2015,6.4,14.5,-1.7,0.0,1027.2,119,5
18/01/2015,5.4,13.0,-2.2,0.0,1028.5,262,7
17/01/2015,3.6,7.7,-0.5,0.0,1032.8,61,5
16/01/2015,6.5,10.5,2.5,0.0,1030.6,338,8
15/01/2015,6.4,7.7,5.1,0.0,1028.4,164,4
14/01/2015,6.0,7.1,4.9,,1029.5,308,5
13/01/2015,5.0,5.5,4.5,1.0,1029.6,47,7
12/01/2015,5.8,7.8,3.9,0.2,1033.2,66,11
11/01/2015,8.0,16.2,-0.3,0.0,1030.3,41,7
10/01/2015,7.6,15.3,-0.1,0.0,1028.0,160,4
09/01/2015,7.0,14.5,-0.6,0.0,1030.1,191,5
08/01/2015,3.8,10.2,-2.7,0.0,1032.4,167,4
07/01/2015,2.8,7.7,-2.2,0.0,1031.8,316,4
06/01/2015,5.2,8.1,2.2,2.6,1027.4,23,7
05/01/2015,10.2,14.6,5.7,0.0,1016.8,319,10
04/01/2015,9.9,17.7,2.1,0.0,1014.8,128,7
03/01/2015,9.4,15.5,3.4,0.0,1019.7,132,5
02/01/2015,3.2,11.5,-5.1,0.0,1029.0,111,6
01/01/2015,0.8,7.2,-5.7,0.0,1034.1,109,5

28/02/2015,2.0,3.4,0.6,7.7,1028.1,347,8
27/02/2015,6.0,8.0,4.0,27.3,1025.4,64,19
26/02/2015,9.2,11.0,7.5,0.3,1022.4,65,14
25/02/2015,9.0,10.5,7.5,0.3,1018.4,54,4
24/02/2015,7.2,10.5,3.9,5.9,1017.8,97,7
23/02/2015,7.1,10.3,3.9,,1020.8,84,5
22/02/2015,5.7,10.9,0.5,0.9,1023.3,32,6
21/02/2015,5.7,6.4,4.9,0.0,1020.8,276,7
20/02/2015,7.2,8.0,6.3,9.6,1017.3,335,7
19/02/2015,8.0,12.5,3.4,4.6,1023.2,90,11
18/02/2015,8.5,10.9,6.1,0.0,1027.7,72,10
17/02/2015,10.2,16.3,4.2,0.0,1022.0,93,8
16/02/2015,11.9,15.5,8.4,0.0,1021.1,341,7
15/02/2015,13.2,16.0,10.5,0.0,1016.6,280,8
14/02/2015,10.8,17.8,3.9,9.3,1015.4,160,10
13/02/2015,9.8,16.4,3.1,0.0,1019.8,95,4
12/02/2015,8.5,16.5,0.5,0.0,1018.9,97,5
11/02/2015,8.2,16.7,-0.2,0.0,1017.5,270,8
10/02/2015,4.3,12.4,-3.7,0.0,1021.0,144,6
09/02/2015,1.4,7.3,-4.4,0.0,1031.8,138,6
08/02/2015,3.0,6.4,-0.5,0.0,1035.9,64,8
07/02/2015,6.3,13.2,-0.6,0.0,1027.7,320,8
06/02/2015,3.8,10.1,-2.6,0.0,1026.6,122,6
05/02/2015,3.0,8.8,-2.8,0.0,1033.1,212,5
04/02/2015,3.9,7.9,-0.2,0.0,1032.6,307,8
03/02/2015,4.5,5.3,3.7,0.0,1032.9,284,6
02/02/2015,3.0,5.7,0.3,0.0,1032.6,83,5
01/02/2015,2.2,3.4,1.0,0.0,1034.4,49,6

28/03/2015,16.6,22.5,10.8,0.0,1017.4,118,7
27/03/2015,14.8,19.3,10.3,0.0,1024.4,173,6
26/03/2015,12.6,16.2,9.0,0.2,1028.6,325,6
25/03/2015,13.8,19.4,8.2,0.0,1029.5,99,11
24/03/2015,12.2,17.7,6.6,0.0,1031.1,87,12
23/03/2015,13.9,17.1,10.7,0.0,1028.2,61,11
22/03/2015,15.6,22.3,8.9,0.0,1022.8,86,9
21/03/2015,13.8,21.4,6.1,0.0,1021.8,159,5
20/03/2015,10.7,12.4,9.0,0.1,1021.9,304,4
19/03/2015,11.1,13.6,8.6,11.5,1018.9,42,6
18/03/2015,12.0,13.4,10.6,7.6,1013.4,357,7
17/03/2015,16.6,19.9,13.4,45.0,1009.3,42,9
16/03/2015,15.2,19.2,11.1,0.0,1014.7,127,8
15/03/2015,10.7,12.8,8.6,0.9,1019.2,93,7
14/03/2015,10.3,11.8,8.9,2.5,1021.0,59,6
13/03/2015,12.6,18.9,6.2,0.0,1019.9,76,6
12/03/2015,9.9,18.0,1.9,0.0,1019.0,175,8
11/03/2015,7.7,13.1,2.3,0.0,1025.6,153,5
10/03/2015,5.5,9.0,2.0,0.0,1032.1,101,8
09/03/2015,9.4,14.5,4.4,0.0,1031.3,57,11
08/03/2015,8.0,10.4,5.6,0.0,1021.0,156,5
07/03/2015,6.3,11.7,1.0,0.0,1022.1,119,7
06/03/2015,4.5,6.8,2.2,0.0,1024.4,143,4
05/03/2015,3.2,4.1,2.4,0.6,1027.1,55,6
04/03/2015,5.2,7.2,3.3,0.0,1027.8,75,13
03/03/2015,10.7,12.2,9.1,0.0,1021.9,346,14
02/03/2015,9.0,14.3,3.7,0.0,1015.6,158,9
01/03/2015,5.5,11.2,-0.3,0.0,1026.3,200,6

28/04/2015,24.1,30.0,18.1,0.0,1007.9,116,10
27/04/2015,22.8,29.4,16.2,7.1,1008.7,144,9
