Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,7.2,13.0,1.4,0.0,1028.6,195,6,1,1
02/01/2016,12.4,18.0,6.9,0.2,1022.6,214,6,1,2
03/01/2016,14.4,19.8,9.1,4.4,1020.7,33,6,1,3
04/01/2016,12.5,13.2,11.8,12.2,1020.3,342,5,1,4
05/01/2016,10.0,11.7,8.3,10.7,1024.8,15,12,1,5
06/01/2016,7.9,8.3,7.5,0.3,1028.2,344,6,1,6
07/01/2016,8.4,9.2,7.7,2.1,1028.2,22,9,1,7
08/01/2016,5.2,6.8,3.7,0.0,1028.4,304,4,1,8
09/01/2016,6.2,9.9,2.4,1.5,1026.1,95,4,1,9
10/01/2016,7.6,9.0,6.2,12.6,1023.5,351,6,1,10
11/01/2016,7.0,8.6,5.5,9.2,1026.4,7,12,1,11
12/01/2016,4.5,5.2,3.7,0.0,1029.4,351,11,1,12
13/01/2016,4.1,5.5,2.7,0.0,1027.8,354,6,1,13
14/01/2016,5.0,9.1,0.8,0.6,1024.0,119,5,1,14
15/01/2016,8.1,12.0,4.2,0.0,1021.3,9,5,1,15
16/01/2016,6.7,11.6,1.8,13.1,1017.7,33,10,1,16
17/01/2016,5.9,7.0,4.8,1.0,1018.9,319,9,1,17
18/01/2016,4.4,7.1,1.7,0.0,1026.9,346,11,1,18
19/01/2016,2.6,5.9,-0.7,0.0,1032.1,8,8,1,19
20/01/2016,2.0,4.4,-0.3,9.7,1030.3,44,9,1,20
21/01/2016,0.9,1.3,0.5,12.2,1029.3,337,9,1,21
22/01/2016,0.9,1.5,0.3,18.7,1033.3,342,13,1,22
23/01/2016,-1.4,0.2,-3.1,0.7,1040.2,321,14,1,23
24/01/2016,-4.8,-3.1,-6.4,0.0,1042.7,298,16,1,24
25/01/2016,-2.5,3.2,-8.2,0.0,1036.5,200,10,1,25
27/01/2016,4.3,5.5,3.2,2.8,1027.3,193,5,1,27
28/01/2016,5.2,6.1,4.3,12.8,1022.2,309,5,1,28
01/02/2016,-0.1,0.4,-0.5,0.5,1035.7,334,11,2,1
02/02/2016,0.9,4.8,-2.9,0.0,1032.4,286,6,2,2
03/02/2016,3.3,8.4,-1.8,0.2,1030.2,210,5,2,3
05/02/2016,4.8,9.6,0.0,0.0,1028.6,329,6,2,5
06/02/2016,5.5,9.0,1.9,0.0,1031.0,304,12,2,6
07/02/2016,5.7,12.5,-1.2,0.0,1025.1,195,7,2,7
08/02/2016,9.4,17.4,1.5,0.0,1022.0,187,10,2,8
09/02/2016,13.4,21.8,5.1,0.0,1020.9,157,7,2,9
10/02/2016,14.8,22.9,6.6,0.4,1016.7,184,11,2,10
11/02/2016,17.5,22.7,12.3,1.2,1013.8,197,6,2,11
12/02/2016,19.2,26.3,12.2,1.3,1009.2,145,5,2,12
13/02/2016,13.8,17.1,10.5,1.9,1016.6,340,18,2,13
14/02/2016,4.3,6.7,1.9,0.2,1030.4,334,18,2,14
15/02/2016,4.3,8.3,0.4,0.0,1030.8,310,11,2,15
16/02/2016,6.2,12.9,-0.6,0.0,1028.0,192,9,2,16
17/02/2016,7.3,13.0,1.6,0.0,1027.3,131,6,2,17
18/02/2016,10.8,17.7,3.8,0.0,1024.0,80,9,2,18
19/02/2016,10.1,13.3,6.9,0.0,1025.5,347,7,2,19
20/02/2016,10.4,13.5,7.4,0.0,1029.4,291,8,2,20
21/02/2016,7.2,12.3,2.1,6.9,1028.3,118,7,2,21
22/02/2016,6.8,7.8,5.9,12.9,1028.2,15,6,2,22
23/02/2016,7.3,8.2,6.4,0.0,1034.2,7,12,2,23
24/02/2016,7.8,10.2,5.3,0.0,1037.4,50,8,2,24
25/02/2016,8.3,13.6,3.1,0.0,1034.3,172,6,2,25
26/02/2016,11.1,16.2,5.9,0.0,1027.7,197,10,2,26
27/02/2016,14.0,20.6,7.4,0.0,1023.9,185,11,2,27
01/03/2016,9.1,14.6,3.6,0.0,1027.6,89,8,3,1
02/03/2016,13.8,21.9,5.6,0.0,1022.1,180,9,3,2
03/03/2016,18.1,26.6,9.6,0.0,1018.1,180,9,3,3
04/03/2016,19.5,26.5,12.5,0.0,1017.1,171,7,3,4
05/03/2016,19.9,27.3,12.6,0.0,1017.7,20,9,3,5
06/03/2016,14.8,16.1,13.4,0.0,1018.1,63,5,3,6
07/03/2016,18.4,24.5,12.2,0.2,1015.2,67,8,3,7
08/03/2016,10.3,13.1,7.5,50.5,1018.1,4,17,3,8
09/03/2016,5.5,6.5,4.5,0.9,1028.7,10,16,3,9
10/03/2016,3.9,6.6,1.1,0.0,1031.4,325,8,3,10
11/03/2016,5.5,11.1,-0.1,0.0,1027.1,156,6,3,11
12/03/2016,8.3,14.5,2.2,0.0,1020.1,352,8,3,12
13/03/2016,10.5,11.4,9.6,0.1,1022.2,350,12,3,13
14/03/2016,9.8,13.9,5.8,0.0,1025.6,59,9,3,14
15/03/2016,10.6,14.9,6.2,0.0,1019.9,37,9,3,15
16/03/2016,14.8,20.4,9.2,0.0,1017.9,64,8,3,16
17/03/2016,15.9,21.0,10.9,0.1,1013.2,257,5,3,17
19/03/2016,16.4,17.8,15.0,0.0,1019.5,61,8,3,19
