Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,-11.9,-4.6,-19.3,0.0,1019.7,255,11,1,1
02/01/2016,-16.7,-12.1,-21.3,0.0,1024.8,243,4,1,2
03/01/2016,-19.0,-12.5,-25.5,0.0,1022.1,228,6,1,3
04/01/2016,-16.4,-12.0,-20.7,0.0,1021.8,225,10,1,4
05/01/2016,-15.4,-10.1,-20.8,0.0,1021.3,231,14,1,5
06/01/2016,-15.9,-12.0,-19.8,0.0,1024.8,238,11,1,6
07/01/2016,-16.2,-12.3,-20.1,0.0,1020.7,231,9,1,7
08/01/2016,-16.2,-11.4,-21.1,0.0,1020.0,224,10,1,8
09/01/2016,-15.5,-12.4,-18.6,0.0,1022.1,263,11,1,9
10/01/2016,-19.7,-15.2,-24.2,0.0,1028.7,241,11,1,10
11/01/2016,-19.5,-15.1,-23.9,0.0,1028.1,235,9,1,11
12/01/2016,-18.4,-13.8,-23.1,0.4,1018.4,228,11,1,12
13/01/2016,-18.7,-14.5,-22.9,0.0,1017.7,248,6,1,13
16/01/2016,-23.3,-17.4,-29.2,0.0,1031.6,305,3,1,16
17/01/2016,-23.6,-16.1,-31.0,0.0,1024.8,155,2,1,17
18/01/2016,-24.3,-18.8,-29.8,1.8,1020.7,303,9,1,18
19/01/2016,-19.2,-16.2,-22.2,0.1,1029.4,273,9,1,19
20/01/2016,-22.8,-17.9,-27.7,0.0,1036.8,260,5,1,20
21/01/2016,-23.9,-17.1,-30.8,0.0,1037.2,276,6,1,21
22/01/2016,-24.0,-18.3,-29.7,0.0,1038.4,252,6,1,22
23/01/2016,-26.2,-21.1,-31.4,0.0,1032.1,249,9,1,23
24/01/2016,-20.9,-16.0,-25.7,0.0,1023.7,223,10,1,24
25/01/2016,-14.8,-10.3,-19.3,0.0,1018.0,210,17,1,25
26/01/2016,-15.9,-12.1,-19.7,0.0,1018.3,215,14,1,26
27/01/2016,-15.8,-12.0,-19.7,0.0,1025.7,232,9,1,27
28/01/2016,-18.9,-14.3,-23.6,0.0,1036.0,241,6,1,28
01/02/2016,-19.9,-12.3,-27.4,0.0,1029.0,198,8,2,1
02/02/2016,-17.2,-9.0,-25.5,0.0,1025.7,172,7,2,2
03/02/2016,-13.8,-5.9,-21.6,0.0,1020.8,223,10,2,3
04/02/2016,-13.1,-7.1,-19.1,0.0,1021.5,246,7,2,4
05/02/2016,-13.3,-6.3,-20.3,0.0,1023.9,243,4,2,5
06/02/2016,-14.1,-6.5,-21.6,0.0,1020.1,231,13,2,6
07/02/2016,-12.9,-8.4,-17.5,0.0,1014.5,56,7,2,7
08/02/2016,-12.1,-8.1,-16.0,0.1,1012.2,267,7,2,8
09/02/2016,-14.8,-7.8,-21.7,0.0,1020.7,166,6,2,9
10/02/2016,-10.3,-0.5,-20.1,0.0,1020.4,101,9,2,10
12/02/2016,1.1,5.4,-3.1,0.0,1018.9,318,14,2,12
13/02/2016,-7.7,-5.6,-9.7,0.0,1022.5,347,13,2,13
14/02/2016,-14.4,-12.6,-16.3,0.0,1018.5,264,16,2,14
15/02/2016,-13.0,-8.0,-18.0,0.0,1010.7,241,7,2,15
