Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,9.8,17,2.7,0,1027.7,331,3,1,1
02/01/2016,12.2,16.2,8.2,0,1022.9,44,1,1,2
03/01/2016,14.9,19.4,10.4,3.8,1020.1,360,0,1,3
04/01/2016,16.2,19.2,13.2,21,1018.5,322,2,1,4
05/01/2016,13.1,14.6,11.6,10,1020.9,7,3,1,5
07/01/2016,10.2,11.8,8.7,2.3,1026.9,354,2,1,7
08/01/2016,7.6,9.5,5.7,0,1027,27,3,1,8
09/01/2016,7.7,9.9,5.4,8.9,1023.9,19,2,1,9
10/01/2016,8.2,9.3,7.1,5.5,1022,40,1,1,10
11/01/2016,8,8.9,7.1,5.2,1024.6,357,5,1,11
12/01/2016,6.8,8,5.5,0.2,1027.8,14,5,1,12
13/01/2016,6.5,9.7,3.4,0,1026.8,360,2,1,13
14/01/2016,7.2,10.7,3.7,3.2,1023.7,275,2,1,14
15/01/2016,8.3,11.3,5.4,0,1020.7,160,2,1,15
16/01/2016,5,8.2,1.8,9.9,1016,19,1,1,16
17/01/2016,8.4,10.9,6,0,1019.9,360,1,1,17
18/01/2016,5.7,10.1,1.3,0,1025.3,66,5,1,18
19/01/2016,6.2,11.3,1,0,1027.7,29,2,1,19
20/01/2016,3.8,5.3,2.3,8.2,1026.8,24,4,1,20
21/01/2016,1.7,2.5,0.9,12.8,1027.2,20,3,1,21
22/01/2016,1.1,2,0.3,11,1032.2,6,4,1,22
23/01/2016,1.3,4.2,-1.6,0,1041.7,354,5,1,23
24/01/2016,-1.5,1.8,-4.8,0,1043.9,47,6,1,24
25/01/2016,-1.8,4.5,-8,0,1037.5,44,5,1,25
26/01/2016,1.8,7.3,-3.8,0.1,1030.8,43,2,1,26
27/01/2016,4,5.7,2.4,13.5,1025.6,29,3,1,27
28/01/2016,5.5,6.8,4.2,24.7,1021.5,173,3,1,28
01/02/2016,2.1,3.7,0.5,0,1034.3,22,6,2,1
02/02/2016,3.3,7.6,-1,0,1031.5,47,3,2,2
03/02/2016,5.3,11.4,-0.8,0.2,1028.3,33,2,2,3
04/02/2016,6.8,9.8,3.8,0,1028.2,289,2,2,4
05/02/2016,7.7,12.9,2.4,0,1028.9,288,2,2,5
