Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,11.8,20.6,3.1,0.0,,269,16
27/01/2015,12.8,22.5,3.0,0.0,,246,14
26/01/2015,12.7,20.6,4.8,0.0,,253,11
25/01/2015,10.4,19.1,1.7,0.0,,251,10
24/01/2015,11.8,18.5,5.1,0.0,,265,15
23/01/2015,11.8,20.3,3.4,0.0,,254,13
22/01/2015,9.8,17.4,2.3,0.0,,249,11
21/01/2015,7.7,15.5,-0.1,0.0,,280,6
20/01/2015,9.6,15.0,4.2,0.0,,287,9
19/01/2015,3.8,7.0,0.6,0.0,,205,5
18/01/2015,5.8,8.1,3.4,14.6,,100,10
17/01/2015,7.7,10.2,5.2,12.1,,180,10
16/01/2015,9.6,15.4,3.8,0.0,,209,6
15/01/2015,8.6,17.8,-0.7,0.0,,256,9
14/01/2015,9.1,16.8,1.4,0.0,,287,9
13/01/2015,6.2,13.8,-1.3,0.0,,283,9
12/01/2015,4.8,10.5,-0.8,0.0,,311,5
11/01/2015,6.5,9.7,3.2,0.7,,125,6
10/01/2015,2.5,4.3,0.6,1.1,,102,9
09/01/2015,3.6,4.7,2.6,36.1,,80,7
08/01/2015,12.1,14.4,9.7,50.5,,149,9
07/01/2015,11.9,19.3,4.6,0.1,,192,9
06/01/2015,11.8,19.1,4.6,0.0,,265,9
05/01/2015,13.1,19.3,6.9,0.0,,267,9
04/01/2015,15.0,23.9,6.1,0.0,,258,11
03/01/2015,14.3,22.0,6.6,0.0,,234,10
02/01/2015,12.2,20.2,4.3,0.0,,241,9
01/01/2015,11.1,13.9,8.3,0.0,,211,9

28/02/2015,16.1,24.0,8.3,0.0,,236,12
27/02/2015,15.7,23.1,8.3,0.0,,216,14
26/02/2015,15.5,22.4,8.6,0.0,,221,18
25/02/2015,15.1,22.7,7.5,0.0,,227,13
24/02/2015,14.7,23.2,6.2,0.0,,218,11
23/02/2015,14.6,21.8,7.3,0.0,,222,12
22/02/2015,12.8,20.3,5.4,0.0,,225,14
21/02/2015,13.0,21.0,5.0,0.0,,215,11
20/02/2015,12.1,19.5,4.6,0.0,,237,13
19/02/2015,13.1,19.8,6.3,0.0,,237,12
18/02/2015,11.7,19.1,4.2,0.0,,223,13
17/02/2015,11.8,18.9,4.7,0.0,,232,10
16/02/2015,9.8,17.6,2.0,0.0,,219,10
15/02/2015,10.3,18.9,1.7,0.0,,203,7
14/02/2015,11.2,15.5,6.9,0.0,,234,12
13/02/2015,11.0,18.3,3.7,5.9,,218,13
12/02/2015,11.2,18.7,3.6,0.0,,210,9
11/02/2015,9.7,13.9,5.5,0.0,,120,5
10/02/2015,11.8,18.7,4.9,0.0,,221,11
09/02/2015,11.3,18.1,4.5,0.0,,225,10
08/02/2015,9.9,16.1,3.8,0.0,,184,8
07/02/2015,8.8,16.2,1.3,0.0,,138,9
06/02/2015,10.2,16.5,3.9,0.0,,231,13
05/02/2015,5.8,7.5,4.2,0.0,,121,11
04/02/2015,10.1,18.2,2.0,0.0,,233,10
03/02/2015,12.3,19.1,5.5,0.0,,278,11
02/02/2015,11.2,17.5,5.0,0.0,,277,14
01/02/2015,10.9,15.8,6.0,3.4,,270,12

28/03/2015,16.4,22.6,10.2,0.0,,211,12
27/03/2015,14.8,19.8,9.9,,,226,9
26/03/2015,16.6,21.5,11.6,0.0,,216,8
25/03/2015,13.2,17.5,8.9,17.0,,191,9
24/03/2015,14.8,18.9,10.6,8.5,,133,7
23/03/2015,16.3,23.5,9.1,1.6,,89,10
22/03/2015,18.1,25.6,10.5,0.0,,225,11
21/03/2015,16.6,26.0,7.1,0.0,,219,9
20/03/2015,17.9,26.0,9.7,0.0,,212,9
19/03/2015,18.6,25.4,11.8,0.0,,232,14
18/03/2015,19.9,25.2,14.7,0.0,,228,17
17/03/2015,19.4,26.5,12.2,0.0,,232,18
16/03/2015,17.9,26.5,9.3,0.0,,229,17
15/03/2015,16.6,25.4,7.8,0.0,,208,13
14/03/2015,15.8,24.8,6.9,0.0,,231,12
13/03/2015,15.1,26.0,4.2,0.0,,235,13
12/03/2015,16.6,25.4,7.9,0.0,,220,11
11/03/2015,16.7,24.7,8.7,0.0,,246,15
10/03/2015,16.8,26.3,7.2,0.0,,230,15
09/03/2015,15.9,25.9,6.0,0.0,,244,15
08/03/2015,14.9,24.3,5.5,0.0,,227,12
07/03/2015,16.4,23.6,9.1,0.0,,233,14
06/03/2015,16.4,22.5,10.3,0.0,,220,15
05/03/2015,18.5,22.5,14.5,0.0,,217,18
04/03/2015,17.6,22.4,12.9,0.0,,219,20
03/03/2015,19.2,25.0,13.5,0.0,,221,16
02/03/2015,17.7,24.5,10.9,0.0,,241,23
01/03/2015,15.5,24.7,6.3,0.0,,202,11

28/04/2015,17.2,22.0,12.4,0.0,,224,8
27/04/2015,17.7,22.0,13.4,0.0,,219,9
26/04/2015,17.6,21.9,13.3,0.1,,226,10
25/04/2015,14.7,17.0,12.3,2.0,,11,5
24/04/2015,16.7,21.9,11.5,8.6,,107,8
23/04/2015,16.7,21.9,11.5,0.0,,195,8
22/04/2015,15.7,18.3,13.0,16.8,,38,11
21/04/2015,18.2,26.4,10.1,7.7,,128,9
20/04/2015,19.9,26.7,13.0,0.0,,221,9
19/04/2015,19.4,24.3,14.4,0.0,,232,17
18/04/2015,21.9,26.0,17.8,0.1,,228,16
17/04/2015,22.2,27.4,17.0,0.0,,242,24
16/04/2015,20.1,29.2,11.0,0.0,,216,13
15/04/2015,19.5,26.9,12.1,0.0,,179,4
14/04/2015,17.6,24.3,11.0,0.0,,213,12
13/04/2015,14.3,22.0,6.7,0.0,,206,5
12/04/2015,12.7,17.8,7.6,0.0,,329,5
11/04/2015,16.9,21.9,11.9,9.1,,72,11
10/04/2015,14.2,16.9,11.5,0.0,,108,9
09/04/2015,18.3,24.5,12.1,0.0,,208,14
08/04/2015,18.5,25.1,11.9,0.0,,205,12
07/04/2015,16.9,24.1,9.7,0.0,,193,12
06/04/2015,17.8,24.0,11.5,0.0,,217,13
05/04/2015,19.4,24.0,14.8,0.3,,232,14
04/04/2015,17.9,24.2,11.6,0.0,,224,15
03/04/2015,18.0,22.1,13.9,0.0,,231,21
02/04/2015,18.4,23.1,13.6,0.0,,217,18
01/04/2015,19.1,24.1,14.1,0.0,,238,20

28/05/2015,22.1,29.4,14.9,0.0,,224,17
27/05/2015,22.6,29.3,15.9,0.0,,218,14
26/05/2015,22.4,28.8,16.0,0.0,,212,11
25/05/2015,22.6,28.5,16.6,0.0,,213,12
24/05/2015,23.1,28.5,17.6,0.0,,205,9
23/05/2015,20.2,24.6,15.8,0.0,,117,8
22/05/2015,21.9,26.4,17.4,0.3,,190,9
21/05/2015,18.6,20.8,16.5,11.8,,187,5
20/05/2015,22.6,26.6,18.6,24.4,,176,6
19/05/2015,23.2,26.9,19.6,0.0,,210,10
18/05/2015,23.4,31.1,15.8,0.0,,244,11
17/05/2015,22.1,29.4,14.9,0.0,,236,16
16/05/2015,20.6,25.3,15.8,0.0,,127,9
15/05/2015,22.1,27.8,16.4,0.0,,335,13
14/05/2015,22.6,28.7,16.4,0.0,,221,17
13/05/2015,22.7,27.5,17.9,0.0,,221,17
12/05/2015,22.8,28.7,16.9,0.0,,190,11
11/05/2015,19.9,27.5,12.4,0.0,,76,7
10/05/2015,20.4,27.9,12.8,0.0,,228,8
09/05/2015,17.9,23.3,12.4,0.5,,205,8
08/05/2015,20.5,27.2,13.8,0.1,,210,9
07/05/2015,21.3,28.8,13.8,0.0,,216,13
06/05/2015,19.3,27.5,11.1,0.0,,205,9
05/05/2015,21.2,27.8,14.7,0.0,,224,17
04/05/2015,21.2,29.0,13.4,0.0,,228,11
03/05/2015,21.5,28.7,14.3,0.0,,226,13
02/05/2015,18.4,27.0,9.7,0.0,,225,11
01/05/2015,19.6,26.8,12.3,0.0,,231,10

28/06/2015,23.6,28.2,19.1,0.0,,202,12
27/06/2015,23.1,26.4,19.7,0.0,,199,11
26/06/2015,22.2,26.5,18.0,3.3,,197,9
25/06/2015,23.0,26.7,19.3,73.3,,184,8
24/06/2015,23.4,27.6,19.1,13.2,,158,7
23/06/2015,22.8,28.4,17.2,0.0,,186,5
22/06/2015,20.9,24.3,17.5,1.5,,168,6
21/06/2015,21.9,26.1,17.6,38.2,,103,7
20/06/2015,23.4,28.3,18.5,0.0,,211,9
19/06/2015,20.4,24.5,16.3,2.7,,180,3
18/06/2015,22.6,26.7,18.6,69.7,,119,7
17/06/2015,22.4,26.6,18.1,0.0,,195,9
16/06/2015,22.0,25.9,18.1,0.0,,207,12
15/06/2015,21.6,25.3,17.8,0.2,,199,7
14/06/2015,22.1,27.4,16.8,0.0,,203,8
13/06/2015,21.5,25.7,17.3,0.0,,210,11
12/06/2015,20.7,24.7,16.7,6.3,,202,6
11/06/2015,18.0,20.3,15.7,4.9,,18,5
10/06/2015,22.7,28.1,17.3,22.7,,167,8
09/06/2015,22.0,26.6,17.4,0.0,,197,7
08/06/2015,21.8,25.9,17.7,21.5,,55,6
07/06/2015,23.6,29.7,17.5,0.0,,202,10
06/06/2015,23.6,29.3,18.0,0.0,,216,11
05/06/2015,21.4,25.6,17.3,20.0,,176,5
04/06/2015,24.1,30.2,18.0,2.7,,127,9
03/06/2015,23.8,29.2,18.4,0.0,,177,8
02/06/2015,24.3,31.1,17.5,0.0,,216,12
01/06/2015,23.1,29.7,16.5,0.0,,216,13

28/07/2015,18.4,21.1,15.6,18.7,,294,5
27/07/2015,20.1,25.8,14.4,2.1,,225,7
26/07/2015,19.0,24.6,13.4,0.0,,314,4
25/07/2015,19.0,22.9,15.1,0.0,,267,4
24/07/2015,18.6,20.5,16.7,3.1,,26,6
23/07/2015,19.7,23.3,16.1,0.5,,207,4
22/07/2015,22.3,26.1,18.5,27.6,,186,9
21/07/2015,22.1,25.8,18.5,0.0,,195,6
20/07/2015,20.2,24.0,16.4,0.1,,327,6
19/07/2015,17.9,19.5,16.3,0.0,,21,7
18/07/2015,16.6,17.9,15.2,1.2,,351,4
17/07/2015,17.4,20.4,14.4,1.2,,335,4
16/07/2015,20.6,25.4,15.9,4.5,,21,8
15/07/2015,18.6,21.1,16.1,22.3,,354,6
14/07/2015,24.4,28.8,19.9,2.4,,179,8
13/07/2015,24.6,28.6,20.6,0.0,,152,7
12/07/2015,22.0,28.4,15.6,0.0,,167,4
11/07/2015,21.4,27.7,15.0,0.0,,212,4
10/07/2015,20.7,24.7,16.7,0.0,,48,5
09/07/2015,22.3,25.7,18.9,0.0,,71,14
08/07/2015,20.4,26.8,14.1,0.0,,132,6
07/07/2015,20.3,25.4,15.2,0.0,,143,5
06/07/2015,19.9,24.2,15.6,0.0,,146,5
05/07/2015,15.8,17.6,14.1,0.2,,33,6
04/07/2015,19.2,20.8,17.7,9.3,,59,11
03/07/2015,23.4,26.9,19.9,18.5,,103,8
02/07/2015,23.1,28.6,17.5,0.1,,215,5
01/07/2015,23.1,26.5,19.8,0.0,,221,7

28/08/2015,18.6,20.5,16.6,0.8,,36,7
27/08/2015,20.4,23.2,17.5,9.5,,169,5
26/08/2015,19.1,21.2,16.9,4.1,,216,5
25/08/2015,20.4,23.5,17.4,34.3,,219,4
24/08/2015,20.7,23.4,18.0,8.2,,199,5
23/08/2015,22.6,26.2,18.9,2.1,,180,3
22/08/2015,20.1,25.6,14.6,0.2,,214,5
21/08/2015,21.4,26.2,16.5,0.0,,290,5
20/08/2015,18.9,22.9,14.8,0.0,,47,8
19/08/2015,17.9,19.9,16.0,19.6,,91,5
18/08/2015,21.1,23.0,19.2,0.5,,213,7
17/08/2015,20.9,23.1,18.8,0.0,,213,8
