Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,13.1,15.1,11.0,0.0,1027.3,318,3,1,1
02/01/2016,14.4,16.7,12.2,0.0,1022.5,255,3,1,2
03/01/2016,16.1,21.0,11.2,0.1,1018.9,124,3,1,3
04/01/2016,17.6,20.0,15.3,0.9,1017.5,186,3,1,4
05/01/2016,15.2,16.9,13.6,9.7,1018.7,11,7,1,5
06/01/2016,13.7,16.5,10.8,0.0,1024.3,39,7,1,6
07/01/2016,11.2,12.5,9.8,2.8,1025.4,7,8,1,7
08/01/2016,8.6,9.3,7.8,12.0,1023.8,7,6,1,8
09/01/2016,7.7,8.3,7.1,28.4,1020.8,7,7,1,9
10/01/2016,9.0,10.4,7.6,4.5,1020.5,25,10,1,10
11/01/2016,10.1,12.2,7.9,0.3,1024.0,14,11,1,11
12/01/2016,8.4,9.5,7.4,0.3,1025.3,17,9,1,12
13/01/2016,7.2,8.4,5.9,1.8,1024.5,12,8,1,13
14/01/2016,6.2,6.6,5.7,3.8,1022.4,12,9,1,14
16/01/2016,8.9,9.7,8.1,9.4,1014.8,28,5,1,16
17/01/2016,11.2,13.7,8.6,0.0,1019.5,12,10,1,17
18/01/2016,10.3,15.1,5.5,0.0,1021.5,14,7,1,18
22/01/2016,4.1,5.0,3.2,0.1,1030.4,12,17,1,22
23/01/2016,3.5,4.7,2.2,0.0,1039.1,22,15,1,23
24/01/2016,4.2,6.9,1.5,0.1,1041.3,20,11,1,24
25/01/2016,5.3,9.4,1.2,0.0,1034.4,12,9,1,25
26/01/2016,6.1,7.5,4.7,2.0,1028.9,171,5,1,26
27/01/2016,5.5,7.1,3.9,3.1,1023.2,50,4,1,27
28/01/2016,7.6,8.9,6.3,3.3,1020.1,27,6,1,28
01/02/2016,3.6,4.6,2.6,1.4,1032.3,12,14,2,1
02/02/2016,5.1,8.4,1.8,0.0,1029.5,24,10,2,2
03/02/2016,6.7,10.9,2.5,0.0,1026.3,5,6,2,3
04/02/2016,7.8,10.4,5.1,0.0,1027.7,17,8,2,4
05/02/2016,9.6,15.4,3.8,0.0,1028.2,12,11,2,5
06/02/2016,10.8,15.6,6.0,0.0,1031.5,23,8,2,6
07/02/2016,12.1,19.3,4.8,0.0,1027.9,3,5,2,7
08/02/2016,12.4,21.5,3.3,0.0,1022.9,193,3,2,8
09/02/2016,14.0,22.4,5.6,0.0,1018.4,156,3,2,9
10/02/2016,12.2,17.2,7.2,0.0,1013.5,314,2,2,10
11/02/2016,16.2,19.1,13.4,0.0,1010.3,130,3,2,11
12/02/2016,19.6,26.7,12.4,0.0,1006.6,195,6,2,12
13/02/2016,19.8,24.9,14.6,0.0,1013.7,11,14,2,13
14/02/2016,8.0,10.9,5.1,0.0,1028.4,17,16,2,14
15/02/2016,7.2,10.7,3.6,0.0,1030.9,12,12,2,15
16/02/2016,10.1,13.9,6.2,0.0,1027.9,20,7,2,16
17/02/2016,10.8,17.7,3.8,0.0,1024.9,42,5,2,17
18/02/2016,11.6,17.6,5.6,0.0,1021.6,102,4,2,18
19/02/2016,14.3,17.4,11.3,0.0,1024.7,3,7,2,19
20/02/2016,15.0,18.8,11.2,0.0,1025.2,15,9,2,20
21/02/2016,12.4,13.5,11.4,8.5,1020.5,357,5,2,21
23/02/2016,8.3,8.9,7.7,0.9,1030.4,9,12,2,23
24/02/2016,9.8,12.2,7.5,0.0,1032.5,7,12,2,24
25/02/2016,10.4,12.1,8.7,8.2,1032.6,4,8,2,25
26/02/2016,10.6,14.0,7.1,0.8,1030.2,89,5,2,26
27/02/2016,11.9,18.1,5.8,0.0,1026.3,141,3,2,27
28/02/2016,16.0,25.1,6.9,0.0,1025.4,160,4,2,28
01/03/2016,17.6,25.0,10.1,0.0,1021.8,149,5,3,1
02/03/2016,18.4,25.5,11.4,0.0,1020.9,152,3,3,2
05/03/2016,17.9,19.2,16.6,2.0,1016.7,16,5,3,5
06/03/2016,19.9,23.2,16.6,0.0,1014.7,8,3,3,6
07/03/2016,20.8,23.8,17.7,0.0,1010.4,176,6,3,7
08/03/2016,22.2,24.7,19.8,0.2,1009.9,163,11,3,8
09/03/2016,11.4,13.9,8.9,7.5,1020.3,22,18,3,9
10/03/2016,6.0,7.6,4.4,5.8,1029.4,19,12,3,10
11/03/2016,7.2,10.6,3.9,3.0,1024.6,22,8,3,11
12/03/2016,7.7,9.1,6.3,2.9,1017.3,348,2,3,12
13/03/2016,11.1,14.2,8.0,0.3,1021.0,22,9,3,13
14/03/2016,14.4,18.9,9.9,0.0,1019.8,21,6,3,14
15/03/2016,14.7,17.0,12.3,0.3,1015.6,359,5,3,15
16/03/2016,13.7,15.3,12.0,0.6,1014.3,22,4,3,16
17/03/2016,14.4,15.4,13.4,5.5,1012.6,0,3,3,17
18/03/2016,18.2,22.4,14.1,0.0,1012.5,306,3,3,18
19/03/2016,17.9,22.0,13.9,11.2,1012.4,26,4,3,19
20/03/2016,17.8,18.3,17.2,40.0,1011.3,23,7,3,20
21/03/2016,16.4,17.2,15.7,5.1,1013.5,22,7,3,21
22/03/2016,15.0,15.6,14.4,38.7,1012.7,7,9,3,22
23/03/2016,15.3,17.1,13.5,0.5,1020.2,12,13,3,23
24/03/2016,13.9,16.2,11.7,0.2,1026.5,9,10,3,24
25/03/2016,15.1,19.9,10.3,0.0,1025.8,14,5,3,25
26/03/2016,14.1,19.7,8.5,0.0,1026.3,15,10,3,26
27/03/2016,15.4,20.2,10.6,0.0,1025.6,1,5,3,27
28/03/2016,14.8,18.7,10.9,0.0,1022.9,215,3,3,28
01/04/2016,20.1,22.3,18.0,0.1,1011.8,63,3,4,1
02/04/2016,22.9,26.5,19.2,0.0,1011.4,195,5,4,2
03/04/2016,25.1,29.1,21.2,63.8,1010.8,205,8,4,3
04/04/2016,18.8,20.7,16.9,0.0,1011.2,17,7,4,4
05/04/2016,19.4,21.2,17.6,1.8,1008.8,53,3,4,5
06/04/2016,21.5,25.1,17.9,6.2,1007.5,144,5,4,6
07/04/2016,20.6,24.5,16.8,39.5,1013.2,6,8,4,7
08/04/2016,20.8,25.3,16.3,0.1,1013.0,27,7,4,8
09/04/2016,21.3,24.1,18.5,42.5,1008.2,36,8,4,9
10/04/2016,20.4,22.6,18.3,0.9,1009.9,15,9,4,10
11/04/2016,23.2,27.6,18.8,25.9,1009.7,29,6,4,11
12/04/2016,19.6,20.8,18.3,19.1,1005.2,330,6,4,12
13/04/2016,22.6,26.4,18.9,0.0,1005.7,26,8,4,13
14/04/2016,23.0,25.0,21.0,0.2,1007.4,12,5,4,14
15/04/2016,23.8,26.5,21.1,5.8,1005.0,351,5,4,15
16/04/2016,28.4,33.6,23.2,0.5,1007.0,30,11,4,16
17/04/2016,19.9,22.7,17.1,60.0,1013.8,1,9,4,17
18/04/2016,19.9,26.6,13.3,0.0,1015.8,25,7,4,18
19/04/2016,20.8,23.8,17.8,16.9,1011.9,301,3,4,19
20/04/2016,23.5,26.5,20.5,10.4,1010.7,183,7,4,20
21/04/2016,22.8,26.2,19.4,24.5,1010.9,108,6,4,21
22/04/2016,23.0,26.1,19.9,0.0,1006.6,160,4,4,22
23/04/2016,22.1,23.0,21.2,1.4,1007.9,85,6,4,23
24/04/2016,19.2,20.3,18.2,4.9,1010.3,5,8,4,24
25/04/2016,18.4,19.2,17.5,22.7,1009.6,357,5,4,25
