Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,5.8,11.4,0.2,0.0,1028.0,122,9,1,1
02/01/2016,10.6,16.2,4.9,0.1,1022.3,174,4,1,2
03/01/2016,12.5,17.7,7.3,0.0,1021.0,273,4,1,3
04/01/2016,11.1,12.5,9.6,18.0,1022.2,50,10,1,4
05/01/2016,8.1,8.8,7.4,0.0,1026.2,73,12,1,5
08/01/2016,3.0,7.4,-1.3,0.0,1028.5,42,4,1,8
09/01/2016,5.4,9.9,0.9,0.0,1026.3,116,6,1,9
10/01/2016,7.7,9.6,5.8,7.0,1025.1,76,10,1,10
11/01/2016,4.8,7.0,2.5,6.5,1029.0,27,11,1,11
12/01/2016,1.4,2.3,0.4,0.2,1030.9,3,7,1,12
13/01/2016,0.0,1.7,-1.7,0.0,1028.2,318,4,1,13
14/01/2016,0.7,5.0,-3.6,0.0,1024.0,132,5,1,14
15/01/2016,3.5,10.6,-3.5,0.0,1021.2,165,5,1,15
16/01/2016,5.7,10.9,0.5,1.6,1018.7,85,11,1,16
18/01/2016,1.4,3.3,-0.6,0.0,1028.3,5,6,1,18
19/01/2016,-0.5,4.2,-5.1,0.0,1032.5,95,9,1,19
20/01/2016,0.7,2.8,-1.4,3.1,1031.7,70,14,1,20
21/01/2016,0.2,1.3,-0.9,0.0,1031.0,36,8,1,21
22/01/2016,0.8,1.7,-0.2,6.4,1036.1,5,14,1,22
23/01/2016,-3.2,-0.8,-5.6,0.0,1042.1,320,19,1,23
24/01/2016,-7.2,-4.5,-9.8,0.0,1043.3,280,14,1,24
25/01/2016,-2.7,2.5,-7.9,0.0,1035.7,232,7,1,25
26/01/2016,0.1,7.2,-7.0,0.0,1030.8,117,5,1,26
27/01/2016,3.4,7.1,-0.4,1.4,1027.1,95,7,1,27
28/01/2016,4.2,5.5,2.8,12.9,1023.8,2,10,1,28
01/02/2016,-0.8,1.8,-3.4,0.0,1037.0,335,8,2,1
02/02/2016,0.4,5.0,-4.2,0.0,1032.6,295,5,2,2
03/02/2016,1.9,7.4,-3.6,0.0,1030.2,102,6,2,3
04/02/2016,2.9,6.6,-0.9,0.0,1029.3,102,6,2,4
05/02/2016,3.6,9.5,-2.2,0.0,1029.4,293,9,2,5
06/02/2016,3.1,7.3,-1.0,0.0,1031.2,300,8,2,6
07/02/2016,4.0,11.0,-3.1,0.0,1024.5,250,7,2,7
08/02/2016,7.5,17.1,-2.1,0.0,1020.7,235,6,2,8
09/02/2016,11.8,20.6,2.9,0.0,1019.9,127,8,2,9
10/02/2016,15.9,23.5,8.4,5.4,1015.1,130,9,2,10
11/02/2016,15.1,18.2,11.9,1.0,1013.3,105,6,2,11
12/02/2016,15.1,17.5,12.7,16.4,1009.3,90,10,2,12
13/02/2016,10.0,15.1,4.9,1.8,1019.9,321,19,2,13
14/02/2016,2.8,5.7,-0.1,0.0,1032.1,330,19,2,14
15/02/2016,2.1,6.8,-2.5,0.0,1030.9,248,9,2,15
16/02/2016,3.8,9.4,-1.9,0.0,1028.0,277,9,2,16
17/02/2016,5.8,13.0,-1.4,0.0,1026.7,166,4,2,17
18/02/2016,9.0,16.3,1.7,0.0,1023.9,167,5,2,18
19/02/2016,10.2,14.7,5.6,0.0,1026.9,39,14,2,19
20/02/2016,7.9,12.5,3.3,0.0,1029.6,338,9,2,20
21/02/2016,6.2,10.7,1.6,6.3,1028.8,100,12,2,21
24/02/2016,5.7,10.0,1.4,0.0,1037.5,104,8,2,24
25/02/2016,7.2,13.1,1.2,0.0,1033.3,136,9,2,25
26/02/2016,10.7,17.9,3.5,0.0,1026.5,211,7,2,26
27/02/2016,12.8,20.0,5.7,0.0,1022.5,215,9,2,27
28/02/2016,11.8,16.5,7.0,0.0,1028.6,13,11,2,28
01/03/2016,6.5,12.4,0.5,0.0,1026.9,102,13,3,1
02/03/2016,11.7,18.7,4.7,0.1,1021.9,134,6,3,2
03/03/2016,14.5,17.9,11.1,0.5,1018.2,131,6,3,3
04/03/2016,16.5,20.7,12.3,0.2,1016.9,102,6,3,4
05/03/2016,17.6,22.9,12.2,0.0,1018.8,329,9,3,5
06/03/2016,11.1,12.8,9.4,0.0,1017.8,108,14,3,6
07/03/2016,15.8,20.6,10.9,0.3,1016.4,58,11,3,7
08/03/2016,6.9,10.1,3.7,30.6,1022.0,43,20,3,8
09/03/2016,4.2,6.5,1.9,0.0,1031.0,58,12,3,9
10/03/2016,5.1,8.0,2.2,0.0,1031.9,48,7,3,10
11/03/2016,5.8,10.5,1.0,0.0,1026.5,143,5,3,11
12/03/2016,7.8,13.4,2.1,0.0,1019.8,100,15,3,12
14/03/2016,8.1,13.8,2.3,0.0,1025.7,95,9,3,14
15/03/2016,8.8,13.2,4.4,0.0,1019.6,106,15,3,15
16/03/2016,13.1,18.9,7.2,0.0,1018.0,103,9,3,16
17/03/2016,14.4,18.4,10.4,0.0,1013.5,99,7,3,17
18/03/2016,15.7,18.4,13.0,0.6,1013.6,232,5,3,18
19/03/2016,16.8,19.8,13.7,0.0,1019.6,105,13,3,19
20/03/2016,14.2,18.7,9.7,0.0,1022.5,90,17,3,20
21/03/2016,11.9,17.3,6.5,0.0,1021.2,92,15,3,21
22/03/2016,13.3,18.3,8.4,0.0,1018.0,77,14,3,22
23/03/2016,12.4,15.3,9.5,0.0,1027.9,37,14,3,23
24/03/2016,8.4,12.3,4.5,0.0,1030.8,52,8,3,24
25/03/2016,9.5,14.4,4.6,0.0,1028.1,43,7,3,25
27/03/2016,11.6,17.2,6.0,0.0,1025.5,225,8,3,27
28/03/2016,13.2,20.7,5.8,0.0,1020.6,175,8,3,28
01/04/2016,16.9,24.1,9.6,0.6,1012.8,125,12,4,1
02/04/2016,16.3,17.5,15.1,31.7,1013.5,73,7,4,2
04/04/2016,13.6,17.4,9.8,0.0,1015.8,95,7,4,4
05/04/2016,16.4,20.1,12.6,10.4,1013.5,106,14,4,5
06/04/2016,13.1,14.4,11.8,34.1,1007.5,13,10,4,6
07/04/2016,14.7,19.0,10.3,0.0,1015.7,152,4,4,7
08/04/2016,17.8,23.9,11.7,0.0,1015.9,121,7,4,8
09/04/2016,20.2,24.9,15.6,0.0,1012.0,117,9,4,9
10/04/2016,20.6,25.3,15.9,0.0,1013.6,98,10,4,10
11/04/2016,17.1,21.1,13.2,0.0,1014.9,100,15,4,11
12/04/2016,19.6,24.1,15.0,0.0,1008.2,135,8,4,12
13/04/2016,21.9,27.6,16.1,0.0,1007.7,98,5,4,13
14/04/2016,22.5,27.8,17.2,0.0,1013.4,102,14,4,14
15/04/2016,20.1,24.1,16.0,10.8,1009.3,113,23,4,15
16/04/2016,17.4,19.2,15.7,5.9,1006.9,295,11,4,16
17/04/2016,15.1,19.0,11.2,2.5,1017.9,138,7,4,17
18/04/2016,16.4,22.2,10.5,0.0,1018.7,156,9,4,18
19/04/2016,17.8,23.7,11.9,5.5,1016.2,105,19,4,19
20/04/2016,15.8,16.7,14.9,39.7,1010.3,15,9,4,20
21/04/2016,20.3,25.3,15.3,0.0,1010.8,279,6,4,21
22/04/2016,20.8,26.2,15.4,1.1,1009.5,131,8,4,22
23/04/2016,16.9,19.0,14.9,4.9,1012.8,74,14,4,23
26/04/2016,14.4,15.7,13.1,8.2,1011.7,26,9,4,26
27/04/2016,14.8,18.4,11.3,0.0,1012.1,319,10,4,27
28/04/2016,18.9,24.0,13.9,0.0,1016.3,326,9,4,28
01/05/2016,23.5,30.2,16.8,0.0,1007.2,121,8,5,1
02/05/2016,22.1,23.8,20.3,11.9,1005.2,256,12,5,2
03/05/2016,20.1,25.3,14.9,0.0,1011.1,270,11,5,3
04/05/2016,21.6,29.2,14.1,3.4,1009.3,143,10,5,4
05/05/2016,21.6,23.6,19.6,0.2,1006.5,148,7,5,5
08/05/2016,14.7,16.0,13.4,1.7,1014.2,88,12,5,8
09/05/2016,15.3,17.1,13.6,12.4,1010.9,72,5,5,9
10/05/2016,18.2,22.7,13.7,0.0,1011.8,23,5,5,10
11/05/2016,19.6,26.2,13.1,0.0,1009.5,150,9,5,11
12/05/2016,23.6,31.4,15.8,0.0,1012.1,26,13,5,12
13/05/2016,18.1,19.6,16.7,0.0,1020.5,84,18,5,13
14/05/2016,21.6,27.7,15.5,10.8,1013.5,104,17,5,14
15/05/2016,18.2,22.0,14.4,18.2,1016.5,285,9,5,15
16/05/2016,19.4,24.6,14.3,0.0,1016.4,164,5,5,16
17/05/2016,18.8,24.7,12.9,0.0,1015.6,102,13,5,17
18/05/2016,19.9,25.2,14.6,0.0,1014.4,97,14,5,18
19/05/2016,21.8,27.3,16.2,0.0,1012.2,109,18,5,19
20/05/2016,18.4,22.1,14.8,17.1,1012.9,96,16,5,20
21/05/2016,16.4,18.2,14.7,18.1,1013.5,36,15,5,21
22/05/2016,17.4,18.8,16.1,0.0,1014.1,347,8,5,22
24/05/2016,22.1,26.7,17.6,0.0,1009.0,164,7,5,24
25/05/2016,23.6,29.8,17.3,1.8,1008.3,220,5,5,25
26/05/2016,24.5,26.4,22.6,12.9,1010.3,138,8,5,26
27/05/2016,19.3,19.9,18.7,9.5,1009.8,93,11,5,27
28/05/2016,19.6,20.8,18.3,0.9,1007.6,291,5,5,28
01/06/2016,20.4,21.1,19.7,0.2,1008.4,44,7,6,1
02/06/2016,18.8,21.2,16.3,1.4,1008.7,95,12,6,2
03/06/2016,18.8,19.8,17.8,10.6,1006.2,80,10,6,3
