Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,6.2,13.2,-0.9,0.0,1029.0,163,7,1,1
02/01/2016,12.9,17.3,8.5,1.8,1022.6,276,4,1,2
04/01/2016,11.3,13.5,9.2,10.5,1021.4,62,12,1,4
05/01/2016,9.3,10.4,8.2,0.1,1025.2,35,13,1,5
06/01/2016,8.5,9.4,7.6,0.0,1028.4,11,9,1,6
07/01/2016,6.2,8.4,4.0,0.0,1028.6,304,9,1,7
08/01/2016,5.2,7.0,3.3,0.0,1028.6,305,7,1,8
09/01/2016,4.3,9.5,-0.9,0.0,1027.1,90,5,1,9
10/01/2016,8.7,10.4,6.9,9.4,1025.1,62,10,1,10
11/01/2016,7.5,8.6,6.3,3.3,1026.9,32,13,1,11
12/01/2016,3.8,4.6,3.0,0.0,1029.5,316,9,1,12
13/01/2016,1.6,3.6,-0.3,0.0,1027.8,264,9,1,13
14/01/2016,2.3,6.7,-2.1,0.0,1024.3,231,2,1,14
15/01/2016,4.7,9.8,-0.4,0.0,1021.7,253,5,1,15
16/01/2016,4.9,11.2,-1.4,11.0,1019.2,76,8,1,16
17/01/2016,7.7,8.9,6.4,0.4,1018.4,341,12,1,17
18/01/2016,2.6,4.8,0.5,0.0,1026.9,283,11,1,18
19/01/2016,0.9,3.5,-1.7,0.0,1032.7,334,8,1,19
20/01/2016,1.8,4.2,-0.6,4.4,1031.4,44,11,1,20
21/01/2016,3.2,4.5,1.9,3.3,1029.5,27,12,1,21
22/01/2016,3.5,5.1,2.0,5.7,1033.1,7,14,1,22
23/01/2016,-1.4,1.4,-4.1,0.0,1039.3,294,21,1,23
24/01/2016,-6.2,-4.7,-7.8,0.0,1041.0,286,22,1,24
25/01/2016,-2.4,2.1,-6.8,0.0,1035.8,266,10,1,25
26/01/2016,0.3,7.4,-6.7,0.0,1031.5,253,5,1,26
27/01/2016,4.5,7.2,1.8,6.0,1027.9,82,5,1,27
28/01/2016,6.5,8.4,4.7,19.3,1021.9,12,8,1,28
01/02/2016,1.1,2.5,-0.2,0.2,1035.0,320,9,2,1
02/02/2016,1.6,5.2,-1.9,0.0,1032.2,283,8,2,2
03/02/2016,2.2,7.1,-2.6,0.0,1030.9,63,4,2,3
04/02/2016,1.9,5.9,-2.2,0.0,1029.0,145,5,2,4
05/02/2016,4.0,9.4,-1.3,0.0,1028.2,319,10,2,5
06/02/2016,4.3,6.5,2.2,0.0,1030.6,323,10,2,6
07/02/2016,3.2,10.0,-3.5,0.0,1024.8,260,6,2,7
08/02/2016,5.8,14.7,-3.0,0.0,1021.7,233,8,2,8
09/02/2016,10.3,19.4,1.2,0.0,1021.7,105,7,2,9
10/02/2016,13.1,20.9,5.2,0.0,1018.2,152,13,2,10
12/02/2016,16.8,20.5,13.0,0.0,1010.3,128,8,2,12
13/02/2016,12.2,16.0,8.5,1.7,1016.1,292,20,2,13
14/02/2016,3.1,5.1,1.2,0.0,1029.6,319,15,2,14
15/02/2016,2.5,6.0,-0.9,0.0,1030.1,270,12,2,15
16/02/2016,4.5,10.3,-1.2,0.0,1027.6,260,10,2,16
17/02/2016,4.8,10.8,-1.3,0.0,1027.6,145,7,2,17
18/02/2016,10.2,16.3,4.1,0.0,1024.6,215,6,2,18
19/02/2016,7.0,9.6,4.5,0.0,1025.8,17,8,2,19
20/02/2016,7.8,10.5,5.2,0.0,1029.7,49,11,2,20
21/02/2016,5.5,11.3,-0.2,6.4,1030.3,131,11,2,21
22/02/2016,6.5,7.8,5.1,12.8,1028.9,57,12,2,22
23/02/2016,7.4,9.6,5.2,0.0,1034.5,18,12,2,23
24/02/2016,5.6,7.8,3.4,0.0,1038.3,54,8,2,24
25/02/2016,5.0,10.7,-0.8,0.0,1035.1,137,8,2,25
26/02/2016,10.2,16.5,3.9,0.0,1027.5,192,8,2,26
27/02/2016,12.6,19.4,5.8,0.0,1023.6,198,9,2,27
28/02/2016,13.8,20.4,7.3,0.0,1027.5,306,13,2,28
01/03/2016,4.4,9.9,-1.1,0.0,1028.8,114,10,3,1
02/03/2016,11.8,17.9,5.7,0.0,1023.0,159,8,3,2
03/03/2016,14.4,19.7,9.1,0.0,1019.3,113,7,3,3
04/03/2016,18.6,24.1,13.0,0.0,1018.2,160,12,3,4
05/03/2016,18.2,25.3,11.1,0.0,1018.3,319,10,3,5
06/03/2016,10.2,11.3,9.2,0.0,1019.1,97,7,3,6
07/03/2016,15.8,21.2,10.5,0.8,1016.7,65,14,3,7
08/03/2016,8.5,11.0,6.0,39.7,1019.2,44,21,3,8
09/03/2016,5.5,6.7,4.4,0.1,1028.9,7,14,3,9
10/03/2016,4.2,6.1,2.2,0.0,1031.2,337,10,3,10
11/03/2016,4.0,9.8,-1.8,0.0,1027.7,161,8,3,11
12/03/2016,6.4,11.9,0.9,0.1,1021.9,140,14,3,12
13/03/2016,8.8,9.9,7.8,0.0,1022.5,9,12,3,13
14/03/2016,8.6,11.3,5.9,0.0,1026.4,45,9,3,14
15/03/2016,6.9,12.3,1.5,0.0,1021.3,118,12,3,15
16/03/2016,11.8,16.8,6.9,0.0,1019.2,100,9,3,16
17/03/2016,14.4,18.7,10.1,3.3,1014.3,129,7,3,17
18/03/2016,15.8,18.9,12.7,0.0,1013.4,21,6,3,18
20/03/2016,10.8,15.3,6.4,0.0,1023.5,57,9,3,20
21/03/2016,10.8,13.6,7.9,0.0,1022.6,81,10,3,21
22/03/2016,12.8,15.3,10.2,0.0,1019.0,101,11,3,22
23/03/2016,11.1,13.7,8.4,0.0,1026.2,32,15,3,23
24/03/2016,8.9,11.3,6.6,0.0,1029.7,357,14,3,24
25/03/2016,9.8,13.9,5.6,0.0,1027.9,17,9,3,25
26/03/2016,8.8,15.8,1.8,0.0,1025.6,285,7,3,26
27/03/2016,12.3,17.4,7.3,0.0,1025.3,274,10,3,27
28/03/2016,12.9,20.9,5.0,0.0,1022.4,172,10,3,28
01/04/2016,14.8,21.4,8.3,0.0,1015.3,160,11,4,1
02/04/2016,16.7,19.8,13.6,11.2,1014.0,94,8,4,2
03/04/2016,13.6,15.8,11.4,3.2,1014.8,339,11,4,3
04/04/2016,14.1,17.4,10.7,0.0,1016.9,72,8,4,4
05/04/2016,14.7,17.3,12.0,5.6,1015.8,94,11,4,5
06/04/2016,16.1,19.1,13.2,41.1,1007.6,204,10,4,6
07/04/2016,14.8,17.8,11.7,0.1,1015.8,337,5,4,7
08/04/2016,17.1,21.6,12.5,0.0,1016.8,116,6,4,8
09/04/2016,18.8,23.6,14.0,0.0,1013.0,87,8,4,9
10/04/2016,16.1,19.1,13.0,0.0,1014.7,80,7,4,10
11/04/2016,13.8,17.5,10.1,2.6,1017.1,87,10,4,11
12/04/2016,15.7,17.8,13.6,0.4,1009.7,137,7,4,12
13/04/2016,19.0,23.6,14.4,0.0,1008.6,54,7,4,13
14/04/2016,19.3,25.7,12.9,0.0,1015.4,93,8,4,14
15/04/2016,18.9,24.0,13.8,0.0,1013.4,127,14,4,15
16/04/2016,19.8,22.6,17.0,18.2,1005.9,235,19,4,16
17/04/2016,17.3,20.4,14.2,0.8,1017.7,47,9,4,17
18/04/2016,16.6,21.3,11.8,0.0,1020.3,185,9,4,18
19/04/2016,17.2,23.4,11.0,0.0,1019.7,149,15,4,19
20/04/2016,18.5,21.7,15.3,23.3,1010.1,200,11,4,20
21/04/2016,20.1,24.1,16.2,0.0,1010.9,256,8,4,21
22/04/2016,21.1,27.2,15.1,5.1,1010.8,154,10,4,22
23/04/2016,15.2,16.5,14.0,22.8,1012.9,80,14,4,23
24/04/2016,16.1,18.5,13.7,0.4,1015.5,67,6,4,24
25/04/2016,15.6,16.9,14.2,2.6,1016.3,107,7,4,25
26/04/2016,16.1,17.0,15.2,4.8,1010.4,56,10,4,26
27/04/2016,14.9,16.7,13.2,0.5,1010.3,280,14,4,27
28/04/2016,18.2,22.7,13.7,0.0,1015.3,306,9,4,28
01/05/2016,22.9,29.9,15.8,0.0,1009.6,164,12,5,1
02/05/2016,23.0,25.1,20.9,5.7,1004.6,201,12,5,2
03/05/2016,21.4,25.3,17.6,0.0,1010.7,261,14,5,3
04/05/2016,21.4,29.8,13.0,0.0,1011.4,154,9,5,4
05/05/2016,23.8,25.7,21.8,5.4,1007.6,189,7,5,5
07/05/2016,17.8,19.8,15.7,0.4,1016.6,81,12,5,7
08/05/2016,16.4,18.1,14.8,0.3,1014.3,68,9,5,8
09/05/2016,16.3,17.9,14.7,21.2,1010.1,39,9,5,9
11/05/2016,18.1,24.7,11.6,0.0,1011.5,144,8,5,11
12/05/2016,22.7,28.3,17.1,0.0,1012.3,139,9,5,12
13/05/2016,17.7,19.9,15.5,0.3,1021.0,68,9,5,13
14/05/2016,20.3,25.1,15.5,0.0,1015.6,154,12,5,14
15/05/2016,20.2,25.7,14.7,18.3,1014.5,278,13,5,15
16/05/2016,18.9,23.7,14.1,0.0,1017.0,246,8,5,16
17/05/2016,18.6,25.5,11.8,0.0,1017.5,125,8,5,17
18/05/2016,18.9,25.4,12.4,0.0,1016.1,103,9,5,18
19/05/2016,21.4,25.0,17.9,0.0,1014.1,107,13,5,19
20/05/2016,21.6,23.4,19.7,14.7,1013.4,82,16,5,20
21/05/2016,19.4,20.2,18.5,16.8,1011.6,115,11,5,21
22/05/2016,21.2,23.4,19.0,0.0,1012.8,264,8,5,22
23/05/2016,22.1,25.8,18.4,0.4,1010.9,312,7,5,23
24/05/2016,22.1,25.1,19.2,0.0,1010.1,142,7,5,24
25/05/2016,23.9,28.8,19.1,0.2,1009.0,128,8,5,25
26/05/2016,23.4,24.5,22.3,6.0,1010.3,1,5,5,26
27/05/2016,20.2,20.9,19.6,17.9,1010.2,68,8,5,27
28/05/2016,20.1,20.9,19.2,48.9,1007.1,45,5,5,28
01/06/2016,19.4,21.6,17.3,0.8,1008.1,58,10,6,1
02/06/2016,20.8,24.1,17.5,0.0,1009.8,87,10,6,2
