Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,-3.0,6.0,-11.9,0.0,1020.8,152,6,1,1
02/01/2016,-4.1,-1.0,-7.2,0.0,1022.5,2,5,1,2
03/01/2016,-7.3,-3.5,-11.2,0.0,1024.6,28,5,1,3
04/01/2016,-9.6,-3.3,-15.9,0.0,1028.8,282,6,1,4
05/01/2016,-11.6,-5.4,-17.8,0.0,1028.0,179,6,1,5
06/01/2016,-10.6,-3.8,-17.4,0.0,1029.7,84,5,1,6
07/01/2016,-11.4,-4.0,-18.9,0.0,1026.0,211,6,1,7
08/01/2016,-10.9,-5.0,-16.9,0.0,1026.0,149,4,1,8
09/01/2016,-10.1,-2.4,-17.7,0.0,1025.2,8,5,1,9
10/01/2016,-12.7,-8.2,-17.1,0.0,1033.2,57,5,1,10
11/01/2016,-14.9,-8.2,-21.7,0.0,1033.6,272,5,1,11
12/01/2016,-14.9,-8.1,-21.8,0.0,1025.0,228,5,1,12
13/01/2016,-11.1,-6.1,-16.1,0.0,1021.1,165,6,1,13
14/01/2016,-11.6,-4.4,-18.7,0.0,1020.8,170,6,1,14
15/01/2016,-9.4,-3.3,-15.5,0.0,1023.6,25,8,1,15
16/01/2016,-9.3,-6.5,-12.2,0.8,1026.6,355,14,1,16
17/01/2016,-13.1,-10.3,-15.9,0.0,1025.0,354,8,1,17
18/01/2016,-18.9,-15.0,-22.9,0.0,1024.8,286,8,1,18
19/01/2016,-19.1,-13.5,-24.6,0.0,1034.1,295,6,1,19
20/01/2016,-16.9,-10.4,-23.3,0.0,1037.1,279,5,1,20
21/01/2016,-15.8,-9.7,-22.0,0.0,1036.8,354,8,1,21
22/01/2016,-17.2,-12.9,-21.5,0.0,1040.7,291,11,1,22
23/01/2016,-20.5,-17.6,-23.4,0.0,1036.8,237,8,1,23
24/01/2016,-18.3,-11.8,-24.8,0.0,1030.6,203,5,1,24
25/01/2016,-12.7,-3.2,-22.1,0.0,1026.4,187,6,1,25
26/01/2016,-11.3,-3.9,-18.7,0.0,1025.9,204,5,1,26
27/01/2016,-9.8,-0.7,-18.9,0.0,1028.6,165,7,1,27
28/01/2016,-8.3,-2.2,-14.5,0.0,1034.7,12,9,1,28
01/02/2016,-12.9,-4.3,-21.6,0.0,1032.3,157,5,2,1
02/02/2016,-10.8,-1.8,-19.8,0.0,1028.6,170,5,2,2
03/02/2016,-8.0,2.1,-18.1,0.0,1026.8,280,8,2,3
04/02/2016,-6.1,-1.0,-11.2,0.0,1027.1,229,7,2,4
05/02/2016,-9.9,-2.8,-17.1,0.0,1026.6,21,4,2,5
06/02/2016,-9.9,-1.6,-18.2,0.0,1026.4,198,4,2,6
07/02/2016,-6.3,3.0,-15.6,0.0,1015.8,227,9,2,7
08/02/2016,-4.2,1.0,-9.4,0.0,1014.9,192,4,2,8
09/02/2016,-6.0,3.3,-15.2,0.0,1022.3,181,4,2,9
10/02/2016,-0.4,9.2,-10.0,0.0,1020.5,163,7,2,10
11/02/2016,4.2,13.6,-5.1,2.4,1017.3,160,8,2,11
13/02/2016,-3.1,-0.5,-5.7,5.7,1021.8,354,19,2,13
14/02/2016,-12.1,-8.8,-15.3,0.0,1025.4,283,10,2,14
15/02/2016,-11.6,-3.7,-19.4,0.0,1018.2,213,12,2,15
16/02/2016,-4.5,1.4,-10.5,0.0,1018.5,272,9,2,16
17/02/2016,-3.9,4.7,-12.4,0.0,1017.1,208,13,2,17
18/02/2016,-2.0,3.8,-7.9,0.0,1019.7,291,9,2,18
19/02/2016,-3.8,2.2,-9.7,0.0,1028.8,274,7,2,19
20/02/2016,-6.6,-0.1,-13.1,0.0,1027.2,285,10,2,20
21/02/2016,-6.5,-0.6,-12.4,0.0,1028.8,165,5,2,21
22/02/2016,-4.2,0.9,-9.4,1.8,1030.4,19,10,2,22
23/02/2016,-11.4,-4.9,-18.0,0.0,1037.2,41,5,2,23
24/02/2016,-9.4,0.0,-18.9,0.0,1033.0,254,5,2,24
25/02/2016,-7.7,-1.6,-13.7,0.0,1031.5,239,6,2,25
26/02/2016,-6.1,2.0,-14.2,0.0,1024.7,163,8,2,26
27/02/2016,-4.4,1.7,-10.5,0.0,1026.2,3,5,2,27
28/02/2016,-6.7,0.2,-13.5,0.1,1027.3,327,13,2,28
01/03/2016,-2.7,5.9,-11.3,0.0,1019.6,218,10,3,1
02/03/2016,3.1,10.5,-4.3,0.0,1017.5,38,8,3,2
03/03/2016,2.9,10.1,-4.4,0.0,1018.8,85,7,3,3
04/03/2016,6.0,13.9,-1.8,4.5,1019.3,122,8,3,4
05/03/2016,3.0,7.0,-1.1,2.2,1018.5,277,5,3,5
06/03/2016,1.2,7.2,-4.8,0.0,1019.6,209,5,3,6
07/03/2016,0.2,4.3,-3.9,0.4,1023.2,315,10,3,7
08/03/2016,-3.8,-0.7,-6.9,0.0,1029.3,306,14,3,8
09/03/2016,-3.9,-0.6,-7.1,0.0,1029.9,288,9,3,9
10/03/2016,-3.6,-0.2,-7.1,0.0,1027.8,243,10,3,10
11/03/2016,-4.3,2.2,-10.9,0.0,1022.9,176,5,3,11
12/03/2016,-0.1,9.0,-9.2,0.0,1019.2,208,13,3,12
13/03/2016,-0.1,4.1,-4.3,0.0,1024.6,42,5,3,13
14/03/2016,0.2,9.7,-9.3,0.0,1021.6,206,9,3,14
15/03/2016,4.7,14.9,-5.5,0.0,1015.8,217,15,3,15
16/03/2016,9.2,14.5,3.9,0.0,1015.7,205,13,3,16
17/03/2016,8.0,13.7,2.2,0.0,1011.1,199,16,3,17
18/03/2016,10.4,15.1,5.8,0.0,1015.3,347,13,3,18
19/03/2016,5.2,10.1,0.4,0.0,1023.4,26,9,3,19
20/03/2016,4.2,12.7,-4.4,0.0,1024.8,72,6,3,20
21/03/2016,7.0,18.2,-4.3,0.0,1019.6,235,18,3,21
22/03/2016,6.4,11.4,1.4,0.0,1024.5,15,12,3,22
23/03/2016,4.1,7.9,0.3,0.0,1029.1,29,8,3,23
24/03/2016,1.0,8.7,-6.7,0.0,1029.2,21,9,3,24
25/03/2016,2.6,11.6,-6.4,0.0,1024.8,11,6,3,25
26/03/2016,5.0,14.4,-4.4,0.0,1019.7,238,5,3,26
27/03/2016,7.5,18.3,-3.3,0.0,1015.6,205,7,3,27
28/03/2016,10.2,19.7,0.7,0.0,1011.2,172,11,3,28
01/04/2016,12.7,16.1,9.2,12.7,1012.6,259,10,4,1
02/04/2016,8.6,14.0,3.2,0.0,1020.5,266,6,4,2
03/04/2016,7.7,15.3,0.1,0.0,1017.6,217,10,4,3
04/04/2016,9.8,19.6,-0.1,0.0,1010.5,239,15,4,4
05/04/2016,11.3,16.1,6.6,0.0,1015.0,17,6,4,5
07/04/2016,11.4,15.7,7.1,0.0,1012.2,250,10,4,7
08/04/2016,9.8,19.9,-0.4,0.0,1009.9,265,23,4,8
09/04/2016,7.8,11.5,4.2,0.0,1016.2,35,14,4,9
11/04/2016,5.6,15.5,-4.3,0.1,1015.0,200,11,4,11
12/04/2016,9.8,12.2,7.3,18.8,1007.3,204,7,4,12
13/04/2016,11.3,16.4,6.2,0.0,1005.0,231,10,4,13
14/04/2016,10.9,14.6,7.2,0.0,1016.5,36,8,4,14
15/04/2016,11.9,21.3,2.5,0.1,1010.5,194,12,4,15
16/04/2016,13.8,16.9,10.6,5.2,1005.5,276,9,4,16
17/04/2016,7.0,8.8,5.3,1.6,1007.3,242,6,4,17
18/04/2016,6.4,13.7,-0.9,2.5,1014.3,199,9,4,18
19/04/2016,11.6,19.2,3.9,6.0,1017.1,204,14,4,19
20/04/2016,13.8,21.2,6.3,0.0,1009.9,205,11,4,20
21/04/2016,16.2,23.3,9.1,0.0,1001.4,237,15,4,21
22/04/2016,12.8,17.7,7.9,0.0,1008.8,275,11,4,22
23/04/2016,11.2,18.2,4.3,0.0,1014.6,324,11,4,23
24/04/2016,12.8,24.1,1.5,0.0,1010.1,206,17,4,24
25/04/2016,13.9,18.4,9.5,0.0,1018.2,14,10,4,25
26/04/2016,14.4,19.7,9.1,0.0,1017.2,12,11,4,26
27/04/2016,15.0,21.6,8.4,0.0,1012.4,354,11,4,27
28/04/2016,15.1,19.7,10.5,0.0,1013.7,6,10,4,28
01/05/2016,17.6,24.3,10.8,0.0,1003.6,190,13,5,1
02/05/2016,19.8,24.6,14.9,26.7,1001.5,0,15,5,2
03/05/2016,9.6,11.7,7.5,73.6,986.4,336,26,5,3
04/05/2016,14.1,20.8,7.4,0.6,1005.1,316,9,5,4
06/05/2016,15.2,20.2,10.2,0.0,1007.2,271,13,5,6
07/05/2016,17.1,21.9,12.4,0.0,1016.2,338,6,5,7
08/05/2016,15.5,25.5,5.5,0.0,1010.8,221,15,5,8
09/05/2016,18.6,24.0,13.3,0.0,1009.8,228,6,5,9
10/05/2016,17.4,25.2,9.7,0.0,1006.4,77,6,5,10
11/05/2016,17.4,26.4,8.4,0.0,1002.1,200,17,5,11
12/05/2016,12.8,18.4,7.2,31.8,1011.9,229,6,5,12
13/05/2016,12.4,21.9,2.9,0.0,1020.4,218,10,5,13
14/05/2016,13.6,18.2,9.0,22.4,1015.1,223,9,5,14
15/05/2016,13.4,18.1,8.8,0.4,1007.4,224,6,5,15
16/05/2016,14.3,23.5,5.1,0.0,1005.5,207,6,5,16
17/05/2016,18.7,28.4,9.0,0.0,1009.5,212,17,5,17
18/05/2016,23.7,29.5,17.9,0.0,1013.7,185,14,5,18
19/05/2016,20.4,28.7,12.0,0.0,1015.6,213,10,5,19
20/05/2016,19.6,28.4,10.8,0.0,1017.5,207,10,5,20
21/05/2016,18.9,28.1,9.8,0.0,1019.2,354,7,5,21
22/05/2016,21.1,26.5,15.6,0.0,1015.0,23,7,5,22
23/05/2016,18.6,23.5,13.6,17.2,1008.1,201,7,5,23
24/05/2016,17.4,21.9,13.0,3.0,999.2,208,14,5,24
25/05/2016,18.8,23.0,14.6,0.0,1003.9,200,10,5,25
26/05/2016,18.6,24.6,12.7,0.0,1008.4,258,7,5,26
27/05/2016,18.6,27.9,9.4,0.0,1006.9,202,14,5,27
28/05/2016,19.9,29.0,10.8,0.0,1003.6,215,17,5,28
01/06/2016,19.2,29.4,9.1,0.0,1010.0,81,6,6,1
02/06/2016,22.1,31.9,12.3,0.0,1006.7,209,14,6,2
03/06/2016,22.4,30.0,14.8,0.0,1006.1,216,15,6,3
04/06/2016,21.8,27.8,15.7,0.0,1009.3,223,9,6,4
05/06/2016,21.2,29.8,12.6,0.0,1010.4,216,9,6,5
06/06/2016,21.9,29.1,14.6,0.2,1010.6,277,13,6,6
07/06/2016,21.4,25.1,17.7,0.0,1009.5,24,5,6,7
08/06/2016,21.1,29.6,12.5,0.0,1008.1,199,8,6,8
09/06/2016,23.1,31.2,14.9,0.0,1006.5,192,11,6,9
