Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,0.9,5.9,-4.1,0.0,1022.4,22,2,1,1
02/01/2016,0.1,4.6,-4.4,0.0,1020.4,299,5,1,2
03/01/2016,-1.2,1.4,-3.9,0.0,1025.0,0,7,1,3
04/01/2016,0.9,3.2,-1.4,0.0,1030.5,7,6,1,4
05/01/2016,0.6,2.9,-1.7,0.0,1030.0,136,7,1,5
06/01/2016,-0.7,4.3,-5.6,0.0,1032.1,29,5,1,6
07/01/2016,-2.2,1.3,-5.7,0.0,1030.8,190,8,1,7
08/01/2016,-0.5,4.3,-5.2,0.0,1027.9,268,7,1,8
09/01/2016,-0.7,5.8,-7.1,0.0,1025.5,142,6,1,9
10/01/2016,-1.6,2.5,-5.8,0.0,1032.1,343,5,1,10
12/01/2016,-3.8,1.4,-8.9,0.0,1031.0,248,6,1,12
13/01/2016,0.9,8.3,-6.4,0.0,1023.7,250,13,1,13
14/01/2016,3.0,8.0,-2.0,0.0,1019.9,277,10,1,14
15/01/2016,0.7,6.8,-5.4,0.0,1018.0,13,6,1,15
16/01/2016,-2.4,-0.4,-4.3,0.0,1023.4,15,6,1,16
17/01/2016,-2.5,-0.1,-4.9,0.0,1026.1,112,7,1,17
18/01/2016,-3.3,2.5,-9.1,0.0,1028.3,270,7,1,18
19/01/2016,-5.0,0.7,-10.7,0.0,1032.4,41,5,1,19
20/01/2016,-3.2,-0.5,-6.0,0.0,1033.5,352,4,1,20
21/01/2016,-4.9,-1.2,-8.6,3.2,1034.4,353,6,1,21
22/01/2016,-6.7,-3.9,-9.4,2.0,1043.1,11,9,1,22
23/01/2016,-10.9,-7.3,-14.5,0.0,1044.8,300,20,1,23
24/01/2016,-5.7,0.1,-11.5,0.0,1039.3,273,13,1,24
25/01/2016,0.1,5.8,-5.5,0.0,1029.7,249,11,1,25
26/01/2016,0.7,4.3,-2.9,0.0,1028.6,250,8,1,26
27/01/2016,-2.3,3.1,-7.7,0.0,1027.4,300,5,1,27
28/01/2016,0.2,4.0,-3.6,0.0,1030.8,332,6,1,28
01/02/2016,-0.6,6.6,-7.8,0.0,1035.6,293,7,2,1
02/02/2016,1.6,8.0,-4.7,0.0,1029.9,249,8,2,2
03/02/2016,1.9,9.5,-5.7,0.0,1028.6,249,8,2,3
04/02/2016,2.0,5.7,-1.7,0.0,1030.8,8,5,2,4
05/02/2016,0.3,6.0,-5.4,0.0,1031.8,279,10,2,5
06/02/2016,4.1,8.6,-0.4,0.0,1028.4,294,9,2,6
07/02/2016,5.3,11.8,-1.1,0.0,1019.1,267,13,2,7
08/02/2016,9.5,16.6,2.4,0.0,1016.8,33,7,2,8
09/02/2016,6.0,12.3,-0.3,0.0,1020.7,317,6,2,9
11/02/2016,6.6,9.0,4.2,0.0,1016.6,355,4,2,11
12/02/2016,2.4,4.6,0.1,13.1,1017.5,344,6,2,12
13/02/2016,2.8,4.7,0.8,0.0,1028.3,339,11,2,13
14/02/2016,-0.8,3.2,-4.8,0.0,1033.2,306,12,2,14
15/02/2016,3.0,8.8,-2.8,0.0,1026.8,264,17,2,15
16/02/2016,7.2,12.7,1.8,0.0,1024.8,299,13,2,16
17/02/2016,7.1,12.7,1.5,0.0,1021.3,212,11,2,17
18/02/2016,8.6,14.7,2.5,0.0,1022.0,276,11,2,18
21/02/2016,0.1,3.5,-3.3,0.0,1026.0,38,4,2,21
22/02/2016,2.4,8.1,-3.3,0.0,1030.4,61,4,2,22
23/02/2016,1.3,6.5,-3.9,0.0,1038.7,50,6,2,23
24/02/2016,2.6,10.0,-4.8,0.0,1034.8,231,7,2,24
25/02/2016,3.6,9.6,-2.3,0.0,1031.6,294,6,2,25
26/02/2016,5.1,11.0,-0.8,0.0,1023.9,210,9,2,26
27/02/2016,3.7,7.9,-0.5,0.0,1025.6,345,6,2,27
28/02/2016,5.7,10.2,1.1,0.0,1032.0,342,13,2,28
01/03/2016,6.5,14.5,-1.5,0.0,1022.2,171,8,3,1
02/03/2016,13.6,23.1,4.0,0.0,1015.0,210,12,3,2
03/03/2016,16.8,24.3,9.3,0.0,1011.6,290,7,3,3
04/03/2016,9.2,11.9,6.6,0.0,1018.4,335,8,3,4
05/03/2016,10.2,15.3,5.1,0.0,1019.9,345,7,3,5
06/03/2016,7.8,13.7,1.9,0.0,1016.1,334,8,3,6
07/03/2016,9.9,14.8,5.0,0.0,1023.1,94,8,3,7
08/03/2016,3.1,5.5,0.8,0.0,1031.7,91,7,3,8
09/03/2016,3.2,5.6,0.8,0.0,1034.3,202,7,3,9
