Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,19.6,22.2,17.1,0.0,1022.9,24,26,1,1
02/01/2016,20.0,22.4,17.6,0.0,1019.8,24,14,1,2
03/01/2016,20.9,22.7,19.2,0.4,1018.2,52,14,1,3
04/01/2016,20.9,21.6,20.1,18.0,1016.9,87,14,1,4
05/01/2016,23.4,26.0,20.8,0.3,1015.9,198,12,1,5
06/01/2016,21.9,23.9,20.0,0.0,1018.0,54,24,1,6
07/01/2016,20.4,22.3,18.4,0.0,1018.8,43,32,1,7
08/01/2016,20.5,22.2,18.8,0.0,1018.1,53,25,1,8
09/01/2016,20.2,22.1,18.4,0.0,1017.2,77,24,1,9
10/01/2016,21.4,22.9,20.0,0.0,1014.9,105,15,1,10
11/01/2016,23.4,25.9,20.8,5.0,1014.9,135,11,1,11
12/01/2016,18.5,19.5,17.5,9.9,1016.6,30,30,1,12
13/01/2016,18.8,20.1,17.5,0.9,1016.2,37,43,1,13
14/01/2016,19.2,20.6,17.9,1.5,1015.4,58,26,1,14
15/01/2016,20.8,22.6,18.9,0.0,1012.2,134,12,1,15
16/01/2016,22.6,24.1,21.2,0.1,1011.3,180,9,1,16
17/01/2016,22.5,23.5,21.5,0.2,1011.3,130,13,1,17
18/01/2016,18.4,19.8,17.1,2.1,1014.3,30,30,1,18
19/01/2016,19.4,21.9,17.0,8.9,1015.4,38,36,1,19
20/01/2016,21.1,22.7,19.5,1.7,1016.2,104,9,1,20
21/01/2016,23.1,25.6,20.5,0.0,1015.4,189,6,1,21
22/01/2016,23.6,26.1,21.2,0.1,1016.6,96,11,1,22
23/01/2016,15.1,19.7,10.5,0.4,1022.6,19,41,1,23
24/01/2016,8.8,10.6,7.1,2.7,1029.5,19,36,1,24
25/01/2016,8.9,12.3,5.6,0.0,1027.8,22,35,1,25
26/01/2016,12.3,15.8,8.8,0.8,1023.0,18,16,1,26
