Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,19.2,22.3,16.1,0.0,1025.1,22,3,1,1
02/01/2016,19.1,22.8,15.4,4.5,1021.3,91,4,1,2
03/01/2016,18.9,20.0,17.8,3.7,1019.5,44,3,1,3
05/01/2016,21.4,22.8,20.0,6.2,1016.1,0,5,1,5
06/01/2016,21.6,24.5,18.6,0.0,1020.2,4,10,1,6
07/01/2016,18.8,21.6,15.9,0.0,1022.0,39,6,1,7
08/01/2016,18.3,21.6,15.0,0.0,1020.8,22,7,1,8
09/01/2016,17.6,20.3,15.0,0.0,1020.2,60,5,1,9
10/01/2016,18.1,19.6,16.5,35.3,1016.6,34,7,1,10
11/01/2016,18.4,21.2,15.6,0.7,1017.9,355,8,1,11
12/01/2016,15.7,16.9,14.4,0.0,1020.9,17,13,1,12
13/01/2016,15.8,19.8,11.8,0.0,1020.9,25,6,1,13
14/01/2016,14.6,16.0,13.2,15.2,1018.4,32,6,1,14
15/01/2016,14.1,15.0,13.1,21.3,1015.3,12,6,1,15
16/01/2016,15.5,17.8,13.2,10.5,1012.3,48,7,1,16
17/01/2016,17.8,19.0,16.6,4.0,1013.4,339,9,1,17
18/01/2016,13.8,17.4,10.1,0.0,1018.5,41,9,1,18
19/01/2016,15.4,17.2,13.6,0.7,1020.5,38,7,1,19
20/01/2016,15.1,15.9,14.3,3.5,1019.3,32,6,1,20
22/01/2016,11.2,13.0,9.3,3.5,1021.7,360,10,1,22
23/01/2016,6.5,7.6,5.4,3.2,1030.7,360,16,1,23
24/01/2016,3.5,5.3,1.7,3.1,1036.0,8,11,1,24
25/01/2016,6.3,10.9,1.8,0.0,1031.8,33,9,1,25
26/01/2016,8.6,10.9,6.2,10.8,1026.8,352,7,1,26
27/01/2016,10.3,14.7,6.0,2.8,1021.6,34,7,1,27
28/01/2016,14.7,16.5,12.9,102.8,1017.8,360,5,1,28
01/02/2016,11.6,13.8,9.4,13.9,1024.3,2,8,2,1
02/02/2016,7.7,8.8,6.5,1.4,1025.2,357,9,2,2
03/02/2016,9.8,12.6,7.1,0.0,1023.9,4,7,2,3
04/02/2016,15.2,19.8,10.6,0.0,1022.0,326,6,2,4
05/02/2016,13.8,17.5,10.0,0.0,1022.5,355,12,2,5
06/02/2016,13.2,16.8,9.6,0.0,1026.2,5,11,2,6
07/02/2016,12.3,17.5,7.2,0.0,1025.8,357,7,2,7
