Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,4.6,7.5,1.7,0.0,1026.1,202,14,1,1
02/01/2016,8.2,10.8,5.6,0.0,1019.9,167,7,1,2
03/01/2016,5.3,8.5,2.2,0.0,1021.9,335,16,1,3
04/01/2016,3.5,6.6,0.4,0.0,1027.5,37,7,1,4
05/01/2016,2.2,3.4,1.0,0.0,1029.3,354,8,1,5
07/01/2016,-0.9,1.2,-3.0,0.0,1029.0,332,13,1,7
08/01/2016,-0.3,2.2,-2.9,0.0,1027.8,347,13,1,8
09/01/2016,0.9,5.0,-3.1,0.0,1026.8,93,4,1,9
10/01/2016,3.0,5.7,0.2,0.0,1028.7,8,9,1,10
11/01/2016,-1.0,1.0,-3.0,0.0,1032.3,14,23,1,11
12/01/2016,-2.7,-0.8,-4.6,0.0,1029.1,335,18,1,12
13/01/2016,-1.5,1.8,-4.8,0.0,1024.6,6,12,1,13
14/01/2016,1.9,5.9,-2.2,0.0,1021.1,266,6,1,14
15/01/2016,2.4,6.0,-1.3,0.0,1019.6,210,6,1,15
16/01/2016,5.2,8.0,2.5,0.0,1020.0,176,7,1,16
17/01/2016,0.3,5.6,-4.9,0.0,1021.5,354,27,1,17
18/01/2016,-5.0,-3.2,-6.9,0.0,1026.7,337,22,1,18
19/01/2016,-4.7,-2.1,-7.2,0.0,1032.9,348,20,1,19
20/01/2016,-4.5,-1.7,-7.4,0.0,1034.4,17,10,1,20
21/01/2016,-1.9,0.4,-4.3,0.0,1033.0,32,9,1,21
23/01/2016,-10.3,-7.9,-12.7,0.0,1038.8,337,27,1,23
24/01/2016,-10.4,-5.8,-15.1,0.0,1036.6,307,22,1,24
25/01/2016,-4.3,0.4,-9.0,0.0,1030.6,309,14,1,25
26/01/2016,0.7,4.3,-2.9,0.0,1028.7,341,6,1,26
27/01/2016,0.6,4.8,-3.7,0.0,1028.7,100,8,1,27
28/01/2016,3.5,6.0,0.9,0.0,1027.7,62,7,1,28
01/02/2016,-2.5,1.3,-6.3,0.0,1034.7,342,16,2,1
02/02/2016,-0.4,4.4,-5.2,0.0,1030.5,265,9,2,2
03/02/2016,2.8,6.7,-1.1,0.0,1029.1,23,6,2,3
04/02/2016,3.5,7.1,-0.1,0.0,1028.6,350,13,2,4
05/02/2016,0.5,3.7,-2.8,0.0,1028.6,340,15,2,5
06/02/2016,-0.1,3.8,-4.0,0.0,1028.6,307,12,2,6
07/02/2016,1.8,5.5,-2.0,0.0,1021.0,197,9,2,7
08/02/2016,7.4,13.3,1.5,0.0,1018.3,273,9,2,8
09/02/2016,6.5,11.0,1.9,0.0,1023.2,144,11,2,9
10/02/2016,7.0,9.2,4.7,0.0,1018.7,135,18,2,10
12/02/2016,8.6,10.5,6.7,17.0,1013.0,347,8,2,12
13/02/2016,3.2,8.1,-1.7,6.0,1016.7,347,37,2,13
15/02/2016,-1.6,1.3,-4.6,0.0,1025.7,289,16,2,15
16/02/2016,3.2,7.2,-0.8,0.0,1024.2,307,13,2,16
17/02/2016,4.7,8.8,0.5,0.0,1023.8,216,10,2,17
18/02/2016,6.6,9.3,3.9,0.0,1023.0,342,13,2,18
19/02/2016,4.8,7.0,2.7,0.0,1027.4,80,14,2,19
20/02/2016,1.9,4.5,-0.8,0.0,1029.6,340,16,2,20
22/02/2016,3.5,4.5,2.6,0.5,1029.5,204,9,2,22
23/02/2016,2.1,4.5,-0.2,0.0,1037.0,357,14,2,23
24/02/2016,0.8,5.1,-3.5,0.0,1036.7,233,9,2,24
26/02/2016,5.8,8.6,3.1,0.0,1025.0,156,10,2,26
27/02/2016,4.2,7.8,0.5,0.5,1023.1,154,9,2,27
28/02/2016,2.7,4.1,1.3,0.3,1028.6,349,20,2,28
01/03/2016,2.0,6.5,-2.4,0.0,1026.9,187,12,3,1
02/03/2016,5.3,7.3,3.3,0.0,1020.7,167,17,3,2
03/03/2016,7.9,10.6,5.2,0.0,1017.6,164,13,3,3
04/03/2016,9.4,12.9,5.9,0.8,1017.9,155,10,3,4
05/03/2016,7.8,9.8,5.7,0.0,1020.1,355,15,3,5
06/03/2016,7.0,9.1,4.8,0.0,1019.2,146,13,3,6
07/03/2016,9.3,12.7,6.0,0.0,1020.8,353,10,3,7
08/03/2016,3.7,6.2,1.2,0.0,1028.0,15,15,3,8
09/03/2016,1.4,4.7,-2.0,0.0,1031.9,349,18,3,9
10/03/2016,2.2,6.3,-1.8,0.0,1030.2,340,12,3,10
11/03/2016,2.9,6.4,-0.7,0.0,1024.8,194,15,3,11
12/03/2016,6.2,8.5,3.9,2.6,1021.7,174,10,3,12
13/03/2016,5.2,7.5,2.9,0.0,1024.9,219,12,3,13
14/03/2016,5.3,10.2,0.4,0.0,1026.0,190,12,3,14
15/03/2016,6.0,8.1,3.8,0.0,1021.7,160,10,3,15
