Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,-4.2,0.4,-8.8,0.0,1021.4,17,5,1,1
02/01/2016,-9.4,-4.8,-14.0,0.0,1025.4,96,5,1,2
03/01/2016,-9.8,-5.7,-14.0,0.0,1025.6,282,6,1,3
04/01/2016,-11.7,-7.2,-16.1,0.0,1027.8,272,13,1,4
05/01/2016,-11.6,-5.4,-17.7,0.0,1025.6,258,11,1,5
06/01/2016,-10.2,-6.3,-14.0,0.0,1029.8,284,8,1,6
07/01/2016,-9.7,-4.4,-14.9,0.0,1025.0,280,12,1,7
08/01/2016,-10.3,-5.9,-14.8,0.0,1024.7,264,8,1,8
09/01/2016,-10.6,-5.4,-15.7,0.0,1025.8,303,7,1,9
10/01/2016,-13.3,-9.4,-17.2,0.0,1033.3,284,5,1,10
11/01/2016,-13.2,-8.5,-17.8,0.0,1033.2,286,9,1,11
12/01/2016,-12.2,-6.2,-18.2,0.0,1023.2,280,10,1,12
13/01/2016,-10.8,-6.9,-14.8,0.0,1020.3,280,8,1,13
14/01/2016,-12.7,-6.8,-18.6,0.0,1020.7,304,5,1,14
15/01/2016,-13.8,-9.4,-18.2,0.0,1027.5,49,10,1,15
17/01/2016,-18.0,-15.4,-20.6,0.0,1026.7,298,9,1,17
18/01/2016,-20.8,-16.5,-25.0,0.0,1025.8,311,9,1,18
19/01/2016,-19.4,-14.8,-24.0,0.0,1035.0,292,8,1,19
20/01/2016,-18.1,-13.1,-23.2,0.0,1038.2,280,6,1,20
21/01/2016,-17.9,-11.1,-24.8,0.0,1039.0,323,7,1,21
22/01/2016,-20.6,-17.0,-24.1,0.0,1041.6,294,12,1,22
23/01/2016,-22.4,-18.5,-26.3,0.0,1037.6,308,10,1,23
24/01/2016,-16.6,-9.1,-24.2,0.0,1028.9,282,8,1,24
25/01/2016,-9.8,-1.2,-18.5,0.0,1024.3,277,10,1,25
26/01/2016,-11.7,-5.8,-17.6,0.0,1024.0,267,10,1,26
27/01/2016,-9.4,-3.3,-15.6,0.0,1028.1,296,9,1,27
28/01/2016,-11.3,-8.7,-13.9,0.0,1036.9,7,9,1,28
01/02/2016,-11.3,-4.0,-18.7,0.0,1031.4,278,8,2,1
02/02/2016,-8.9,-1.2,-16.6,0.0,1027.0,249,7,2,2
03/02/2016,-8.2,-1.1,-15.2,0.0,1025.9,274,12,2,3
04/02/2016,-6.7,-0.1,-13.3,0.0,1026.0,286,9,2,4
05/02/2016,-7.7,-3.0,-12.4,0.0,1026.8,297,8,2,5
06/02/2016,-6.8,-0.8,-12.7,0.0,1024.4,265,8,2,6
07/02/2016,-6.3,0.9,-13.5,0.0,1014.2,257,6,2,7
08/02/2016,-7.0,-1.9,-12.2,0.0,1015.2,304,6,2,8
09/02/2016,-4.2,3.8,-12.1,0.0,1019.4,207,8,2,9
10/02/2016,1.9,8.6,-4.8,0.0,1017.0,182,8,2,10
11/02/2016,2.4,7.2,-2.5,0.0,1014.6,214,12,2,11
12/02/2016,1.4,4.6,-1.8,0.5,1021.8,6,13,2,12
13/02/2016,-6.9,-4.4,-9.4,0.1,1026.8,339,14,2,13
14/02/2016,-12.0,-8.1,-15.9,0.0,1024.8,298,11,2,14
15/02/2016,-8.5,-1.4,-15.6,0.0,1015.1,277,14,2,15
16/02/2016,-4.7,0.8,-10.1,0.0,1017.2,284,11,2,16
17/02/2016,-1.4,6.7,-9.4,0.0,1013.3,266,10,2,17
18/02/2016,-3.4,1.5,-8.2,0.0,1019.5,295,11,2,18
19/02/2016,-6.1,-1.1,-11.1,0.0,1028.4,275,11,2,19
20/02/2016,-8.2,-2.7,-13.8,0.0,1026.7,286,11,2,20
21/02/2016,-10.6,-3.7,-17.5,0.0,1027.3,215,7,2,21
22/02/2016,-9.6,-6.1,-13.1,0.0,1033.2,355,13,2,22
23/02/2016,-10.9,-5.8,-16.0,0.0,1036.6,282,8,2,23
24/02/2016,-9.8,-3.4,-16.2,0.0,1033.0,287,9,2,24
25/02/2016,-8.4,-2.2,-14.7,0.0,1030.4,297,9,2,25
27/02/2016,-7.2,-2.7,-11.6,0.2,1027.2,257,6,2,27
28/02/2016,-8.0,-4.4,-11.6,0.3,1029.3,316,8,2,28
01/03/2016,-2.2,5.4,-9.9,0.0,1017.4,237,9,3,1
02/03/2016,-2.0,5.9,-10.0,0.0,1017.5,55,11,3,2
03/03/2016,1.2,5.8,-3.3,0.0,1021.0,73,14,3,3
04/03/2016,-0.7,2.5,-3.9,5.4,1021.0,27,7,3,4
05/03/2016,1.4,4.6,-1.9,0.0,1016.7,255,8,3,5
06/03/2016,-1.1,4.0,-6.1,0.2,1020.0,317,12,3,6
07/03/2016,-3.2,0.9,-7.3,1.2,1023.4,273,13,3,7
08/03/2016,-6.5,-1.7,-11.3,0.0,1028.3,288,13,3,8
09/03/2016,-6.3,-1.3,-11.4,0.0,1029.3,294,12,3,9
10/03/2016,-6.8,-1.3,-12.2,0.0,1026.6,277,12,3,10
11/03/2016,-5.2,1.5,-12.0,0.0,1020.2,234,8,3,11
12/03/2016,0.2,8.3,-7.8,0.0,1017.8,270,12,3,12
13/03/2016,-2.1,4.4,-8.6,0.0,1023.3,258,8,3,13
14/03/2016,2.2,10.5,-6.0,0.0,1018.5,253,9,3,14
15/03/2016,7.2,16.7,-2.2,0.0,1010.6,232,13,3,15
16/03/2016,9.0,17.6,0.4,0.0,1011.0,186,7,3,16
17/03/2016,9.4,15.0,3.8,0.0,1004.6,222,18,3,17
18/03/2016,7.5,11.9,3.1,0.0,1016.9,348,13,3,18
19/03/2016,4.7,9.9,-0.5,0.0,1024.6,310,6,3,19
20/03/2016,5.7,14.3,-2.9,0.0,1023.8,270,5,3,20
21/03/2016,9.9,19.9,-0.1,0.0,1020.2,330,14,3,21
22/03/2016,3.8,7.4,0.1,0.1,1027.0,359,8,3,22
23/03/2016,3.1,7.4,-1.2,0.0,1030.7,345,8,3,23
24/03/2016,3.2,7.7,-1.2,0.0,1030.9,337,7,3,24
25/03/2016,4.5,12.3,-3.2,0.0,1024.3,307,9,3,25
26/03/2016,9.9,16.6,3.2,0.0,1019.6,26,7,3,26
27/03/2016,9.2,16.5,1.8,0.0,1013.3,176,9,3,27
28/03/2016,11.8,18.2,5.5,3.7,1009.7,291,9,3,28
01/04/2016,10.3,14.4,6.3,1.5,1010.3,258,15,4,1
02/04/2016,6.3,11.9,0.7,0.0,1019.1,267,14,4,2
03/04/2016,7.0,14.5,-0.4,0.0,1015.7,258,9,4,3
04/04/2016,9.7,19.0,0.4,0.0,1009.7,302,11,4,4
05/04/2016,9.1,15.2,3.0,0.0,1013.7,190,8,4,5
06/04/2016,12.8,20.7,5.0,0.0,1002.3,224,15,4,6
07/04/2016,9.1,12.2,5.9,0.0,1011.4,268,11,4,7
08/04/2016,8.8,16.2,1.3,0.0,1009.7,325,16,4,8
09/04/2016,4.9,9.1,0.7,0.0,1017.9,333,9,4,9
10/04/2016,3.4,7.9,-1.2,0.0,1023.6,341,10,4,10
11/04/2016,4.5,11.2,-2.1,0.0,1013.6,144,11,4,11
12/04/2016,8.9,12.7,5.1,0.0,1005.4,205,7,4,12
13/04/2016,6.5,12.4,0.5,0.1,1005.4,327,8,4,13
14/04/2016,9.2,15.5,2.8,0.0,1014.8,207,9,4,14
15/04/2016,13.0,17.8,8.2,0.0,1006.9,216,9,4,15
16/04/2016,10.9,13.3,8.5,0.8,1006.4,355,9,4,16
17/04/2016,8.2,13.2,3.2,0.0,1007.0,329,14,4,17
18/04/2016,9.2,15.9,2.4,0.0,1011.8,262,8,4,18
19/04/2016,12.0,21.3,2.7,0.0,1011.7,233,17,4,19
20/04/2016,15.1,23.2,7.0,0.0,1005.4,231,14,4,20
21/04/2016,15.2,21.7,8.8,0.0,999.8,280,12,4,21
22/04/2016,9.9,14.6,5.3,0.0,1007.1,277,17,4,22
23/04/2016,10.8,16.7,4.9,0.0,1013.3,250,11,4,23
24/04/2016,13.9,23.3,4.5,0.0,1008.0,232,14,4,24
25/04/2016,8.1,11.8,4.4,6.6,1021.9,57,10,4,25
26/04/2016,10.1,13.8,6.4,0.7,1019.8,280,7,4,26
27/04/2016,12.2,19.1,5.2,0.0,1015.4,6,11,4,27
28/04/2016,13.2,18.9,7.5,0.0,1015.3,337,5,4,28
01/05/2016,17.8,22.4,13.2,8.6,1001.0,278,7,5,1
02/05/2016,12.2,14.3,10.1,8.5,1007.1,291,10,5,2
03/05/2016,11.2,14.6,7.8,16.6,994.9,16,25,5,3
04/05/2016,14.8,21.7,8.0,0.0,1004.6,86,10,5,4
06/05/2016,14.2,19.4,8.9,0.0,1005.8,294,14,5,6
07/05/2016,14.9,20.8,9.1,0.0,1014.5,202,9,5,7
08/05/2016,19.6,26.1,13.0,0.0,1006.7,262,11,5,8
09/05/2016,19.4,23.8,15.0,0.0,1010.4,4,9,5,9
10/05/2016,17.9,25.7,10.1,0.0,1005.4,144,8,5,10
11/05/2016,20.9,27.7,14.0,17.8,997.2,225,13,5,11
12/05/2016,13.4,16.5,10.4,4.3,1009.3,266,8,5,12
13/05/2016,15.1,24.1,6.0,0.0,1015.2,211,12,5,13
14/05/2016,13.8,16.8,10.8,0.2,1011.3,204,12,5,14
15/05/2016,14.1,18.8,9.3,0.0,1006.2,291,9,5,15
16/05/2016,16.5,25.4,7.6,0.0,1003.0,244,8,5,16
17/05/2016,23.5,34.7,12.3,0.0,1004.0,203,14,5,17
18/05/2016,24.4,31.3,17.4,0.0,1007.0,194,21,5,18
19/05/2016,24.1,31.2,17.1,0.0,1010.5,189,15,5,19
20/05/2016,23.7,31.7,15.7,0.0,1013.6,180,12,5,20
