Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,-7.3,-4.0,-10.6,0.0,1033.0,44,5,1,1
02/01/2016,-6.0,-2.7,-9.3,0.0,1035.3,26,5,1,2
03/01/2016,-6.3,-2.1,-10.5,0.0,1033.7,14,5,1,3
04/01/2016,-6.3,-2.5,-10.1,0.0,1033.5,54,5,1,4
05/01/2016,-6.4,-2.2,-10.6,0.0,1032.9,125,4,1,5
06/01/2016,-5.1,-0.8,-9.4,0.0,1035.2,355,6,1,6
07/01/2016,-5.3,-1.2,-9.5,0.0,1031.7,359,5,1,7
08/01/2016,-5.0,-0.3,-9.6,0.0,1029.6,44,6,1,8
09/01/2016,-4.5,-0.8,-8.3,0.0,1031.8,312,4,1,9
10/01/2016,-3.5,0.2,-7.1,0.0,1030.6,27,5,1,10
11/01/2016,-4.0,0.3,-8.2,0.0,1032.7,233,5,1,11
12/01/2016,-1.2,2.1,-4.6,0.0,1036.3,39,6,1,12
13/01/2016,-2.8,1.5,-7.1,0.0,1037.0,31,7,1,13
14/01/2016,-3.6,-0.1,-7.2,0.0,1029.5,305,6,1,14
15/01/2016,-4.8,-0.7,-8.8,0.0,1026.6,3,6,1,15
16/01/2016,-5.2,-0.8,-9.7,0.0,1031.4,41,6,1,16
17/01/2016,-5.2,-0.6,-9.9,0.0,1031.0,13,4,1,17
18/01/2016,-6.0,-3.1,-8.8,2.4,1030.6,270,4,1,18
19/01/2016,-3.6,-1.9,-5.4,3.1,1033.9,68,4,1,19
20/01/2016,-3.3,-1.3,-5.3,0.2,1033.8,57,6,1,20
21/01/2016,-3.7,-0.2,-7.2,0.0,1046.4,19,12,1,21
22/01/2016,-6.7,-2.7,-10.7,0.0,1054.4,24,9,1,22
23/01/2016,-6.5,-3.1,-10.0,0.0,1053.6,45,6,1,23
24/01/2016,-8.1,-4.5,-11.7,0.0,1050.2,29,9,1,24
25/01/2016,-9.4,-6.2,-12.7,0.0,1040.7,21,8,1,25
27/01/2016,-10.5,-7.1,-13.9,0.0,1032.0,20,6,1,27
28/01/2016,-9.7,-6.1,-13.3,0.0,1033.0,25,5,1,28
01/02/2016,-6.2,-2.9,-9.6,0.0,1040.3,31,7,2,1
02/02/2016,-5.7,-2.1,-9.2,0.0,1036.2,22,7,2,2
04/02/2016,-3.9,0.4,-8.1,0.0,1043.6,14,7,2,4
05/02/2016,-4.3,-0.4,-8.2,0.0,1047.6,12,9,2,5
06/02/2016,-3.6,1.3,-8.5,0.0,1045.1,34,5,2,6
09/02/2016,-2.1,2.0,-6.3,0.0,1021.8,6,7,2,9
10/02/2016,-1.0,3.8,-5.8,0.0,1020.1,29,6,2,10
11/02/2016,-1.5,0.8,-3.8,0.0,1034.1,48,9,2,11
12/02/2016,-3.4,0.7,-7.4,0.0,1042.5,9,9,2,12
13/02/2016,-3.9,-0.7,-7.0,0.0,1041.9,31,5,2,13
14/02/2016,-3.0,1.0,-7.1,0.0,1042.4,60,6,2,14
15/02/2016,-2.8,1.8,-7.4,0.0,1040.5,352,6,2,15
16/02/2016,-2.0,2.1,-6.2,0.0,1036.3,335,6,2,16
17/02/2016,-1.4,3.6,-6.4,0.0,1035.8,53,6,2,17
18/02/2016,1.1,6.6,-4.3,0.0,1041.4,64,6,2,18
19/02/2016,0.8,6.4,-4.9,0.0,1039.2,70,9,2,19
20/02/2016,0.6,6.2,-5.1,0.0,1025.7,30,4,2,20
21/02/2016,2.2,7.9,-3.5,0.0,1029.3,358,6,2,21
22/02/2016,3.4,9.5,-2.7,0.0,1035.8,9,5,2,22
23/02/2016,4.5,10.4,-1.3,0.0,1039.1,61,7,2,23
24/02/2016,4.8,11.2,-1.7,0.0,1037.1,39,6,2,24
25/02/2016,5.7,12.1,-0.8,0.0,1035.5,18,4,2,25
26/02/2016,6.6,13.3,-0.1,0.0,1030.0,35,7,2,26
27/02/2016,7.8,14.5,1.1,0.0,1031.9,32,5,2,27
28/02/2016,9.2,16.0,2.3,0.0,1029.5,336,5,2,28
01/03/2016,12.3,18.8,5.9,0.0,1023.3,57,9,3,1
02/03/2016,11.8,17.2,6.4,0.0,1016.0,18,7,3,2
03/03/2016,11.6,18.0,5.1,0.0,1024.2,74,17,3,3
04/03/2016,6.3,9.2,3.5,0.0,1031.9,66,9,3,4
05/03/2016,5.4,10.3,0.5,0.0,1022.9,48,5,3,5
06/03/2016,6.9,12.8,1.0,0.0,1020.2,67,5,3,6
07/03/2016,8.7,14.6,2.7,0.0,1019.8,47,6,3,7
08/03/2016,10.1,13.1,7.0,0.0,1027.4,86,9,3,8
09/03/2016,7.5,11.2,3.8,0.0,1035.8,65,10,3,9
10/03/2016,6.0,11.9,0.0,0.0,1026.8,77,7,3,10
11/03/2016,8.2,13.1,3.3,0.0,1019.2,45,7,3,11
12/03/2016,8.8,15.2,2.5,0.0,1023.0,68,9,3,12
13/03/2016,8.8,15.1,2.5,0.0,1019.5,300,6,3,13
14/03/2016,9.9,16.9,3.0,0.0,1014.9,45,6,3,14
15/03/2016,13.7,19.8,7.6,0.0,1010.6,270,8,3,15
16/03/2016,15.8,22.1,9.5,0.0,1009.3,70,14,3,16
17/03/2016,16.2,21.7,10.7,0.0,1004.0,29,10,3,17
18/03/2016,16.6,22.1,11.2,0.0,1008.0,350,7,3,18
19/03/2016,14.7,20.9,8.4,0.0,1010.7,34,9,3,19
20/03/2016,15.3,19.6,11.0,0.0,1012.9,89,10,3,20
21/03/2016,16.2,22.9,9.5,0.0,1017.7,54,10,3,21
22/03/2016,17.3,23.3,11.3,0.0,1026.7,59,9,3,22
23/03/2016,17.1,24.1,10.0,0.0,1023.5,57,10,3,23
24/03/2016,18.8,25.3,12.2,0.0,1019.1,240,6,3,24
25/03/2016,20.1,26.7,13.6,0.0,1019.4,295,7,3,25
26/03/2016,20.3,25.3,15.3,0.0,1018.3,60,9,3,26
27/03/2016,20.1,26.2,13.9,0.0,1017.0,9,9,3,27
28/03/2016,20.7,27.2,14.2,0.0,1015.3,73,9,3,28
02/04/2016,23.0,27.8,18.2,0.0,1012.0,79,9,4,2
03/04/2016,23.3,27.6,19.0,0.0,1012.1,107,14,4,3
04/04/2016,21.9,27.0,16.7,0.0,1010.7,71,10,4,4
05/04/2016,21.6,24.8,18.3,0.0,1013.8,58,14,4,5
06/04/2016,21.3,27.7,14.9,0.0,1014.1,42,10,4,6
07/04/2016,22.5,29.5,15.5,0.0,1014.7,124,9,4,7
08/04/2016,25.1,31.4,18.7,0.0,1009.4,79,9,4,8
09/04/2016,24.9,31.8,18.1,0.0,1005.0,148,12,4,9
11/04/2016,20.3,25.7,14.9,0.0,1015.3,103,8,4,11
12/04/2016,20.5,27.1,13.9,0.0,1009.5,76,13,4,12
13/04/2016,21.5,26.9,16.1,0.0,1008.4,69,9,4,13
14/04/2016,22.4,27.5,17.2,0.0,1013.4,90,14,4,14
15/04/2016,21.1,26.6,15.6,0.0,1017.3,38,15,4,15
16/04/2016,19.6,26.5,12.8,0.0,1020.6,71,13,4,16
17/04/2016,20.7,28.1,13.3,0.0,1006.7,36,8,4,17
18/04/2016,23.2,31.4,15.1,0.0,1003.9,95,11,4,18
19/04/2016,25.6,30.7,20.4,0.0,1015.5,44,11,4,19
20/04/2016,23.7,31.1,16.3,0.0,1015.3,46,12,4,20
21/04/2016,25.1,33.7,16.5,0.0,1009.5,57,9,4,21
22/04/2016,26.6,33.7,19.6,0.0,1005.2,61,7,4,22
23/04/2016,26.0,34.3,17.7,0.0,1004.4,267,11,4,23
24/04/2016,26.4,32.0,20.9,0.0,1008.4,307,16,4,24
25/04/2016,23.9,30.7,17.0,0.0,1012.5,104,11,4,25
26/04/2016,25.8,33.4,18.2,0.0,1008.7,293,8,4,26
27/04/2016,27.9,34.0,21.9,0.0,1006.9,133,9,4,27
28/04/2016,27.2,32.8,21.6,0.0,1008.0,37,10,4,28
01/05/2016,19.9,25.1,14.6,0.0,1017.1,69,9,5,1
02/05/2016,21.9,26.3,17.5,0.0,1010.1,49,9,5,2
03/05/2016,23.9,31.4,16.5,0.0,1004.1,128,9,5,3
04/05/2016,27.1,32.1,22.2,0.0,1006.3,121,11,5,4
05/05/2016,26.1,31.0,21.2,0.0,1008.8,17,10,5,5
08/05/2016,27.6,32.4,22.7,0.0,1010.7,39,12,5,8
09/05/2016,28.9,37.0,20.7,0.0,1000.6,97,13,5,9
11/05/2016,24.2,27.6,20.9,0.0,1016.7,93,15,5,11
12/05/2016,21.0,25.3,16.7,0.0,1012.9,189,8,5,12
13/05/2016,25.9,33.2,18.6,0.0,1015.5,54,18,5,13
14/05/2016,24.1,30.7,17.6,0.0,1018.0,19,11,5,14
15/05/2016,25.1,32.6,17.7,0.0,1008.1,205,8,5,15
