Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,8.7,11.9,5.5,0.0,1023.1,177,14,1,1
02/01/2016,9.5,14.0,5.0,0.0,1019.4,97,5,1,2
03/01/2016,3.5,7.2,-0.1,0.0,1023.0,10,6,1,3
04/01/2016,2.7,5.5,-0.1,0.0,1027.8,84,10,1,4
05/01/2016,1.4,2.3,0.4,1.7,1029.5,39,6,1,5
06/01/2016,-0.9,2.0,-3.8,1.3,1032.1,80,6,1,6
07/01/2016,-2.8,0.4,-6.0,0.0,1031.0,88,5,1,7
08/01/2016,-1.7,2.7,-6.1,0.0,1028.8,114,6,1,8
09/01/2016,0.3,6.1,-5.4,0.0,1026.6,202,5,1,9
10/01/2016,2.0,5.9,-1.9,0.0,1029.6,53,8,1,10
11/01/2016,-1.0,0.9,-2.9,0.0,1034.4,59,8,1,11
12/01/2016,-4.3,-0.9,-7.8,0.0,1031.6,71,5,1,12
13/01/2016,-1.5,4.5,-7.5,0.0,1025.1,197,7,1,13
14/01/2016,1.4,5.8,-3.1,0.0,1021.4,140,6,1,14
15/01/2016,3.1,8.5,-2.3,0.0,1018.5,152,8,1,15
16/01/2016,4.4,9.1,-0.3,0.0,1020.3,39,7,1,16
19/01/2016,-4.0,1.5,-9.5,0.0,1033.2,80,7,1,19
20/01/2016,-2.0,2.2,-6.2,0.0,1033.5,94,5,1,20
21/01/2016,-0.1,3.6,-3.9,0.2,1032.6,110,5,1,21
22/01/2016,-6.1,-1.8,-10.4,4.6,1042.2,66,10,1,22
23/01/2016,-11.3,-7.1,-15.5,0.0,1043.7,4,10,1,23
24/01/2016,-11.4,-5.8,-17.0,0.0,1040.3,203,9,1,24
25/01/2016,-4.0,2.0,-10.0,0.0,1030.9,174,7,1,25
26/01/2016,-1.4,3.5,-6.4,0.0,1029.2,124,7,1,26
27/01/2016,0.1,7.0,-6.9,0.0,1027.5,101,5,1,27
28/01/2016,3.0,7.4,-1.3,0.0,1028.5,59,6,1,28
01/02/2016,-2.5,3.1,-8.2,0.0,1036.4,129,7,2,1
02/02/2016,0.5,6.5,-5.5,0.0,1030.6,186,9,2,2
03/02/2016,3.5,8.4,-1.4,0.0,1029.6,153,9,2,3
04/02/2016,4.5,8.6,0.4,0.0,1029.5,64,7,2,4
05/02/2016,2.0,5.2,-1.1,0.0,1031.1,64,8,2,5
06/02/2016,0.9,6.0,-4.1,0.0,1029.4,128,6,2,6
07/02/2016,3.7,7.9,-0.5,0.0,1020.6,209,10,2,7
08/02/2016,9.0,14.8,3.2,0.0,1017.7,126,8,2,8
09/02/2016,9.7,16.4,3.0,0.0,1019.9,141,8,2,9
10/02/2016,10.2,16.5,3.8,0.0,1015.5,335,6,2,10
11/02/2016,10.3,12.8,7.8,0.0,1015.0,2,5,2,11
12/02/2016,5.6,7.8,3.4,29.2,1013.9,26,9,2,12
13/02/2016,1.4,4.0,-1.3,3.4,1025.7,30,14,2,13
14/02/2016,-3.8,-1.0,-6.5,0.0,1033.2,23,7,2,14
15/02/2016,-1.3,3.4,-6.0,0.0,1027.7,254,11,2,15
16/02/2016,2.8,7.9,-2.4,0.0,1025.9,190,9,2,16
17/02/2016,5.5,11.6,-0.7,0.0,1022.6,204,11,2,17
18/02/2016,7.0,12.3,1.7,0.0,1023.1,124,7,2,18
19/02/2016,6.1,8.9,3.3,0.0,1029.5,44,12,2,19
20/02/2016,2.5,5.3,-0.4,0.0,1030.6,75,9,2,20
21/02/2016,2.6,7.4,-2.1,0.0,1027.2,176,12,2,21
22/02/2016,8.1,11.3,4.9,0.0,1029.8,228,10,2,22
23/02/2016,2.0,5.0,-1.0,0.0,1038.6,69,9,2,23
24/02/2016,2.1,7.1,-2.9,0.0,1036.1,105,8,2,24
25/02/2016,6.3,12.0,0.6,0.0,1031.0,156,7,2,25
26/02/2016,6.0,10.8,1.3,0.0,1024.1,142,7,2,26
