Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,0.7,7.7,-6.3,0.0,1026.8,75,4,1,1
02/01/2016,0.6,9.0,-7.8,0.0,1023.6,80,4,1,2
03/01/2016,2.0,11.2,-7.1,0.0,1024.6,340,4,1,3
06/01/2016,-2.8,2.7,-8.2,0.0,1033.5,280,6,1,6
07/01/2016,-4.1,1.1,-9.3,0.0,1032.2,319,6,1,7
08/01/2016,-6.3,1.0,-13.6,0.0,1030.3,65,5,1,8
09/01/2016,-4.2,4.2,-12.5,0.0,1027.3,55,4,1,9
10/01/2016,-2.5,4.9,-9.9,0.0,1030.7,51,8,1,10
11/01/2016,-4.8,-2.1,-7.6,0.0,1034.2,360,7,1,11
12/01/2016,-6.5,-1.7,-11.4,0.0,1033.6,246,5,1,12
13/01/2016,-7.2,1.6,-15.9,0.0,1029.9,222,8,1,13
14/01/2016,-5.2,2.8,-13.3,0.0,1025.0,216,8,1,14
15/01/2016,-4.7,4.5,-13.8,0.0,1020.2,93,4,1,15
16/01/2016,-2.2,5.6,-10.1,0.0,1022.1,329,10,1,16
17/01/2016,-2.4,0.6,-5.4,0.0,1025.1,280,9,1,17
18/01/2016,-6.7,-2.3,-11.1,0.0,1031.6,237,10,1,18
19/01/2016,-9.1,-0.9,-17.3,0.0,1032.9,60,6,1,19
20/01/2016,-4.7,-0.8,-8.5,0.0,1032.1,180,4,1,20
21/01/2016,-5.0,2.4,-12.3,2.0,1032.3,33,8,1,21
22/01/2016,-9.5,-6.6,-12.4,0.0,1045.5,296,14,1,22
23/01/2016,-13.8,-12.1,-15.4,0.0,1050.2,302,18,1,23
24/01/2016,-13.8,-6.8,-20.9,0.0,1048.4,222,10,1,24
25/01/2016,-9.8,-0.7,-18.8,0.0,1036.4,222,9,1,25
26/01/2016,-7.4,0.4,-15.2,0.0,1031.6,149,6,1,26
27/01/2016,-6.8,2.3,-15.8,0.0,1027.9,113,5,1,27
28/01/2016,-2.4,5.3,-10.0,0.0,1029.1,17,9,1,28
01/02/2016,-7.6,1.3,-16.5,0.0,1039.6,64,5,2,1
02/02/2016,-6.3,2.4,-15.1,0.0,1032.9,101,5,2,2
03/02/2016,-4.2,4.9,-13.4,0.0,1031.6,49,3,2,3
04/02/2016,-0.2,6.1,-6.5,0.0,1030.8,335,7,2,4
05/02/2016,-3.4,-1.1,-5.6,0.0,1036.6,267,13,2,5
06/02/2016,-4.5,3.9,-12.8,0.0,1032.8,240,7,2,6
07/02/2016,-2.2,6.8,-11.3,0.0,1024.3,232,9,2,7
08/02/2016,3.4,13.7,-7.0,0.0,1020.1,206,9,2,8
09/02/2016,4.5,14.4,-5.4,0.0,1019.0,37,8,2,9
10/02/2016,4.4,12.5,-3.7,0.0,1014.3,38,5,2,10
