Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,-6.5,1.9,-15.0,0.0,1029.2,188,10,1,1
02/01/2016,-0.7,5.1,-6.5,0.0,1030.5,202,9,1,2
03/01/2016,-3.4,0.3,-7.0,0.0,1031.6,154,5,1,3
05/01/2016,-7.3,-3.1,-11.6,0.2,1034.3,162,6,1,5
09/01/2016,-6.0,-2.4,-9.7,0.0,1032.4,125,4,1,9
10/01/2016,-8.0,-6.5,-9.4,0.2,1032.9,80,4,1,10
11/01/2016,-7.8,-6.0,-9.7,0.0,1033.9,74,5,1,11
16/01/2016,-12.1,-9.3,-14.9,0.0,1034.7,90,5,1,16
17/01/2016,-14.2,-11.1,-17.4,0.9,1035.7,65,5,1,17
18/01/2016,-10.3,-5.9,-14.8,6.3,1037.5,50,3,1,18
19/01/2016,-7.9,-5.0,-10.8,0.8,1037.1,67,5,1,19
20/01/2016,-11.8,-10.0,-13.5,2.7,1042.8,53,4,1,20
22/01/2016,-14.2,-10.0,-18.3,0.0,1055.9,117,6,1,22
23/01/2016,-15.8,-11.5,-20.1,0.0,1053.0,77,3,1,23
24/01/2016,-16.1,-11.8,-20.4,0.0,1050.1,80,3,1,24
25/01/2016,-16.0,-12.7,-19.3,0.0,1038.7,85,4,1,25
26/01/2016,-15.1,-11.0,-19.2,0.0,1031.3,85,3,1,26
27/01/2016,-14.9,-10.1,-19.7,0.0,1030.4,90,3,1,27
28/01/2016,-13.2,-8.0,-18.3,0.6,1032.5,60,4,1,28
05/02/2016,-11.0,-6.7,-15.3,0.0,1046.7,80,4,2,5
06/02/2016,-6.2,1.4,-13.7,0.0,1039.6,123,9,2,6
07/02/2016,-9.2,-3.2,-15.2,0.0,1029.1,35,4,2,7
08/02/2016,-5.6,-1.5,-9.7,0.0,1022.1,108,6,2,8
09/02/2016,-1.6,7.5,-10.7,1.3,1019.3,206,9,2,9
10/02/2016,-8.0,-5.0,-10.9,4.4,1034.0,4,8,2,10
12/02/2016,-11.7,-7.5,-15.9,0.0,1044.7,102,7,2,12
14/02/2016,-14.9,-11.4,-18.5,0.0,1045.1,87,5,2,14
15/02/2016,-13.8,-10.1,-17.6,0.0,1041.9,75,4,2,15
16/02/2016,-11.8,-6.5,-17.1,0.0,1038.2,113,6,2,16
17/02/2016,-7.3,-0.6,-14.1,0.5,1043.1,118,5,2,17
18/02/2016,-6.2,-1.6,-10.8,0.0,1047.0,138,8,2,18
19/02/2016,-11.5,-7.7,-15.3,0.0,1041.9,109,8,2,19
20/02/2016,-11.3,-6.6,-16.0,0.0,1033.6,110,6,2,20
21/02/2016,-7.2,-1.3,-13.0,0.0,1036.3,88,5,2,21
22/02/2016,-10.6,-7.0,-14.2,0.0,1043.6,80,4,2,22
23/02/2016,-8.6,-4.6,-12.5,0.0,1045.8,70,5,2,23
24/02/2016,-8.7,-4.6,-12.8,0.0,1043.6,98,4,2,24
25/02/2016,-7.8,-3.3,-12.2,0.0,1039.8,102,3,2,25
26/02/2016,-6.3,-0.6,-12.0,0.0,1034.6,105,5,2,26
27/02/2016,0.1,8.4,-8.1,0.0,1035.8,129,5,2,27
28/02/2016,-0.7,3.7,-5.0,0.0,1035.7,35,5,2,28
01/03/2016,2.0,8.2,-4.2,0.0,1024.1,65,8,3,1
02/03/2016,2.5,11.0,-6.1,6.6,1020.3,214,12,3,2
03/03/2016,-1.4,3.0,-5.7,5.0,1040.3,60,8,3,3
04/03/2016,-3.9,-0.5,-7.3,0.0,1034.9,59,4,3,4
05/03/2016,-4.3,-0.4,-8.3,0.0,1028.1,68,5,3,5
06/03/2016,-4.0,0.2,-8.2,0.0,1027.6,81,5,3,6
07/03/2016,-4.9,-1.6,-8.2,0.0,1029.7,49,6,3,7
08/03/2016,-3.5,-0.6,-6.5,0.0,1037.1,46,7,3,8
09/03/2016,-5.9,-2.2,-9.6,0.0,1037.4,41,5,3,9
10/03/2016,-5.5,-1.4,-9.5,0.0,1029.7,57,6,3,10
11/03/2016,-2.8,0.6,-6.1,0.0,1027.0,63,5,3,11
12/03/2016,-1.9,2.6,-6.5,0.0,1027.1,31,6,3,12
13/03/2016,-2.2,1.5,-5.9,0.0,1022.7,82,6,3,13
14/03/2016,0.3,4.7,-4.0,0.0,1019.2,91,5,3,14
15/03/2016,1.6,4.0,-0.9,0.2,1019.5,345,5,3,15
17/03/2016,1.4,4.2,-1.4,0.0,1013.8,166,8,3,17
18/03/2016,3.8,7.2,0.4,0.0,1017.1,22,6,3,18
19/03/2016,3.8,5.8,1.7,1.2,1023.5,24,6,3,19
20/03/2016,2.2,2.9,1.6,1.2,1025.4,15,5,3,20
21/03/2016,4.9,9.6,0.2,0.0,1026.3,171,7,3,21
22/03/2016,8.3,13.6,3.0,0.0,1029.8,196,7,3,22
23/03/2016,9.0,13.7,4.3,0.0,1024.0,30,7,3,23
24/03/2016,9.1,13.9,4.2,0.0,1021.5,60,6,3,24
25/03/2016,12.9,20.4,5.5,0.0,1021.5,57,6,3,25
26/03/2016,11.7,15.0,8.3,0.0,1024.5,319,6,3,26
27/03/2016,10.4,14.7,6.1,0.0,1022.6,40,10,3,27
28/03/2016,11.8,18.2,5.4,0.0,1016.6,1,8,3,28
01/04/2016,12.8,17.0,8.7,4.9,1016.0,14,8,4,1
02/04/2016,10.9,14.3,7.5,1.6,1018.7,19,8,4,2
03/04/2016,9.3,10.6,8.0,1.2,1020.7,345,6,4,3
04/04/2016,10.4,14.4,6.4,0.0,1018.2,353,6,4,4
05/04/2016,11.2,14.4,8.0,0.0,1019.5,24,8,4,5
06/04/2016,13.6,19.7,7.4,0.0,1017.2,51,9,4,6
07/04/2016,14.9,20.7,9.1,0.0,1017.3,265,8,4,7
08/04/2016,15.5,21.0,10.0,0.0,1011.4,129,8,4,8
09/04/2016,17.4,22.9,12.0,1.1,1013.3,331,18,4,9
12/04/2016,12.3,17.8,6.9,0.0,1014.1,304,6,4,12
13/04/2016,11.7,14.7,8.7,5.0,1016.8,320,7,4,13
14/04/2016,10.1,13.8,6.3,0.4,1021.1,35,6,4,14
15/04/2016,9.7,13.3,6.1,0.0,1025.2,328,8,4,15
16/04/2016,12.8,20.6,5.0,0.0,1019.2,97,12,4,16
17/04/2016,18.4,22.8,14.0,0.0,1005.6,91,9,4,17
18/04/2016,15.7,20.5,10.9,0.0,1011.4,339,7,4,18
19/04/2016,14.8,20.3,9.2,0.0,1020.6,192,10,4,19
20/04/2016,16.6,22.9,10.4,0.0,1017.6,234,9,4,20
21/04/2016,17.9,24.5,11.2,0.0,1013.2,228,7,4,21
22/04/2016,18.6,23.7,13.6,0.0,1010.8,57,7,4,22
24/04/2016,12.2,16.2,8.3,8.9,1018.7,83,6,4,24
25/04/2016,16.4,21.2,11.6,0.0,1016.0,310,7,4,25
26/04/2016,17.6,24.0,11.3,0.0,1012.3,310,7,4,26
28/04/2016,17.6,24.4,10.8,0.0,1010.9,245,9,4,28
01/05/2016,9.8,15.5,4.1,0.0,1018.8,57,7,5,1
02/05/2016,15.3,21.5,9.2,0.0,1011.3,95,9,5,2
03/05/2016,12.7,13.7,11.7,3.6,1013.8,354,5,5,3
04/05/2016,13.7,17.3,10.0,0.3,1015.1,44,6,5,4
05/05/2016,14.3,19.6,9.1,0.0,1012.7,151,8,5,5
08/05/2016,15.8,22.5,9.0,0.0,1012.9,20,6,5,8
09/05/2016,22.3,29.2,15.4,0.0,1006.4,34,11,5,9
10/05/2016,11.4,13.6,9.3,7.8,1017.5,5,9,5,10
11/05/2016,11.4,16.2,6.7,0.0,1020.7,45,15,5,11
12/05/2016,14.3,18.4,10.3,0.0,1016.4,20,9,5,12
13/05/2016,14.8,18.2,11.5,0.0,1021.2,331,8,5,13
14/05/2016,16.1,22.6,9.7,0.0,1012.0,117,39,5,14
15/05/2016,23.9,28.4,19.4,0.0,1009.1,128,15,5,15
16/05/2016,21.0,27.3,14.7,0.0,1002.4,313,11,5,16
17/05/2016,15.7,20.1,11.3,11.8,1009.3,351,7,5,17
18/05/2016,10.6,13.1,8.0,13.1,1018.3,3,9,5,18
19/05/2016,11.1,15.2,6.9,0.0,1024.4,321,9,5,19
20/05/2016,13.2,16.9,9.5,0.0,1024.9,36,6,5,20
21/05/2016,11.7,16.3,7.1,0.0,1026.4,60,9,5,21
22/05/2016,12.8,17.8,7.9,0.0,1020.3,9,9,5,22
23/05/2016,14.9,20.6,9.3,0.0,1014.4,315,9,5,23
24/05/2016,15.2,20.4,9.9,0.0,1017.9,25,9,5,24
25/05/2016,18.6,26.8,10.3,0.0,1009.1,103,14,5,25
26/05/2016,25.8,30.0,21.6,0.0,1000.9,139,14,5,26
27/05/2016,21.1,24.9,17.2,4.3,1006.3,0,9,5,27
28/05/2016,17.5,22.1,12.9,5.1,1010.9,19,6,5,28
01/06/2016,21.9,27.1,16.8,0.0,1007.5,92,8,6,1
02/06/2016,23.1,29.6,16.7,0.0,1005.9,234,10,6,2
03/06/2016,24.1,29.8,18.4,0.0,1005.9,95,8,6,3
04/06/2016,24.7,30.1,19.3,0.9,1008.9,286,10,6,4
05/06/2016,22.4,27.8,17.0,0.8,1012.7,24,7,6,5
06/06/2016,23.1,28.1,18.0,0.0,1013.5,305,7,6,6
07/06/2016,25.6,31.4,19.7,0.0,1009.9,30,8,6,7
08/06/2016,26.9,32.3,21.6,0.0,1006.2,35,8,6,8
10/06/2016,27.6,32.1,23.0,0.0,1005.6,305,8,6,10
11/06/2016,26.9,31.6,22.3,0.0,1005.0,58,6,6,11
12/06/2016,28.1,34.0,22.3,0.0,1003.3,310,8,6,12
13/06/2016,27.8,30.6,24.9,0.0,1007.0,1,6,6,13
14/06/2016,28.0,34.1,21.9,0.0,1004.0,290,9,6,14
15/06/2016,30.8,37.0,24.6,0.0,998.2,135,16,6,15
16/06/2016,28.4,31.2,25.7,0.0,998.5,347,9,6,16
17/06/2016,22.6,26.1,19.1,19.0,1005.9,346,9,6,17
18/06/2016,19.9,23.5,16.4,0.0,1012.5,355,7,6,18
19/06/2016,21.2,25.2,17.2,15.1,1013.5,285,10,6,19
20/06/2016,17.9,23.5,12.4,0.3,1012.6,16,6,6,20
21/06/2016,19.6,23.8,15.4,0.0,1010.2,14,6,6,21
22/06/2016,21.4,26.3,16.4,0.0,1008.0,354,10,6,22
23/06/2016,18.2,21.9,14.5,24.5,1014.0,314,11,6,23
24/06/2016,18.1,23.7,12.6,0.0,1013.6,347,10,6,24
25/06/2016,19.9,24.4,15.5,0.0,1013.6,268,6,6,25
26/06/2016,21.9,27.4,16.3,0.0,1009.4,54,8,6,26
27/06/2016,24.6,30.7,18.4,0.0,1004.7,67,8,6,27
28/06/2016,23.8,26.6,21.0,9.3,1010.0,1,9,6,28
01/07/2016,25.8,30.4,21.1,0.0,1000.2,89,8,7,1
02/07/2016,26.8,32.4,21.2,0.2,997.1,321,10,7,2
03/07/2016,21.8,24.5,19.1,0.3,1003.0,333,5,7,3
04/07/2016,24.8,30.9,18.7,0.0,1000.0,331,8,7,4
05/07/2016,24.4,27.8,21.0,1.7,1000.8,17,6,7,5
06/07/2016,23.6,28.2,19.1,5.0,1006.6,24,8,7,6
07/07/2016,17.4,19.1,15.8,11.4,1012.4,238,5,7,7
08/07/2016,20.7,25.9,15.5,0.0,1008.4,35,7,7,8
10/07/2016,25.0,29.1,20.9,0.0,1006.5,345,10,7,10
11/07/2016,25.4,29.7,21.2,0.0,1007.7,201,9,7,11
12/07/2016,24.6,29.5,19.7,0.0,1007.5,63,9,7,12
13/07/2016,26.7,32.7,20.7,0.0,1004.6,275,7,7,13
14/07/2016,28.6,34.7,22.5,0.0,1000.7,242,9,7,14
15/07/2016,25.4,29.7,21.1,4.9,1006.4,345,9,7,15
17/07/2016,27.2,34.2,20.2,0.0,999.4,316,8,7,17
19/07/2016,23.0,26.6,19.4,0.3,1003.3,253,5,7,19
20/07/2016,23.6,27.4,19.8,0.0,1006.0,70,6,7,20
21/07/2016,26.0,31.6,20.4,0.0,1003.8,210,9,7,21
22/07/2016,26.1,30.7,21.4,0.0,1001.6,329,8,7,22
23/07/2016,20.9,24.6,17.1,12.0,1008.0,50,7,7,23
24/07/2016,21.9,27.4,16.4,0.0,1009.2,71,9,7,24
25/07/2016,25.3,31.4,19.2,0.0,1006.6,262,8,7,25
26/07/2016,27.6,33.8,21.5,0.0,1004.4,232,8,7,26
27/07/2016,29.1,35.0,23.1,0.0,1001.7,210,8,7,27
28/07/2016,29.7,35.0,24.4,0.0,998.8,309,10,7,28
01/08/2016,16.8,18.9,14.7,14.7,1012.9,345,8,8,1
02/08/2016,18.6,23.3,14.0,0.0,1013.1,336,6,8,2
03/08/2016,21.4,26.9,16.0,0.0,1009.1,13,6,8,3
04/08/2016,23.2,28.9,17.5,0.0,1009.2,316,7,8,4
05/08/2016,26.6,31.6,21.5,0.0,1007.7,63,9,8,5
06/08/2016,27.2,31.5,22.9,0.0,1006.3,0,8,8,6
07/08/2016,25.2,27.8,22.6,1.3,1006.4,324,9,8,7
08/08/2016,19.4,22.5,16.4,7.2,1012.3,167,9,8,8
09/08/2016,20.5,25.1,15.9,0.0,1012.9,341,7,8,9
10/08/2016,22.5,28.2,16.8,0.0,1007.8,257,8,8,10
11/08/2016,24.4,29.4,19.4,0.0,1006.5,178,4,8,11
12/08/2016,27.2,31.9,22.5,0.0,1005.2,31,5,8,12
13/08/2016,25.2,29.0,21.5,0.0,1006.9,92,5,8,13
14/08/2016,25.4,30.2,20.7,0.0,1005.4,347,5,8,14
15/08/2016,26.0,30.4,21.6,1.2,1004.3,329,5,8,15
17/08/2016,24.2,27.6,20.9,0.0,1006.3,315,8,8,17
18/08/2016,23.4,27.5,19.4,0.0,1009.2,307,6,8,18
21/08/2016,23.9,27.3,20.5,0.0,1009.8,320,8,8,21
22/08/2016,22.6,27.3,17.9,0.0,1012.0,321,10,8,22
23/08/2016,19.6,23.7,15.6,0.0,1016.0,340,8,8,23
24/08/2016,21.5,25.5,17.5,0.0,1016.8,327,7,8,24
25/08/2016,22.8,29.2,16.4,0.0,1013.9,276,8,8,25
26/08/2016,24.1,29.9,18.3,0.0,1012.0,224,7,8,26
27/08/2016,25.8,29.3,22.3,0.0,1011.5,214,5,8,27
28/08/2016,24.7,27.5,21.9,0.0,1009.6,221,6,8,28
01/09/2016,19.3,23.5,15.1,0.0,1013.2,339,8,9,1
02/09/2016,19.2,24.5,13.9,0.0,1010.4,47,7,9,2
