Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,5.5,11.0,-0.1,0.0,1027.1,140,4,1,1
02/01/2016,8.9,14.8,3.0,0.4,1021.7,141,4,1,2
03/01/2016,10.8,16.9,4.8,1.5,1020.0,294,3,1,3
04/01/2016,9.6,12.6,6.5,8.7,1021.1,8,9,1,4
05/01/2016,5.2,5.8,4.7,0.3,1025.2,355,7,1,5
06/01/2016,6.0,7.4,4.7,0.0,1029.8,349,6,1,6
09/01/2016,4.5,6.6,2.5,5.3,1024.6,32,5,1,9
10/01/2016,5.9,6.7,5.1,2.5,1024.5,360,7,1,10
11/01/2016,3.3,5.1,1.5,2.3,1028.9,2,10,1,11
13/01/2016,4.0,7.3,0.8,0.0,1027.9,17,3,1,13
14/01/2016,5.6,8.8,2.4,0.0,1024.2,284,4,1,14
15/01/2016,3.8,10.1,-2.6,0.0,1020.0,228,4,1,15
16/01/2016,2.9,7.6,-1.9,3.4,1018.2,319,6,1,16
17/01/2016,7.8,11.9,3.8,0.0,1021.4,13,7,1,17
18/01/2016,2.5,6.3,-1.4,0.0,1027.5,41,13,1,18
19/01/2016,4.0,7.4,0.7,0.0,1028.5,59,8,1,19
20/01/2016,3.5,5.2,1.7,2.1,1029.1,2,8,1,20
21/01/2016,0.9,2.4,-0.5,1.4,1029.3,22,7,1,21
22/01/2016,0.9,1.8,0.1,2.5,1037.8,2,15,1,22
23/01/2016,-0.1,2.5,-2.7,0.0,1044.7,33,10,1,23
24/01/2016,-2.9,1.1,-6.9,0.0,1045.0,28,8,1,24
25/01/2016,-2.0,5.3,-9.4,0.0,1036.4,184,6,1,25
26/01/2016,1.1,7.8,-5.7,0.0,1029.6,85,3,1,26
27/01/2016,3.0,7.6,-1.7,1.5,1025.0,81,5,1,27
01/02/2016,0.3,3.3,-2.6,0.0,1037.0,23,9,2,1
02/02/2016,0.0,6.2,-6.2,0.0,1031.8,92,4,2,2
03/02/2016,2.1,9.1,-4.9,0.0,1028.8,96,3,2,3
04/02/2016,6.8,11.6,1.9,0.0,1028.8,255,4,2,4
05/02/2016,4.5,12.0,-2.9,0.0,1031.7,20,7,2,5
06/02/2016,2.1,9.5,-5.3,0.0,1033.4,238,6,2,6
07/02/2016,7.0,15.3,-1.3,0.0,1025.3,179,7,2,7
08/02/2016,9.8,20.0,-0.5,0.0,1020.5,155,8,2,8
09/02/2016,13.1,22.0,4.1,0.0,1016.7,134,7,2,9
10/02/2016,12.2,16.6,7.9,1.0,1012.0,95,5,2,10
11/02/2016,13.8,18.8,8.8,1.3,1010.6,95,5,2,11
12/02/2016,15.8,19.3,12.4,9.3,1008.6,11,11,2,12
13/02/2016,8.0,10.6,5.4,4.3,1024.1,7,18,2,13
14/02/2016,3.5,5.0,1.9,0.0,1034.5,15,11,2,14
15/02/2016,2.2,8.7,-4.3,0.0,1033.1,241,5,2,15
16/02/2016,4.5,12.3,-3.4,0.0,1029.0,223,5,2,16
17/02/2016,6.8,14.0,-0.3,0.0,1026.6,127,3,2,17
18/02/2016,8.2,16.9,-0.4,0.0,1023.0,119,3,2,18
19/02/2016,9.2,14.9,3.4,0.0,1028.8,357,6,2,19
20/02/2016,8.3,14.7,1.9,0.0,1028.7,41,6,2,20
21/02/2016,6.2,11.2,1.2,7.9,1025.0,105,9,2,21
22/02/2016,7.5,10.4,4.6,0.0,1029.0,305,3,2,22
23/02/2016,7.4,12.5,2.3,0.0,1034.6,19,10,2,23
24/02/2016,8.0,14.7,1.3,0.0,1035.3,36,3,2,24
25/02/2016,10.4,18.1,2.7,0.0,1032.8,192,8,2,25
