Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,month,day
01/01/2016,15.3,19.2,11.5,0.0,1026.7,50,9,1,1
02/01/2016,15.4,18.6,12.2,0.3,1022.7,206,4,1,2
03/01/2016,16.4,17.9,15.0,1.2,1020.7,289,5,1,3
04/01/2016,19.1,22.2,16.0,0.0,1019.1,107,5,1,4
05/01/2016,17.1,18.5,15.8,24.7,1018.0,52,5,1,5
06/01/2016,18.4,21.0,15.7,0.0,1021.3,97,9,1,6
07/01/2016,16.6,19.8,13.4,0.0,1023.1,42,9,1,7
08/01/2016,15.3,18.8,11.8,0.0,1022.4,64,9,1,8
09/01/2016,14.9,17.9,12.0,0.0,1022.7,63,7,1,9
10/01/2016,14.7,16.9,12.5,13.6,1019.5,12,8,1,10
11/01/2016,14.5,15.2,13.8,6.1,1019.1,76,7,1,11
12/01/2016,14.1,16.1,12.0,0.0,1022.1,57,10,1,12
13/01/2016,14.2,17.0,11.3,0.0,1022.6,89,7,1,13
14/01/2016,13.1,16.3,9.9,1.4,1020.4,47,8,1,14
15/01/2016,12.0,12.9,11.1,6.5,1018.1,46,6,1,15
16/01/2016,14.1,16.7,11.4,7.0,1015.2,70,7,1,16
17/01/2016,15.3,16.9,13.7,0.4,1013.2,51,7,1,17
18/01/2016,14.8,18.1,11.6,0.0,1020.4,54,13,1,18
19/01/2016,13.1,16.5,9.7,0.1,1024.3,53,13,1,19
20/01/2016,10.2,11.0,9.3,12.4,1022.9,33,9,1,20
21/01/2016,11.7,13.9,9.5,1.4,1020.3,78,10,1,21
22/01/2016,10.1,10.9,9.3,17.7,1021.8,7,11,1,22
23/01/2016,8.6,10.4,6.8,0.8,1030.2,350,16,1,23
24/01/2016,5.3,6.9,3.8,0.0,1035.8,354,19,1,24
25/01/2016,4.7,9.2,0.1,0.0,1033.3,27,11,1,25
27/01/2016,10.4,12.5,8.4,3.2,1024.2,228,7,1,27
28/01/2016,12.3,14.5,10.2,84.8,1020.2,45,8,1,28
01/02/2016,9.1,11.0,7.1,9.9,1025.2,71,10,2,1
02/02/2016,8.9,11.7,6.2,0.0,1025.7,77,6,2,2
03/02/2016,9.8,12.5,7.1,0.0,1025.3,58,7,2,3
04/02/2016,13.1,16.7,9.4,0.0,1022.4,86,10,2,4
05/02/2016,11.9,14.0,9.8,0.0,1022.5,87,9,2,5
06/02/2016,11.6,16.1,7.1,0.0,1026.3,75,10,2,6
07/02/2016,10.2,14.6,5.9,0.0,1026.5,86,9,2,7
08/02/2016,12.5,19.6,5.4,0.0,1024.3,233,8,2,8
09/02/2016,14.1,21.2,6.9,0.0,1022.1,280,8,2,9
10/02/2016,14.8,18.8,10.8,12.3,1018.7,248,7,2,10
11/02/2016,14.8,17.6,12.0,2.4,1016.6,34,5,2,11
12/02/2016,18.5,22.6,14.4,1.1,1014.2,194,6,2,12
13/02/2016,20.8,24.7,16.9,0.1,1013.1,169,5,2,13
14/02/2016,14.4,18.8,10.0,6.0,1020.1,75,11,2,14
15/02/2016,9.4,11.5,7.4,0.0,1026.7,73,9,2,15
16/02/2016,11.1,14.5,7.6,0.0,1026.0,53,7,2,16
17/02/2016,12.4,14.8,10.0,0.0,1025.0,41,9,2,17
18/02/2016,14.8,18.3,11.3,0.3,1022.5,52,9,2,18
19/02/2016,14.6,16.6,12.5,1.8,1021.6,266,5,2,19
20/02/2016,15.5,18.6,12.4,0.1,1024.9,75,11,2,20
21/02/2016,12.1,14.7,9.5,0.0,1024.7,38,10,2,21
22/02/2016,13.9,15.2,12.6,1.9,1022.8,47,4,2,22
23/02/2016,12.8,14.6,11.0,1.3,1026.1,54,10,2,23
26/02/2016,11.8,13.3,10.2,0.0,1027.9,30,7,2,26
27/02/2016,14.2,17.7,10.8,0.0,1024.9,136,6,2,27
28/02/2016,16.3,23.0,9.6,0.0,1024.0,138,6,2,28
01/03/2016,14.2,18.5,9.9,0.0,1026.3,39,12,3,1
02/03/2016,14.8,20.2,9.3,0.0,1024.5,322,8,3,2
03/03/2016,16.8,23.2,10.3,0.0,1021.1,144,8,3,3
04/03/2016,17.0,21.7,12.3,0.0,1019.0,134,7,3,4
05/03/2016,19.8,25.2,14.4,0.0,1016.7,100,5,3,5
06/03/2016,20.4,24.7,16.2,0.0,1016.3,101,8,3,6
07/03/2016,19.1,21.4,16.7,1.4,1015.9,91,6,3,7
08/03/2016,18.1,20.3,15.8,1.0,1012.4,244,7,3,8
09/03/2016,16.1,22.0,10.1,14.9,1017.8,58,13,3,9
10/03/2016,8.6,9.6,7.6,11.7,1023.6,57,12,3,10
11/03/2016,9.2,12.0,6.3,0.0,1024.0,59,9,3,11
12/03/2016,10.2,11.8,8.6,29.2,1019.7,3,6,3,12
13/03/2016,11.3,13.2,9.4,25.6,1016.2,136,5,3,13
14/03/2016,14.1,17.1,11.1,0.0,1020.4,51,14,3,14
15/03/2016,12.4,14.2,10.6,2.0,1018.9,9,8,3,15
16/03/2016,12.3,14.0,10.6,5.0,1017.6,6,4,3,16
17/03/2016,14.6,16.7,12.4,8.0,1015.5,263,4,3,17
18/03/2016,16.6,18.3,14.9,47.5,1012.6,272,7,3,18
19/03/2016,18.8,20.6,16.9,18.6,1015.9,77,10,3,19
20/03/2016,15.7,17.7,13.7,36.7,1018.4,50,9,3,20
21/03/2016,12.0,13.7,10.3,14.6,1018.3,59,7,3,21
22/03/2016,14.2,16.0,12.4,28.9,1015.5,109,6,3,22
23/03/2016,13.8,15.1,12.4,28.5,1017.5,56,11,3,23
24/03/2016,10.0,11.5,8.5,9.3,1024.4,71,10,3,24
25/03/2016,11.3,15.4,7.2,0.0,1025.1,53,10,3,25
26/03/2016,13.0,17.8,8.2,0.0,1024.6,67,10,3,26
27/03/2016,13.9,18.2,9.7,0.0,1025.8,49,11,3,27
28/03/2016,15.0,19.4,10.6,0.0,1025.2,49,8,3,28
01/04/2016,19.7,24.0,15.4,0.0,1016.4,104,6,4,1
02/04/2016,19.5,23.4,15.6,0.0,1015.8,221,6,4,2
04/04/2016,21.6,25.7,17.5,6.4,1013.8,81,9,4,4
05/04/2016,19.8,23.1,16.5,0.0,1015.2,165,7,4,5
06/04/2016,22.9,27.5,18.3,0.0,1013.3,203,10,4,6
07/04/2016,24.4,28.0,20.7,0.0,1013.2,191,6,4,7
08/04/2016,21.6,25.7,17.5,4.9,1014.2,103,8,4,8
09/04/2016,17.9,19.0,16.8,1.6,1012.7,9,4,4,9
10/04/2016,19.1,21.4,16.9,39.4,1010.8,180,9,4,10
11/04/2016,18.1,20.1,16.0,0.1,1013.3,87,9,4,11
12/04/2016,20.5,23.6,17.4,51.8,1009.7,165,5,4,12
13/04/2016,19.9,22.2,17.5,26.1,1007.4,127,8,4,13
14/04/2016,20.2,22.2,18.3,8.4,1012.8,76,8,4,14
15/04/2016,16.9,17.6,16.1,21.7,1014.4,207,7,4,15
16/04/2016,20.8,25.5,16.0,0.5,1011.7,165,7,4,16
17/04/2016,21.4,25.0,17.9,25.0,1013.0,52,8,4,17
18/04/2016,17.0,18.2,15.8,0.5,1018.3,81,11,4,18
19/04/2016,18.6,22.8,14.5,0.0,1019.5,97,9,4,19
21/04/2016,25.1,30.5,19.8,2.2,1011.1,223,8,4,21
23/04/2016,22.4,23.7,21.0,24.7,1009.7,164,7,4,23
24/04/2016,23.4,25.7,21.0,8.7,1010.3,133,8,4,24
25/04/2016,19.9,21.1,18.6,3.9,1013.0,84,6,4,25
26/04/2016,21.0,23.8,18.2,3.6,1010.3,188,4,4,26
27/04/2016,25.5,30.3,20.7,0.0,1008.1,256,7,4,27
28/04/2016,23.2,25.4,21.0,0.0,1013.1,84,11,4,28
01/05/2016,19.1,24.0,14.2,7.6,1013.0,359,4,5,1
02/05/2016,24.4,28.1,20.7,0.0,1010.6,192,8,5,2
03/05/2016,27.7,32.7,22.7,0.0,1011.2,85,7,5,3
04/05/2016,25.5,28.4,22.6,0.0,1012.5,118,7,5,4
05/05/2016,25.7,28.7,22.7,0.0,1010.9,182,8,5,5
06/05/2016,27.1,29.9,24.3,0.0,1010.3,179,9,5,6
07/05/2016,27.8,31.5,24.0,0.0,1011.4,206,10,5,7
08/05/2016,27.7,31.1,24.3,0.0,1012.5,173,7,5,8
09/05/2016,27.6,31.0,24.2,4.9,1009.3,190,10,5,9
10/05/2016,26.2,28.8,23.7,17.9,1007.9,169,9,5,10
11/05/2016,22.0,23.8,20.2,0.0,1010.9,67,9,5,11
12/05/2016,23.0,27.3,18.7,0.0,1011.8,69,6,5,12
13/05/2016,24.8,29.0,20.6,0.0,1014.8,72,10,5,13
14/05/2016,26.4,29.2,23.5,0.0,1015.1,79,9,5,14
15/05/2016,26.4,30.3,22.5,2.0,1010.8,247,9,5,15
16/05/2016,21.1,24.1,18.0,0.5,1013.7,36,13,5,16
17/05/2016,21.4,25.1,17.8,0.0,1014.4,39,11,5,17
18/05/2016,22.6,26.9,18.4,0.0,1013.4,81,7,5,18
19/05/2016,23.2,26.4,20.0,0.0,1010.8,111,8,5,19
20/05/2016,23.6,26.4,20.8,19.0,1010.0,70,7,5,20
21/05/2016,21.8,22.7,20.8,72.3,1009.3,39,9,5,21
22/05/2016,22.4,23.3,21.5,12.6,1009.0,48,8,5,22
24/05/2016,25.7,28.5,22.9,0.0,1008.7,99,7,5,24
