YEAR,MONTH,DAY,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
2015,1,1,SLC,ATL,-6.0,1590,-22.0
2015,1,1,DFW,MIA,108.0,1121,102.0
2015,1,1,IAH,MIA,58.0,964,54.0
2015,1,1,BWI,MIA,43.0,946,31.0
2015,1,1,MDW,PHX,0.0,1444,11.0
2015,1,2,LAX,DFW,-6.0,1235,-2.0
2015,1,2,MHT,BWI,2.0,377,-8.0
2015,1,3,LAX,DFW,0.0,1235,4.0
2015,1,3,MHT,BWI,-4.0,377,-20.0
2015,1,4,LAX,DFW,-3.0,1235,-2.0
2015,1,4,MHT,BWI,11.0,377,13.0
2015,1,4,BWI,SFO,-2.0,2457,-4.0
2015,1,5,LAS,IAH,52.0,1222,46.0
2015,1,5,LAX,DFW,31.0,1235,46.0
2015,1,5,MHT,BWI,-4.0,377,-1.0
2015,1,6,LAX,DFW,0.0,1235,13.0
2015,1,6,SFO,DFW,-8.0,1464,3.0
2015,1,6,MHT,BWI,-3.0,377,-18.0
2015,1,6,JFK,MIA,-4.0,1089,-5.0
2015,1,7,LAX,DFW,0.0,1235,0.0
2015,1,7,SFO,DFW,9.0,1464,20.0
2015,1,7,MHT,BWI,-4.0,377,-15.0
2015,1,7,JFK,MIA,-1.0,1089,-9.0
2015,1,8,LAX,DFW,-2.0,1235,-4.0
2015,1,8,SFO,DFW,-1.0,1464,12.0
2015,1,8,MHT,BWI,-2.0,377,-36.0
2015,1,8,JFK,MIA,2.0,1089,40.0
2015,1,9,LAX,DFW,9.0,1235,19.0
2015,1,9,MHT,BWI,79.0,377,84.0
2015,1,9,JFK,MIA,0.0,1089,9.0
2015,1,10,LAX,DFW,-3.0,1235,0.0
2015,1,10,MHT,BWI,-2.0,377,-29.0
2015,1,10,JFK,MIA,-2.0,1089,0.0
2015,1,11,LAX,DFW,45.0,1235,45.0
2015,1,11,SFO,DFW,5.0,1464,4.0
2015,1,11,IAH,MIA,-6.0,964,-3.0
2015,1,11,JFK,MIA,-1.0,1089,3.0
2015,1,11,BWI,MIA,-5.0,946,-3.0
2015,1,11,MDW,ATL,-8.0,591,-11.0
2015,1,11,MHT,ATL,-3.0,952,-8.0
2015,1,12,LAX,DFW,-5.0,1235,4.0
2015,1,12,PHX,ATL,-9.0,1587,-3.0
2015,1,12,MHT,BWI,19.0,377,13.0
2015,1,12,JFK,MIA,-3.0,1089,-8.0
2015,1,13,LAX,DFW,1.0,1235,-8.0
2015,1,13,SFO,DFW,-4.0,1464,1.0
2015,1,13,MHT,BWI,-6.0,377,-28.0
2015,1,13,JFK,MIA,-3.0,1089,-8.0
2015,1,14,LAX,DFW,5.0,1235,-10.0
2015,1,14,SFO,DFW,7.0,1464,13.0
2015,1,14,MHT,BWI,-8.0,377,-28.0
2015,1,14,JFK,MIA,-4.0,1089,38.0
2015,1,15,LAX,DFW,-1.0,1235,-3.0
2015,1,15,SFO,DFW,-6.0,1464,-10.0
2015,1,15,MHT,BWI,1.0,377,2.0
2015,1,15,JFK,MIA,-4.0,1089,-14.0
2015,1,16,LAX,DFW,64.0,1235,53.0
2015,1,16,MHT,BWI,-4.0,377,-27.0
2015,1,16,JFK,MIA,-5.0,1089,-14.0
2015,1,17,LAX,DFW,0.0,1235,-11.0
2015,1,17,SFO,DFW,-2.0,1464,-1.0
2015,1,17,MHT,BWI,-4.0,377,-37.0
2015,1,17,JFK,MIA,0.0,1089,5.0
2015,1,18,LAX,DFW,-5.0,1235,5.0
2015,1,18,SLC,ATL,-4.0,1590,-27.0
2015,1,18,IAH,MIA,-5.0,964,-13.0
2015,1,18,JFK,MIA,-7.0,1089,-24.0
2015,1,18,MDW,ATL,-5.0,591,-31.0
2015,1,18,MHT,ATL,-6.0,952,-32.0
2015,1,19,LAX,DFW,-8.0,1235,-20.0
2015,1,19,PHX,ATL,2.0,1587,-6.0
2015,1,19,MHT,BWI,-3.0,377,-34.0
2015,1,19,JFK,MIA,-1.0,1089,1.0
2015,1,20,LAX,DFW,-2.0,1235,-21.0
2015,1,20,SFO,DFW,18.0,1464,6.0
2015,1,20,MHT,BWI,-4.0,377,-35.0
2015,1,20,JFK,MIA,-6.0,1089,7.0
2015,1,21,LAX,DFW,67.0,1235,49.0
2015,1,21,SFO,DFW,-1.0,1464,-11.0
2015,1,21,MHT,BWI,0.0,377,-3.0
2015,1,21,JFK,MIA,-3.0,1089,10.0
2015,1,22,LAX,DFW,-2.0,1235,-5.0
2015,1,22,SFO,DFW,4.0,1464,9.0
2015,1,22,MHT,BWI,-5.0,377,-34.0
2015,1,22,JFK,MIA,-5.0,1089,-4.0
2015,1,23,LAX,DFW,1.0,1235,-6.0
2015,1,23,MHT,BWI,-4.0,377,-36.0
2015,1,23,JFK,MIA,-1.0,1089,-7.0
2015,1,24,LAX,DFW,-4.0,1235,1.0
2015,1,24,MHT,BWI,-5.0,377,-31.0
2015,1,24,JFK,MIA,8.0,1089,77.0
2015,1,25,LAX,DFW,-9.0,1235,-4.0
2015,1,25,SFO,DFW,-6.0,1464,12.0
2015,1,25,SLC,ATL,234.0,1590,229.0
2015,1,25,IAH,MIA,445.0,964,441.0
2015,1,25,JFK,MIA,-4.0,1089,-18.0
2015,1,25,BWI,MIA,-3.0,946,-14.0
2015,1,25,MDW,ATL,-5.0,591,-27.0
2015,1,25,MHT,ATL,-8.0,952,-25.0
2015,1,26,LAX,DFW,0.0,1235,16.0
2015,1,26,PHX,ATL,-9.0,1587,-4.0
2015,1,26,MHT,BWI,-2.0,377,-26.0
2015,1,26,JFK,MIA,6.0,1089,31.0
2015,1,27,LAX,DFW,-5.0,1235,-6.0
2015,1,27,SFO,DFW,-9.0,1464,-5.0
2015,1,27,MHT,BWI,,377,
2015,1,27,JFK,MIA,,1089,
2015,1,28,LAX,DFW,-3.0,1235,1.0
2015,1,28,SFO,DFW,-14.0,1464,-16.0
2015,1,28,MHT,BWI,,377,
2015,1,28,JFK,MIA,,1089,
2015,1,29,LAX,DFW,-5.0,1235,-17.0
2015,1,29,SFO,DFW,-9.0,1464,-22.0
2015,1,29,MHT,BWI,-1.0,377,-35.0
2015,1,29,JFK,MIA,-4.0,1089,-27.0
2015,1,30,LAX,DFW,-3.0,1235,10.0
2015,1,30,MHT,BWI,-2.0,377,-21.0
2015,1,30,JFK,MIA,1.0,1089,4.0
2015,1,31,LAX,DFW,-3.0,1235,-2.0
2015,1,31,SFO,DFW,-5.0,1464,7.0
2015,1,31,MHT,BWI,0.0,377,-41.0
2015,1,31,JFK,MIA,-1.0,1089,0.0
2015,2,1,LAX,DFW,-3.0,1235,-2.0
2015,2,1,PHX,ATL,-5.0,1587,-12.0
2015,2,1,SLC,ATL,-5.0,1590,-27.0
2015,2,1,IAH,MIA,1.0,964,-2.0
2015,2,1,JFK,MIA,-2.0,1089,-5.0
2015,2,1,BWI,MIA,73.0,946,73.0
2015,2,1,MDW,ATL,2.0,591,20.0
2015,2,1,MHT,ATL,0.0,952,-27.0
