Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp
,,,,,,,
28/01/2015,4.4,5.3,3.5,5.2,1024.8,15,8
27/01/2015,8.6,11.1,6,5.2,1024,28,7
26/01/2015,12.2,14,10.3,3,1021.6,298,3
25/01/2015,15.1,17.5,12.7,,1021.1,253,4
24/01/2015,14.2,22.7,5.7,,1019.2,83,4
23/01/2015,9.7,17.8,1.6,0,1020.2,18,4
22/01/2015,8.2,14.1,2.3,0,1025,43,3
21/01/2015,9.8,15.2,4.3,0,1025.4,328,7
20/01/2015,9.2,12.2,6.2,0.6,1023.3,350,2
19/01/2015,8.7,16,1.3,0,1026.1,50,3
18/01/2015,8.7,13.6,3.7,0,1029.2,317,5
17/01/2015,8.2,13.8,2.6,0,1030.1,6,3
16/01/2015,8.8,14.3,3.2,0,1029.2,319,4
15/01/2015,7.9,14.1,1.7,0,1027.3,31,4
14/01/2015,8.3,10.4,6.2,0,1028.3,360,4
13/01/2015,6.4,6.9,5.9,8.2,1027.3,17,5
12/01/2015,10.4,13.3,7.5,5.5,1029.5,31,7
11/01/2015,8.7,14.4,2.9,0,1028.1,66,3
10/01/2015,10.2,13.6,6.9,0,1028.2,31,3
09/01/2015,7.8,14.3,1.3,0,1029.4,344,3
08/01/2015,6.8,12.9,0.7,0,1031.7,48,3
07/01/2015,7.9,11.1,4.7,0,1030.5,338,6
06/01/2015,9.1,11.9,6.2,6.9,1022.8,15,6
05/01/2015,10.9,13.1,8.7,,1015.1,28,3
04/01/2015,12.6,21.7,3.4,0,1014.9,36,4
03/01/2015,10.6,17.6,3.6,0,1020.9,1,4
02/01/2015,6.5,14.7,-1.8,0,1028,14,3
01/01/2015,6.4,11.8,1,0,1032.5,30,3
,,,,,,,
28/02/2015,5.8,6.8,4.8,16.6,1025.4,299,5
27/02/2015,8.5,9.8,7.2,49.8,1018.7,38,7
26/02/2015,10.9,12.2,9.7,25,1018,27,5
25/02/2015,11.7,12.3,11.1,16.9,1015.1,9,3
24/02/2015,11.8,14,9.5,19.7,1015.6,65,2
23/02/2015,9.7,11.5,7.8,0.9,1018.7,37,2
22/02/2015,12.1,15.6,8.6,16.9,1019.7,36,4
21/02/2015,10.4,11.9,8.9,0.1,1019.2,233,5
20/02/2015,11.7,12.9,10.5,84.1,1014.4,20,7
19/02/2015,14.8,20.6,9.1,9.2,1019.7,44,5
18/02/2015,15.6,21.3,9.9,0,1021.7,22,5
17/02/2015,15.5,20.8,10.2,0,1019.3,36,4
16/02/2015,16.1,21.1,11.2,0.9,1018.9,35,4
15/02/2015,15.1,18.7,11.5,1.7,1017.1,347,3
14/02/2015,14.1,21.9,6.3,2.3,1016.5,40,7
13/02/2015,13.1,22.3,3.8,0,1018.7,83,4
12/02/2015,10.5,18.8,2.2,0,1019.3,46,4
11/02/2015,7.9,14.9,0.9,0,1019.8,338,5
10/02/2015,5.8,12.2,-0.7,0,1022.7,37,3
09/02/2015,6.8,12.7,0.8,0,1029.7,39,5
08/02/2015,7.8,13.3,2.4,0,1031.3,34,5
07/02/2015,6,12.2,-0.2,0,1026.6,282,5
06/02/2015,6.5,12.9,0.2,0,1026.7,355,4
05/02/2015,5.8,11.6,0,0,1031.6,58,4
04/02/2015,6.9,9.5,4.3,0,1031.2,81,4
03/02/2015,5.5,6.3,4.6,,1031.1,258,3
02/02/2015,4,5.4,2.7,6.3,1031.2,339,3
01/02/2015,2.6,3.2,2,5.2,1033,0,2
,,,,,,,
28/03/2015,17.1,24.1,10.1,,1018.1,340,5
27/03/2015,16.7,21.8,11.6,0,1023.9,197,4
26/03/2015,16.1,21.2,10.9,3.4,1026.8,339,4
25/03/2015,16.6,22.7,10.5,0,1027.3,76,6
24/03/2015,14.8,20.5,9.1,0,1028,45,5
23/03/2015,16.4,19.8,12.9,0.1,1024.7,34,5
22/03/2015,16.4,22.8,10.1,1.1,1020.6,25,5
21/03/2015,14.2,17.7,10.8,0,1022.1,76,4
20/03/2015,14.4,15.9,12.9,5.5,1019.5,230,4
19/03/2015,14.9,17.6,12.3,0.6,1015.6,41,2
18/03/2015,19.7,23.7,15.7,15.2,1010.4,250,4
17/03/2015,21.1,27,15.3,24.2,1007.2,353,5
16/03/2015,15.4,17.4,13.5,,1015,16,3
15/03/2015,14.2,15.9,12.4,5.2,1017.3,44,3
14/03/2015,13.4,14.6,12.2,6.3,1018.4,40,5
13/03/2015,13.3,20.6,6.1,3.7,1019.5,51,3
12/03/2015,11.7,18.3,5,0,1021.4,270,5
11/03/2015,10,12.6,7.4,0,1025.9,216,5
