Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-2.4,1.4,-6.1,0.3,1033.2,139,4
27/01/2015,-0.9,1.7,-3.5,0.0,1036.3,135,4
26/01/2015,-0.1,3.0,-3.3,0.0,1031.8,82,3
25/01/2015,0.1,1.8,-1.5,0.0,1025.2,122,4
24/01/2015,-0.8,2.5,-4.0,0.8,1027.0,322,5
23/01/2015,1.4,7.5,-4.7,0.0,1020.2,2,4
22/01/2015,0.9,6.5,-4.7,0.0,1022.8,292,4
21/01/2015,2.7,7.6,-2.2,0.0,1028.7,268,5
20/01/2015,1.1,4.1,-1.9,0.0,1023.1,331,4
19/01/2015,3.7,10.2,-2.8,0.0,1024.0,318,5
18/01/2015,3.5,9.2,-2.3,0.0,1023.0,278,9
17/01/2015,-0.3,5.1,-5.8,0.0,1028.7,118,3
16/01/2015,0.3,8.6,-7.9,0.0,1032.1,316,5
15/01/2015,-2.1,1.4,-5.7,0.0,1027.6,49,3
14/01/2015,0.2,2.2,-1.7,0.0,1030.4,299,3
13/01/2015,-0.6,3.6,-4.7,0.0,1031.4,283,4
12/01/2015,-0.5,4.5,-5.5,0.0,1035.9,346,4
11/01/2015,4.3,7.8,0.8,0.0,1035.3,73,3
10/01/2015,5.7,16.3,-4.9,0.0,1024.4,266,5
09/01/2015,2.0,8.5,-4.4,0.0,1029.2,295,4
08/01/2015,0.3,7.0,-6.3,0.0,1029.4,158,3
07/01/2015,0.1,4.9,-4.6,0.0,1030.8,303,4
06/01/2015,0.3,3.8,-3.2,0.0,1028.3,146,5
05/01/2015,5.5,8.4,2.6,0.0,1022.6,60,3
04/01/2015,1.4,7.8,-5.0,0.0,1016.5,18,4
03/01/2015,0.0,5.8,-5.8,0.0,1016.0,166,3
02/01/2015,-0.7,4.5,-5.9,0.0,1028.4,5,4
01/01/2015,0.6,5.4,-4.3,0.0,1030.1,261,5

28/02/2015,3.0,7.2,-1.3,0.0,1026.3,155,4
27/02/2015,1.8,3.4,0.1,0.5,1032.4,43,6
26/02/2015,2.8,7.6,-2.1,0.0,1027.3,81,5
25/02/2015,5.2,11.8,-1.5,0.0,1021.0,66,5
24/02/2015,2.0,6.8,-2.7,0.0,1014.9,115,4
23/02/2015,2.0,7.5,-3.4,0.0,1019.5,163,4
22/02/2015,2.1,6.5,-2.3,0.0,1024.1,297,7
21/02/2015,7.2,14.7,-0.3,0.0,1019.6,264,7
20/02/2015,0.7,1.3,0.1,1.1,1020.3,74,3
19/02/2015,0.7,1.9,-0.5,6.0,1027.3,9,4
18/02/2015,5.3,10.8,-0.2,0.0,1030.6,55,4
17/02/2015,6.7,10.8,2.6,0.0,1025.9,43,4
16/02/2015,8.6,17.2,0.0,0.0,1019.0,278,6
15/02/2015,5.2,8.6,1.7,0.0,1019.6,322,4
14/02/2015,7.5,15.1,0.0,0.0,1012.3,3,4
13/02/2015,6.0,13.7,-1.8,0.0,1015.7,119,4
12/02/2015,2.2,6.8,-2.4,0.0,1020.7,191,3
11/02/2015,6.2,9.9,2.4,0.0,1018.0,355,4
10/02/2015,6.8,15.7,-2.1,0.0,1015.4,240,5
09/02/2015,1.5,8.8,-5.8,0.0,1025.7,142,6
08/02/2015,-1.9,1.9,-5.7,0.0,1035.2,127,5
07/02/2015,3.6,8.0,-0.7,0.0,1032.5,28,5
06/02/2015,5.3,10.7,0.0,0.0,1023.1,281,4
05/02/2015,2.2,8.2,-3.8,0.0,1030.7,208,5
04/02/2015,2.1,8.6,-4.3,0.0,1033.3,322,4
03/02/2015,2.0,8.5,-4.5,0.0,1032.9,27,4
02/02/2015,-1.2,2.0,-4.5,0.0,1033.4,273,4
01/02/2015,-1.2,2.8,-5.3,0.0,1034.3,275,4

28/03/2015,18.2,25.3,11.2,0.0,1014.5,343,6
27/03/2015,14.2,20.6,7.8,0.0,1017.8,148,6
26/03/2015,12.7,18.5,6.9,0.0,1028.1,147,6
25/03/2015,11.4,17.0,5.9,0.0,1030.3,135,5
24/03/2015,12.1,17.5,6.7,0.0,1029.8,78,5
23/03/2015,10.2,16.6,3.8,0.0,1030.2,198,4
