Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,17.5,19.4,15.6,0.0,1018.9,68,10
27/01/2015,19.8,22.3,17.2,0.0,1017.6,82,9
26/01/2015,20.6,24.8,16.5,0.0,1018.1,92,8
25/01/2015,20.6,24.3,16.8,0.0,1018.6,80,7
24/01/2015,18.1,21.3,14.9,0.0,1018.8,67,9
23/01/2015,17.4,21.9,12.9,0.0,1019.6,66,7
22/01/2015,19.1,23.1,15.1,0.0,1021.5,58,7
21/01/2015,17.8,22.8,12.8,0.0,1020.9,68,5
20/01/2015,17.0,21.4,12.6,0.0,1021.1,38,6
19/01/2015,16.5,20.7,12.3,0.0,1022.2,51,8
18/01/2015,16.2,19.9,12.5,0.0,1023.6,32,10
17/01/2015,17.0,20.3,13.7,0.0,1024.2,44,8
16/01/2015,17.2,21.9,12.5,0.0,1022.7,43,9
15/01/2015,14.2,19.4,9.0,0.0,1022.9,48,6
14/01/2015,13.0,17.4,8.6,0.0,1022.8,21,10
13/01/2015,12.1,13.4,10.8,5.5,1022.1,360,9
12/01/2015,13.3,15.5,11.2,46.8,1021.9,12,10
11/01/2015,15.9,19.5,12.3,1.0,1022.4,12,8
10/01/2015,16.9,21.2,12.6,0.2,1023.2,34,6
09/01/2015,15.9,20.0,11.8,0.0,1024.7,92,6
08/01/2015,14.9,18.3,11.6,0.0,1025.5,37,9
07/01/2015,18.1,20.0,16.1,0.0,1022.2,26,11
06/01/2015,22.6,26.9,18.2,0.0,1015.1,119,5
05/01/2015,20.4,22.9,18.0,0.0,1014.3,50,8
04/01/2015,18.3,23.2,13.4,0.0,1015.7,68,7
03/01/2015,16.7,21.6,11.8,0.0,1020.6,69,8
02/01/2015,16.0,20.3,11.7,0.0,1024.7,69,6
01/01/2015,17.0,20.4,13.6,0.0,1025.1,40,8

28/02/2015,20.8,23.2,18.3,0.0,1017.5,77,10
27/02/2015,20.2,21.8,18.7,0.0,1015.8,72,10
26/02/2015,24.1,28.4,19.8,0.0,1014.0,110,6
25/02/2015,21.2,22.9,19.5,0.0,1013.7,67,7
24/02/2015,21.9,25.0,18.9,4.6,1014.0,69,9
23/02/2015,20.9,23.1,18.6,,1014.9,73,8
22/02/2015,22.4,25.6,19.2,10.7,1015.7,77,8
21/02/2015,21.8,25.4,18.2,,1015.2,67,5
20/02/2015,19.6,23.1,16.1,,1016.9,76,9
19/02/2015,19.1,21.2,17.1,0.0,1019.7,73,11
18/02/2015,19.1,21.6,16.5,0.0,1019.1,85,9
17/02/2015,20.3,23.7,16.9,0.0,1017.1,57,7
16/02/2015,20.0,22.8,17.2,0.0,1016.3,101,4
15/02/2015,18.9,19.7,18.0,0.6,1016.5,280,4
14/02/2015,19.9,23.5,16.2,0.0,1016.1,65,8
13/02/2015,18.6,23.7,13.6,0.0,1018.0,63,7
12/02/2015,17.6,22.8,12.5,0.0,1018.1,39,6
11/02/2015,16.1,19.3,12.8,0.0,1018.7,320,3
10/02/2015,15.2,18.9,11.4,0.0,1020.6,83,5
09/02/2015,15.2,18.9,11.5,0.0,1024.8,74,7
08/02/2015,15.9,18.9,13.0,0.0,1023.9,28,8
07/02/2015,16.9,20.3,13.4,0.0,1022.1,24,10
06/02/2015,12.8,15.5,10.1,0.0,1023.7,40,6
05/02/2015,13.3,15.6,11.1,,1025.6,24,13
04/02/2015,16.6,19.1,14.2,0.0,1024.1,28,9
03/02/2015,18.7,22.5,14.9,0.0,1024.0,73,6
02/02/2015,17.4,21.5,13.4,0.0,1025.3,89,8
01/02/2015,15.2,17.6,12.7,0.0,1026.4,67,6

28/03/2015,23.2,27.1,19.3,0.0,1017.6,47,5
27/03/2015,21.0,23.8,18.2,0.0,1020.8,59,6
26/03/2015,18.9,20.9,17.0,0.1,1023.9,38,5
25/03/2015,18.4,19.6,17.1,0.5,1024.3,73,6
24/03/2015,20.9,23.6,18.1,0.0,1022.8,90,7
23/03/2015,23.1,27.0,19.1,,1019.5,71,9
22/03/2015,21.8,24.0,19.6,,1017.7,68,9
21/03/2015,24.4,28.0,20.7,,1016.8,176,7
20/03/2015,25.8,29.4,22.1,0.0,1015.7,176,6
19/03/2015,25.9,29.6,22.2,0.0,1013.4,139,7
18/03/2015,24.9,28.3,21.5,0.0,1011.6,148,6
17/03/2015,24.6,27.6,21.7,0.0,1011.9,81,7
16/03/2015,23.9,27.5,20.4,0.0,1014.7,77,5
15/03/2015,22.4,24.6,20.2,0.0,1016.0,71,6
14/03/2015,19.6,21.2,18.0,,1017.8,51,8
13/03/2015,17.4,20.2,14.6,0.0,1018.6,55,9
12/03/2015,14.8,16.3,13.2,2.7,1020.2,35,8
11/03/2015,16.4,17.6,15.2,4.6,1021.7,71,7
10/03/2015,19.2,21.9,16.6,,1022.1,62,8
09/03/2015,22.1,26.4,17.8,0.0,1019.4,105,7
08/03/2015,19.6,22.0,17.1,0.0,1017.8,58,7
07/03/2015,16.6,18.6,14.6,0.0,1017.6,47,8
06/03/2015,17.4,18.3,16.4,,1017.4,48,8
05/03/2015,17.4,18.8,15.9,0.0,1016.0,61,11
04/03/2015,15.9,17.4,14.5,0.3,1015.7,63,11
03/03/2015,20.8,24.9,16.7,1.9,1012.2,79,7
02/03/2015,18.0,19.4,16.6,0.0,1014.8,68,11
01/03/2015,18.1,20.9,15.4,0.0,1019.9,17,8

28/04/2015,25.5,28.8,22.2,0.0,1011.2,206,8
27/04/2015,25.4,29.6,21.2,0.0,1013.4,193,8
26/04/2015,25.1,28.4,21.9,0.0,1016.2,81,6
25/04/2015,24.7,28.0,21.4,0.0,1016.7,86,7
24/04/2015,25.1,29.3,21.0,0.0,1017.1,112,5
23/04/2015,23.4,25.2,21.6,,1018.4,58,5
22/04/2015,24.6,28.4,20.7,0.0,1017.6,55,8
21/04/2015,23.4,26.1,20.6,0.0,1014.3,43,7
20/04/2015,27.4,29.6,25.3,0.5,1008.8,247,9
19/04/2015,26.6,28.0,25.1,,1007.8,210,16
18/04/2015,25.6,28.7,22.5,0.0,1009.3,186,6
17/04/2015,23.7,27.6,19.8,0.0,1011.6,154,7
16/04/2015,23.1,27.9,18.3,0.0,1014.1,244,6
15/04/2015,21.8,27.1,16.5,0.0,1015.8,137,7
14/04/2015,22.1,26.5,17.7,0.0,1017.7,164,7
13/04/2015,22.2,27.7,16.8,0.0,1018.9,23,9
12/04/2015,19.7,24.0,15.4,0.0,1019.7,3,5
11/04/2015,15.6,16.9,14.2,13.5,1019.9,354,5
10/04/2015,16.2,17.4,15.0,12.7,1018.6,32,6
09/04/2015,15.9,18.2,13.6,4.1,1018.1,25,7
08/04/2015,16.5,18.1,14.9,20.1,1019.1,26,10
07/04/2015,27.1,30.7,23.5,10.2,1014.9,22,11
06/04/2015,26.9,30.9,23.0,0.0,1011.5,184,8
05/04/2015,27.6,31.6,23.6,0.0,1011.1,219,6
04/04/2015,27.8,31.0,24.5,0.0,1010.2,151,7
03/04/2015,26.4,28.6,24.1,0.0,1007.6,177,6
02/04/2015,26.2,29.6,22.9,0.0,1007.5,172,5
01/04/2015,25.9,29.3,22.4,0.0,1011.0,155,6

28/05/2015,30.1,32.4,27.7,0.0,1005.1,210,13
27/05/2015,28.9,31.3,26.6,1.1,1006.2,205,10
26/05/2015,27.2,29.2,25.3,0.6,1007.9,142,6
25/05/2015,28.6,32.6,24.7,20.3,1007.0,85,6
24/05/2015,26.5,29.3,23.7,8.0,1006.1,269,3
23/05/2015,24.8,26.6,23.0,73.4,1005.7,68,5
22/05/2015,23.9,25.2,22.5,13.8,1007.9,71,10
21/05/2015,25.4,27.2,23.7,1.9,1008.6,83,10
20/05/2015,27.5,30.2,24.8,48.6,1006.5,58,10
19/05/2015,27.5,29.3,25.7,12.5,1006.6,224,12
18/05/2015,27.1,30.1,24.0,1.6,1007.5,205,9
17/05/2015,27.6,30.9,24.4,3.8,1008.0,177,6
16/05/2015,25.5,27.8,23.2,7.1,1009.6,331,5
15/05/2015,29.4,32.6,26.2,1.1,1011.1,196,10
14/05/2015,28.4,31.5,25.2,,1012.1,176,6
13/05/2015,26.9,29.2,24.5,0.0,1011.7,102,6
12/05/2015,26.2,30.8,21.7,0.0,1012.5,90,8
