Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-2.3,0.4,-5.0,0.0,1032.9,5,15
27/01/2015,-2.3,-0.7,-3.9,0.0,1034.2,2,20
26/01/2015,1.2,2.1,0.4,0.0,1028.8,357,22
25/01/2015,4.5,6.0,3.0,0.1,1022.8,340,21
24/01/2015,5.1,7.5,2.7,0.7,1024.0,98,11
23/01/2015,2.8,5.7,-0.2,0.0,1022.4,180,10
22/01/2015,1.0,3.2,-1.2,0.0,1025.5,318,13
21/01/2015,4.0,6.2,1.7,2.1,1024.1,334,16
20/01/2015,4.8,6.9,2.8,0.0,1023.9,170,10
19/01/2015,3.5,6.3,0.7,0.0,1028.0,225,11
18/01/2015,4.2,7.3,1.1,0.0,1022.6,270,18
17/01/2015,0.3,3.4,-2.8,0.0,1032.1,253,10
16/01/2015,1.3,3.2,-0.6,,1029.5,333,19
15/01/2015,2.6,4.1,1.1,0.0,1026.9,340,11
14/01/2015,5.8,8.2,3.5,0.0,1028.2,342,10
13/01/2015,3.5,5.3,1.7,0.0,1032.3,104,7
12/01/2015,0.9,4.6,-2.8,0.0,1037.2,159,6
11/01/2015,2.8,4.4,1.2,0.0,1034.2,2,14
10/01/2015,3.9,9.3,-1.5,0.0,1025.1,240,10
09/01/2015,3.4,6.6,0.1,0.0,1028.6,330,11
08/01/2015,0.7,5.0,-3.7,0.0,1030.6,298,8
07/01/2015,0.7,3.6,-2.3,0.0,1030.9,340,16
06/01/2015,-0.3,1.7,-2.3,0.0,1027.2,350,20
05/01/2015,7.7,9.8,5.6,,1017.4,21,22
04/01/2015,6.2,10.7,1.8,,1017.6,149,9
03/01/2015,2.6,5.7,-0.5,0.0,1019.1,199,9
02/01/2015,0.9,3.8,-1.9,0.0,1029.2,334,9
01/01/2015,-1.5,0.8,-3.8,0.0,1030.9,299,18

28/02/2015,2.0,3.4,0.6,0.0,1026.3,298,8
27/02/2015,2.0,4.0,0.1,0.0,1031.5,57,5
26/02/2015,2.9,6.5,-0.8,0.0,1027.2,15,11
25/02/2015,7.0,10.0,3.9,,1019.3,350,18
24/02/2015,4.7,7.0,2.3,0.0,1017.6,172,12
23/02/2015,3.1,6.5,-0.3,0.0,1021.7,224,8
22/02/2015,1.4,3.7,-0.8,0.0,1023.2,328,15
21/02/2015,5.0,6.4,3.5,0.0,1017.8,329,21
20/02/2015,4.3,6.3,2.4,7.6,1019.2,114,14
19/02/2015,1.6,5.8,-2.5,,1028.5,170,10
18/02/2015,3.4,7.1,-0.4,0.0,1030.5,340,18
17/02/2015,5.5,8.5,2.4,0.0,1024.8,342,12
16/02/2015,5.1,6.6,3.6,0.0,1019.2,333,12
15/02/2015,7.2,8.4,6.0,2.4,1016.3,285,8
14/02/2015,5.8,7.9,3.7,0.0,1017.0,152,10
13/02/2015,2.4,6.7,-1.9,0.0,1020.6,202,11
12/02/2015,2.1,5.9,-1.6,0.0,1020.8,104,7
11/02/2015,5.2,8.2,2.3,0.0,1015.6,320,7
10/02/2015,4.7,8.0,1.4,0.0,1017.1,205,8
09/02/2015,-0.6,4.7,-5.8,0.0,1028.6,226,9
08/02/2015,-4.2,-1.9,-6.5,0.0,1035.9,354,14
