Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-14.7,-11.4,-17.9,0.0,1044.0,93,6
27/01/2015,-13.3,-11.5,-15.1,0.5,1044.8,78,5
26/01/2015,-12.2,-10.8,-13.5,2.2,1041.8,84,5
25/01/2015,-8.4,-7.6,-9.3,1.9,1040.1,39,5
24/01/2015,-6.7,-4.1,-9.3,1.6,1032.3,30,5
23/01/2015,-6.3,-3.8,-8.9,0.0,1027.4,140,5
22/01/2015,-4.0,-0.1,-7.9,0.0,1025.8,109,5
21/01/2015,-7.5,-0.9,-14.1,,1029.6,153,7
20/01/2015,-11.1,-9.0,-13.2,0.0,1028.7,73,4
19/01/2015,-4.2,2.4,-10.7,0.0,1031.5,95,4
18/01/2015,-7.0,-2.2,-11.8,0.0,1029.0,264,6
17/01/2015,-4.8,0.1,-9.8,0.0,1032.7,27,8
16/01/2015,-4.5,-1.8,-7.2,3.1,1040.2,95,7
15/01/2015,-6.5,-3.5,-9.4,5.7,1036.0,65,4
14/01/2015,-3.8,1.7,-9.2,0.0,1033.2,72,7
13/01/2015,-3.9,-1.2,-6.5,0.0,1036.9,108,5
12/01/2015,-4.4,0.3,-9.1,0.0,1032.0,207,7
11/01/2015,-5.1,-3.1,-7.1,0.0,1027.9,155,5
10/01/2015,-4.0,3.0,-11.0,0.0,1034.4,112,7
09/01/2015,-6.3,-1.0,-11.7,0.0,1026.4,81,5
08/01/2015,-7.7,-3.8,-11.5,0.0,1029.8,54,5
07/01/2015,-4.8,1.5,-11.2,0.0,1034.6,336,5
06/01/2015,-7.8,-2.6,-13.1,0.0,1033.5,21,4
05/01/2015,-10.6,-8.5,-12.7,,1030.6,54,7
04/01/2015,-6.4,-3.7,-9.1,,1032.7,115,4
03/01/2015,-6.9,-1.4,-12.4,0.0,1028.4,59,5
02/01/2015,-5.8,0.4,-11.9,0.0,1021.3,48,5
01/01/2015,-9.2,-4.1,-14.2,0.0,1028.9,16,7

28/02/2015,-5.7,-2.1,-9.2,0.0,1036.9,82,7
27/02/2015,-3.1,-0.6,-5.7,,1038.1,65,8
26/02/2015,-4.1,0.0,-8.2,0.2,1031.3,39,4
25/02/2015,-5.4,-1.7,-9.1,0.0,1024.7,52,8
24/02/2015,-2.1,1.6,-5.9,0.0,1030.6,87,5
23/02/2015,-4.2,2.2,-10.6,0.0,1030.5,71,5
22/02/2015,-6.0,-0.9,-11.2,0.0,1027.5,84,5
21/02/2015,-8.1,-6.3,-9.8,,1029.6,65,6
20/02/2015,-5.9,-3.3,-8.5,0.0,1033.4,58,5
19/02/2015,-2.4,0.1,-4.8,0.0,1029.0,52,5
18/02/2015,-1.4,1.3,-4.0,0.0,1025.9,34,7
17/02/2015,-3.9,1.1,-8.8,0.0,1024.7,150,5
16/02/2015,-5.2,-0.6,-9.7,0.0,1023.3,155,4
15/02/2015,-6.0,-1.3,-10.8,0.0,1026.4,86,5
14/02/2015,-2.9,2.5,-8.2,0.0,1031.0,176,8
13/02/2015,-1.6,3.9,-7.1,14.8,1024.1,35,9
12/02/2015,0.2,8.8,-8.3,0.0,1015.4,63,8
11/02/2015,-1.0,8.0,-10.0,0.0,1024.7,130,6
10/02/2015,-4.5,2.6,-11.6,0.0,1030.2,85,5
09/02/2015,-6.0,-2.4,-9.7,0.0,1030.2,68,5
08/02/2015,-8.1,-3.6,-12.6,0.0,1031.0,104,4
07/02/2015,-10.3,-5.7,-15.0,0.0,1031.6,69,3
06/02/2015,-6.4,-2.5,-10.3,0.0,1034.7,36,8
05/02/2015,-9.1,-5.5,-12.6,0.0,1037.0,121,4
04/02/2015,-12.3,-8.9,-15.8,0.0,1039.6,48,6
03/02/2015,-14.3,-11.4,-17.3,0.0,1044.3,60,5
02/02/2015,-11.7,-7.3,-16.0,0.0,1042.7,101,5
01/02/2015,-15.2,-11.5,-18.9,0.0,1033.5,120,4

28/03/2015,5.8,8.1,3.5,0.0,1018.5,34,6
27/03/2015,7.3,13.8,0.8,0.0,1021.1,38,6
26/03/2015,6.2,9.6,2.7,0.0,1032.9,25,7
25/03/2015,7.8,11.0,4.7,2.9,1028.9,283,5
24/03/2015,16.1,19.7,12.5,,1009.9,101,21
