????????,????,???ID,????,¶√??
JDZ,??????,58527,117.18366,29.27324
PVG,???,58362,121.48941,31.40527
TGO,???,54135,122.25615,43.62244
XMN,????,59134,118.03394,24.48405
URC,??????,51463,88.31104,43.36378
TYN,??,53772,112.48699,37.94036
SZX,????,59493,113.88308,22.55329
SYX,????,59948,109.7525,18.40005
TAO,??,54857,120.39629,36.30744
TNA,????,54823,116.75199,36.55358
SJW,????,53698,114.53952,38.03647
SHE,????,54342,123.46987,41.80515
SHA,???,58362,121.48941,31.40527
PEK,????,54511,116.23128,40.22077
NKG,???,58238,118.8921,31.32751
KWL,????,57957,110.30188,25.31402
KMG,????,56778,102.82147,24.88554
HRB,??????,50953,126.95717,45.54774
HET,???????,53463,111.62299,40.80772
HGH,????,58457,120.21201,30.2084
FOC,????,58847,119.27345,26.04769
CTU,???,57516,104.10194,30.65984
CKG,????,57516,106.54041,29.40268
HFE,???,58321,117.30794,31.79322
CGO,???,57083,113.6401,34.72468
TLQ,?????,51573,89.18596,42.94244
WUH,?»À,57494,114.02919,30.58203
