机场编码,城市,网站ID,经度,纬度
JDZ,景德镇,58527,117.18366,29.27324
PVG,上海,58362,121.48941,31.40527
TGO,通辽,54135,122.25615,43.62244
XMN,厦门,59134,118.03394,24.48405
URC,乌鲁木齐,51463,88.31104,43.36378
TYN,太原,53772,112.48699,37.94036
SZX,深圳,59493,113.88308,22.55329
SYX,三亚,59948,109.7525,18.40005
TAO,青岛,54857,120.39629,36.30744
TNA,济南,54823,116.75199,36.55358
SJW,石家庄,53698,114.53952,38.03647
SHE,沈阳,54342,123.46987,41.80515
SHA,上海,58362,121.48941,31.40527
PEK,北京,54511,116.23128,40.22077
NKG,南京,58238,118.8921,31.32751
KWL,桂林,57957,110.30188,25.31402
KMG,昆明,56778,102.82147,24.88554
HRB,哈尔滨,50953,126.95717,45.54774
HET,呼和浩特,53463,111.62299,40.80772
HGH,杭州,58457,120.21201,30.2084
FOC,福州,58847,119.27345,26.04769
CTU,成都,57516,104.10194,30.65984
CKG,重庆,57516,106.54041,29.40268
HFE,合肥,58321,117.30794,31.79322
CGO,郑州,57083,113.6401,34.72468
TLQ,吐鲁番,51573,89.18596,42.94244
WUH,武汉,57494,114.02919,30.58203
