Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-8.2,-3.9,-12.5,1.2,1032.5,19,8
27/01/2015,-10.1,-3.7,-16.5,0.0,1039.5,279,8
26/01/2015,-10.0,-5.6,-14.4,0.0,1042.3,350,24
25/01/2015,-4.8,-2.3,-7.3,,1028.9,348,14
24/01/2015,-2.1,1.7,-5.9,,1023.8,280,9
23/01/2015,-5.2,3.0,-13.4,0.0,1023.6,324,11
22/01/2015,-8.1,-1.6,-14.5,0.0,1026.5,341,11
21/01/2015,-8.3,-2.7,-13.9,0.0,1034.0,272,11
20/01/2015,-6.8,-0.9,-12.7,0.0,1031.6,338,19
19/01/2015,-8.4,-1.6,-15.3,0.0,1027.3,324,9
18/01/2015,-6.8,-3.3,-10.4,0.0,1030.1,302,15
17/01/2015,-9.4,-3.9,-14.9,1.0,1033.1,338,5
16/01/2015,-7.2,-3.3,-11.2,0.0,1039.2,346,11
15/01/2015,-8.1,-4.8,-11.4,0.5,1033.7,291,9
14/01/2015,-5.8,-2.8,-8.7,0.0,1034.2,353,14
13/01/2015,-2.8,1.6,-7.2,0.2,1028.1,303,14
12/01/2015,-3.0,4.0,-9.9,0.0,1031.3,326,10
11/01/2015,-4.7,2.6,-12.0,0.0,1035.6,323,12
10/01/2015,-7.6,-0.7,-14.5,0.0,1034.8,322,9
09/01/2015,-6.0,-1.5,-10.5,0.0,1036.1,292,10
08/01/2015,-8.2,-1.4,-14.9,0.0,1037.1,353,9
07/01/2015,-8.8,-3.3,-14.2,0.0,1036.4,312,9
06/01/2015,-10.4,-4.2,-16.7,0.0,1034.5,304,9
05/01/2015,-5.3,-0.7,-9.9,0.0,1033.4,0,17
04/01/2015,-2.2,5.2,-9.6,0.0,1019.5,355,13
03/01/2015,-6.8,-1.1,-12.4,0.0,1024.3,338,11
02/01/2015,-9.1,-2.7,-15.5,0.0,1030.5,315,9
01/01/2015,-13.4,-6.9,-20.0,0.0,1040.1,347,8

28/02/2015,-4.0,-0.5,-7.5,0.0,1030.1,315,18
27/02/2015,-7.8,-4.8,-10.8,1.9,1029.5,19,4
26/02/2015,-8.2,-1.5,-14.9,0.0,1030.7,263,10
25/02/2015,-7.7,-1.3,-14.0,0.0,1028.5,328,18
24/02/2015,-5.4,0.8,-11.6,0.7,1021.5,7,13
23/02/2015,-9.8,-2.2,-17.5,0.0,1023.6,291,11
22/02/2015,-14.1,-8.1,-20.0,0.0,1033.2,289,11
21/02/2015,-7.5,-2.5,-12.6,0.4,1029.7,300,23
20/02/2015,-0.5,0.7,-1.6,1.6,1019.0,143,5
19/02/2015,-1.6,0.8,-3.9,3.5,1023.1,17,4
18/02/2015,-0.7,7.5,-8.8,0.1,1027.9,346,9
17/02/2015,0.3,8.5,-7.8,0.0,1027.4,0,11
16/02/2015,-2.5,6.5,-11.6,0.0,1024.3,60,12
15/02/2015,1.1,5.2,-3.0,0.0,1022.4,262,14
14/02/2015,2.3,10.4,-5.8,0.0,1015.5,26,13
13/02/2015,-3.8,4.7,-12.3,0.0,1019.0,287,11
12/02/2015,-3.3,3.6,-10.2,0.0,1022.3,324,14
11/02/2015,-2.2,3.5,-8.0,0.0,1022.3,342,13
10/02/2015,-4.9,1.9,-11.7,0.0,1023.4,25,8
09/02/2015,-6.3,1.3,-13.9,0.0,1032.3,278,10
08/02/2015,-11.2,-3.1,-19.2,0.0,1037.8,339,10
07/02/2015,-7.9,-4.3,-11.5,0.0,1039.9,350,19
06/02/2015,-6.7,0.3,-13.7,0.0,1031.9,35,13
05/02/2015,-6.8,-1.1,-12.6,0.0,1037.4,284,10
04/02/2015,-9.3,-2.1,-16.6,0.0,1043.0,4,14
03/02/2015,-5.8,-1.8,-9.9,0.0,1041.4,312,15
02/02/2015,-4.5,-1.2,-7.9,0.0,1033.7,5,9
01/02/2015,-7.8,-2.1,-13.4,0.0,1034.0,335,8

28/03/2015,9.1,15.2,2.9,0.0,1018.6,307,16
27/03/2015,8.4,16.3,0.6,0.0,1019.9,280,22
26/03/2015,6.2,12.8,-0.3,0.0,1028.1,294,11
25/03/2015,6.3,13.9,-1.3,0.0,1029.1,283,12
24/03/2015,4.8,12.6,-2.9,0.0,1028.8,289,13
23/03/2015,3.2,11.2,-4.8,0.0,1032.3,271,12
22/03/2015,3.1,10.9,-4.6,0.0,1030.9,352,12
21/03/2015,3.6,12.6,-5.3,0.0,1025.6,325,12
20/03/2015,3.8,11.6,-4.0,0.0,1022.4,318,16
19/03/2015,5.5,12.8,-1.8,0.0,1021.7,291,14
18/03/2015,7.3,14.4,0.2,0.0,1016.5,296,15
17/03/2015,5.5,12.7,-1.7,0.0,1017.5,308,10
16/03/2015,7.2,16.2,-1.7,0.0,1016.2,327,15
15/03/2015,1.5,11.6,-8.6,0.0,1015.6,294,13
14/03/2015,2.6,7.2,-2.0,0.0,1021.0,307,14
13/03/2015,1.4,7.1,-4.3,0.0,1024.1,307,9
12/03/2015,2.4,9.8,-5.0,0.0,1019.8,333,18
11/03/2015,-2.7,6.7,-12.1,0.0,1024.7,306,10
10/03/2015,-5.5,2.5,-13.6,0.0,1033.1,296,10
09/03/2015,-6.8,-0.7,-13.0,0.0,1040.7,329,15
08/03/2015,-2.6,1.9,-7.2,0.0,1033.8,350,22
07/03/2015,1.2,9.3,-6.8,0.0,1018.8,303,17
06/03/2015,-1.9,6.3,-10.2,0.0,1019.8,294,14
05/03/2015,-4.5,3.5,-12.5,0.0,1024.8,300,14
04/03/2015,-8.7,-0.9,-16.4,0.0,1031.1,284,14
03/03/2015,-9.2,-3.4,-15.1,0.0,1033.1,324,16
02/03/2015,-5.0,1.2,-11.1,0.0,1024.3,340,17
01/03/2015,-7.0,1.4,-15.3,0.0,1024.7,319,9

28/04/2015,16.8,24.6,9.0,0.0,1012.0,333,15
27/04/2015,16.4,23.3,9.4,0.0,1008.5,320,14
26/04/2015,15.3,23.9,6.7,0.0,1010.0,359,10
25/04/2015,15.1,24.5,5.7,0.0,1016.1,246,11
24/04/2015,12.9,22.5,3.3,0.0,1020.9,305,14
23/04/2015,13.9,20.2,7.6,0.0,1021.3,347,17
22/04/2015,12.2,22.4,1.9,0.0,1016.4,303,12
21/04/2015,9.8,18.1,1.5,0.0,1017.8,343,21
20/04/2015,10.1,17.9,2.2,0.0,1014.9,273,12
19/04/2015,8.6,15.5,1.7,0.0,1018.3,30,10
18/04/2015,11.8,15.4,8.1,2.1,1015.6,358,17
17/04/2015,10.8,20.4,1.1,0.0,1009.4,300,9
16/04/2015,5.8,13.7,-2.1,0.0,1014.7,335,12
15/04/2015,11.2,17.0,5.5,0.0,1012.2,333,23
14/04/2015,8.2,17.6,-1.1,0.0,1010.1,264,11
13/04/2015,4.5,10.7,-1.7,0.0,1025.9,267,14
12/04/2015,-0.2,5.1,-5.5,0.0,1036.4,357,23
11/04/2015,5.0,10.5,-0.6,,1027.9,349,23
10/04/2015,6.8,15.1,-1.6,0.0,1020.5,311,12
09/04/2015,5.9,13.3,-1.5,0.0,1021.8,304,14
08/04/2015,3.1,9.9,-3.7,0.0,1022.7,255,12
07/04/2015,-0.1,5.8,-6.0,0.0,1030.8,261,10
06/04/2015,-0.4,4.0,-4.8,0.0,1034.2,334,18
05/04/2015,0.8,3.8,-2.1,0.0,1029.6,345,18
04/04/2015,7.3,11.6,3.0,0.0,1016.0,320,13
03/04/2015,6.0,11.6,0.3,2.8,1008.0,211,9
02/04/2015,2.7,4.9,0.5,0.0,1008.3,346,14
01/04/2015,6.6,9.7,3.5,21.1,1009.1,105,10

28/05/2015,23.6,26.7,20.4,0.0,1004.3,353,11
27/05/2015,24.1,31.4,16.9,0.0,998.9,276,14
26/05/2015,22.3,30.5,14.1,0.0,1002.7,255,12
25/05/2015,21.9,31.4,12.5,0.0,1004.7,263,12
24/05/2015,19.1,26.5,11.7,0.0,1005.9,327,17
23/05/2015,19.1,27.7,10.6,0.0,1006.9,284,12
22/05/2015,17.6,26.9,8.2,0.0,1009.6,224,10
21/05/2015,17.1,24.0,10.2,0.0,1012.8,250,12
20/05/2015,13.5,21.3,5.7,0.0,1017.5,243,10
19/05/2015,13.1,18.7,7.4,0.0,1017.4,345,21
18/05/2015,15.8,22.5,9.1,0.0,1008.2,356,20
17/05/2015,18.4,25.9,10.8,,1000.7,343,18
16/05/2015,14.7,24.9,4.5,0.0,1005.9,239,12
15/05/2015,13.3,20.0,6.6,0.0,1017.6,324,18
14/05/2015,14.4,21.9,6.9,0.0,1012.4,330,18
13/05/2015,15.8,23.5,8.0,0.0,1003.6,353,17
12/05/2015,15.2,24.9,5.4,0.0,999.2,295,15
11/05/2015,7.5,14.4,0.6,,1010.3,359,18
10/05/2015,9.2,12.8,5.7,0.4,1014.3,19,14
09/05/2015,14.2,21.8,6.6,3.8,1004.5,130,12
08/05/2015,12.4,19.6,5.2,0.0,1009.6,340,14
07/05/2015,13.8,19.4,8.1,0.0,1010.3,320,19
06/05/2015,9.1,15.7,2.4,0.0,1010.1,340,9
05/05/2015,13.0,17.0,9.0,0.0,1010.5,328,20
04/05/2015,9.7,20.2,-0.8,0.0,1012.4,252,18
03/05/2015,9.0,14.1,3.9,0.0,1022.3,323,17
02/05/2015,14.4,22.2,6.7,0.0,1013.1,313,23
01/05/2015,13.0,16.8,9.2,1.9,1011.9,251,10

28/06/2015,23.5,27.3,19.7,,1003.5,208,10
27/06/2015,24.4,31.6,17.3,0.0,1001.5,276,10
26/06/2015,21.5,29.7,13.3,0.0,998.6,268,12
25/06/2015,21.1,26.4,15.8,9.2,1000.8,332,12
24/06/2015,18.4,20.8,16.0,1.6,1004.7,312,7
23/06/2015,21.2,27.0,15.5,8.3,1004.8,177,12
22/06/2015,18.8,24.4,13.2,0.0,1005.5,220,9
21/06/2015,18.6,22.4,14.8,0.0,1007.4,315,9
20/06/2015,19.6,26.5,12.7,0.0,1010.4,82,10
19/06/2015,18.4,23.8,13.1,0.0,1012.6,349,17
18/06/2015,21.1,27.8,14.4,0.0,1008.2,7,14
17/06/2015,21.6,27.2,15.9,0.0,1007.9,2,20
16/06/2015,19.6,24.2,14.9,0.0,1004.6,183,11
15/06/2015,21.8,28.1,15.5,0.7,1005.1,81,9
14/06/2015,19.3,26.2,12.4,0.0,1007.9,302,13
13/06/2015,18.2,22.9,13.5,0.0,1010.3,348,17
12/06/2015,14.2,19.2,9.3,1.3,1007.5,340,20
11/06/2015,17.2,23.7,10.7,1.5,1004.1,333,19
10/06/2015,15.7,19.1,12.2,2.3,1002.6,313,22
09/06/2015,22.9,27.8,18.1,,997.9,334,14
08/06/2015,16.6,27.6,5.7,0.0,1001.3,356,12
07/06/2015,13.1,17.8,8.4,0.7,1010.5,275,12
06/06/2015,16.6,21.8,11.4,0.0,1007.6,340,15
05/06/2015,16.9,25.9,7.8,0.0,1001.4,344,16
04/06/2015,13.2,16.6,9.8,4.2,1005.6,322,15
03/06/2015,17.9,23.2,12.7,4.9,1013.1,202,11
02/06/2015,19.8,25.7,13.9,0.0,1013.2,339,14
01/06/2015,21.6,28.0,15.3,0.0,1005.3,331,20

28/07/2015,22.8,28.4,17.2,0.4,1001.6,259,8
27/07/2015,26.1,33.9,18.4,21.8,1001.8,277,12
26/07/2015,24.1,31.1,17.0,0.0,1004.0,314,10
25/07/2015,24.2,30.1,18.4,4.4,1002.6,322,9
24/07/2015,23.4,30.0,16.7,0.0,1002.0,342,13
23/07/2015,21.6,27.6,15.7,0.2,1005.5,340,17
22/07/2015,22.9,28.3,17.6,0.0,1005.6,343,16
21/07/2015,21.8,27.0,16.5,3.2,1005.8,282,14
20/07/2015,22.4,29.1,15.6,0.0,1005.1,189,9
19/07/2015,20.0,26.5,13.5,0.0,1006.0,301,12
18/07/2015,18.2,22.4,14.1,0.0,1005.9,88,9
17/07/2015,18.9,24.0,13.9,0.0,1005.2,222,7
16/07/2015,18.9,24.3,13.5,10.3,1005.9,334,9
15/07/2015,20.8,25.7,15.9,13.9,1007.0,335,9
14/07/2015,25.1,30.3,19.8,0.6,1002.8,183,12
13/07/2015,26.8,31.1,22.5,0.0,999.8,274,18
12/07/2015,25.2,32.4,18.0,0.0,1000.2,250,12
11/07/2015,23.6,31.1,16.1,0.0,1004.9,296,10
10/07/2015,21.8,27.2,16.4,0.0,1009.0,240,12
09/07/2015,23.4,27.7,19.2,3.3,1010.1,242,13
08/07/2015,24.7,31.9,17.5,0.0,1007.2,237,8
07/07/2015,23.4,30.4,16.5,0.0,1006.7,277,12
06/07/2015,21.6,27.9,15.4,0.0,1006.8,277,10
05/07/2015,22.6,29.0,16.3,3.2,1005.1,209,10
04/07/2015,23.6,30.7,16.4,0.0,1003.4,270,9
03/07/2015,21.6,28.7,14.4,0.0,1005.7,272,9
02/07/2015,21.4,27.4,15.4,0.0,1006.2,342,15
01/07/2015,21.5,28.4,14.6,0.0,1002.1,342,18

28/08/2015,21.1,27.6,14.6,3.2,1009.3,318,12
27/08/2015,22.6,28.7,16.6,0.0,1009.8,357,15
26/08/2015,19.9,27.6,12.2,0.0,1010.6,338,10
25/08/2015,19.9,26.2,13.6,2.3,1012.2,323,11
24/08/2015,20.7,27.2,14.2,8.8,1011.2,322,11
23/08/2015,20.6,27.0,14.2,0.3,1008.4,316,10
22/08/2015,20.4,26.1,14.7,0.0,1008.3,23,9
21/08/2015,21.1,27.1,15.0,0.0,1008.9,317,11
20/08/2015,21.4,27.5,15.2,0.0,1010.8,342,18
19/08/2015,19.9,24.6,15.1,0.0,1011.2,341,13
18/08/2015,21.4,29.8,12.9,0.0,1008.5,267,11
17/08/2015,20.7,25.7,15.7,0.0,1008.6,298,14
16/08/2015,23.4,31.8,15.0,0.1,1005.6,280,15
15/08/2015,22.2,29.5,15.0,0.0,1006.7,267,13
14/08/2015,20.9,29.4,12.4,0.0,1008.1,308,14
13/08/2015,22.0,27.9,16.1,1.5,1007.6,344,12
12/08/2015,24.2,32.1,16.3,0.0,1006.9,280,8
11/08/2015,23.6,30.8,16.3,0.0,1008.6,326,11
10/08/2015,25.4,32.4,18.3,0.0,1008.8,249,10
09/08/2015,23.6,31.2,16.0,0.0,1010.7,302,14
08/08/2015,23.3,29.5,17.1,0.0,1012.1,294,12
07/08/2015,23.6,29.7,17.4,0.0,1010.6,302,9
06/08/2015,22.9,28.9,16.9,0.0,1007.2,359,13
05/08/2015,21.9,29.3,14.4,0.0,1003.3,254,14
04/08/2015,20.4,27.6,13.1,0.0,1003.5,295,13
03/08/2015,21.8,24.0,19.6,0.0,1004.7,245,14
02/08/2015,23.3,29.3,17.3,0.0,1003.5,351,14
01/08/2015,25.1,31.0,19.1,3.5,1003.0,257,10

28/09/2015,15.5,18.4,12.6,14.9,1022.6,93,9
27/09/2015,15.3,22.0,8.7,0.0,1016.5,145,5
26/09/2015,12.7,20.8,4.5,0.0,1015.3,1,12
25/09/2015,12.1,18.9,5.3,0.0,1015.2,267,14
24/09/2015,15.1,20.4,9.7,2.7,1011.8,298,13
23/09/2015,12.7,18.9,6.5,0.0,1011.5,273,8
22/09/2015,15.9,19.9,11.9,,1010.7,270,11
21/09/2015,18.4,24.5,12.3,5.3,1007.1,203,13
20/09/2015,16.6,23.9,9.2,0.0,1011.5,300,9
19/09/2015,16.5,23.7,9.3,0.0,1015.5,307,11
18/09/2015,15.8,23.2,8.4,0.0,1020.2,329,11
17/09/2015,15.6,18.1,13.1,2.2,1020.1,350,7
16/09/2015,15.8,21.7,10.0,0.0,1017.4,295,12
15/09/2015,16.7,23.4,10.0,0.0,1017.0,278,10
14/09/2015,15.2,23.0,7.3,0.0,1016.9,285,10
13/09/2015,13.6,21.1,6.0,0.0,1019.1,292,12
12/09/2015,11.9,18.7,5.1,0.0,1023.4,255,12
11/09/2015,12.7,16.6,8.7,1.9,1023.3,333,15
10/09/2015,13.9,15.5,12.4,0.7,1019.0,31,9
09/09/2015,16.6,21.1,12.1,,1020.9,8,9
08/09/2015,15.6,18.1,13.0,7.1,1018.5,346,18
07/09/2015,17.6,23.2,11.9,0.0,1013.1,260,10
06/09/2015,18.6,22.6,14.7,0.2,1013.2,333,9
05/09/2015,15.9,17.8,14.0,15.5,1009.8,326,13
04/09/2015,17.4,19.9,14.9,19.9,1008.5,109,6
03/09/2015,20.6,27.9,13.4,6.0,1011.1,202,10
02/09/2015,19.4,27.7,11.0,0.0,1015.2,108,12
01/09/2015,19.2,23.5,15.0,,1015.2,345,11

28/10/2015,2.5,8.5,-3.4,0.0,1028.7,5,14
27/10/2015,4.0,9.5,-1.5,0.0,1022.8,325,14
26/10/2015,5.0,7.3,2.7,0.0,1024.0,316,20
25/10/2015,8.4,13.1,3.7,3.0,1021.3,242,11
24/10/2015,10.2,17.6,2.8,0.0,1024.4,282,9
23/10/2015,8.1,11.9,4.2,0.0,1022.7,283,10
22/10/2015,8.8,10.9,6.6,0.0,1022.1,236,6
21/10/2015,8.6,10.2,6.9,6.4,1022.1,8,14
20/10/2015,14.4,21.5,7.3,0.0,1013.4,335,26
19/10/2015,11.6,19.3,3.9,0.0,1015.2,292,10
18/10/2015,9.2,17.0,1.3,0.0,1020.7,327,10
17/10/2015,15.3,20.3,10.3,0.0,1023.0,331,20
16/10/2015,12.6,20.6,4.5,0.0,1018.2,332,12
15/10/2015,10.2,17.4,2.9,0.0,1022.0,322,12
14/10/2015,11.1,17.6,4.6,0.0,1021.5,300,10
13/10/2015,10.6,17.8,3.3,0.0,1022.6,323,9
12/10/2015,8.9,16.7,1.2,0.0,1026.7,275,12
11/10/2015,9.7,16.1,3.3,0.0,1027.6,321,17
10/10/2015,3.6,7.8,-0.5,0.0,1027.9,350,18
09/10/2015,7.3,12.6,2.1,0.0,1019.1,359,13
08/10/2015,6.2,13.2,-0.7,0.0,1023.5,316,15
07/10/2015,11.6,15.9,7.2,0.0,1024.6,340,22
06/10/2015,14.3,21.4,7.2,0.0,1016.8,296,10
05/10/2015,13.3,21.4,5.3,0.0,1020.3,288,12
04/10/2015,12.0,19.3,4.7,0.0,1023.4,291,13
03/10/2015,11.2,18.6,3.7,0.0,1023.4,277,13
02/10/2015,9.0,17.0,1.0,0.0,1019.9,344,9
01/10/2015,8.9,15.1,2.8,0.0,1021.5,301,9

28/11/2015,-4.8,-1.6,-8.1,0.0,1029.3,7,6
27/11/2015,-8.5,-2.7,-14.3,4.3,1028.2,285,3
26/11/2015,-13.7,-6.8,-20.5,0.5,1035.4,354,7
25/11/2015,-13.4,-8.6,-18.2,0.0,1042.3,339,17
24/11/2015,-9.6,-6.5,-12.7,1.1,1037.0,256,10
23/11/2015,-9.6,-6.5,-12.6,0.9,1041.8,349,13
22/11/2015,-0.5,0.8,-1.7,1.5,1031.0,13,19
21/11/2015,2.6,6.9,-1.7,9.0,1027.6,350,9
20/11/2015,1.3,5.0,-2.4,0.0,1024.8,293,12
19/11/2015,1.9,4.8,-1.1,0.0,1023.3,12,11
18/11/2015,3.6,5.1,2.1,0.1,1021.8,337,16
17/11/2015,2.9,6.0,-0.2,0.0,1023.2,180,8
16/11/2015,3.7,7.5,-0.1,0.0,1020.6,1,16
15/11/2015,5.7,10.0,1.4,0.0,1019.1,344,11
14/11/2015,5.2,6.8,3.7,0.0,1018.2,165,8
13/11/2015,4.8,5.7,3.8,0.0,1018.0,169,11
12/11/2015,4.5,6.1,2.8,0.0,1024.9,150,6
11/11/2015,1.5,4.3,-1.3,1.2,1029.7,267,5
10/11/2015,2.1,5.0,-0.8,0.0,1028.5,320,7
09/11/2015,2.4,4.9,-0.1,0.0,1029.1,328,6
08/11/2015,1.1,2.2,0.1,0.0,1028.7,134,4
07/11/2015,2.5,3.9,1.2,1.6,1026.5,173,5
06/11/2015,1.9,3.6,0.3,4.8,1026.2,316,6
05/11/2015,3.0,5.2,0.8,21.7,1027.6,332,5
04/11/2015,7.1,11.8,2.4,0.0,1025.1,347,24
03/11/2015,5.2,10.7,-0.2,0.0,1021.3,240,12
