Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,2.1,3.2,1.1,9.4,1028.1,23,9
27/01/2015,5.8,7.6,4.1,1.2,1029.2,22,14
26/01/2015,9.7,10.9,8.4,1.6,1024.6,33,9
25/01/2015,12.6,15.2,9.9,0.0,1022.4,21,7
24/01/2015,11.8,19.3,4.4,0.1,1020.6,190,8
23/01/2015,6.7,12.6,0.8,0.0,1022.1,149,6
22/01/2015,7.2,10.9,3.4,0.0,1026.0,339,5
21/01/2015,11.6,17.2,6.0,0.0,1023.5,326,11
20/01/2015,9.2,13.8,4.5,3.7,1023.0,176,8
19/01/2015,8.2,13.9,2.5,0.0,1028.0,100,7
18/01/2015,7.2,12.8,1.7,0.0,1027.9,237,7
17/01/2015,5.2,7.1,3.2,0.0,1032.3,72,7
16/01/2015,8.0,11.6,4.3,0.0,1029.1,327,8
15/01/2015,7.8,9.2,6.3,0.0,1027.9,299,7
14/01/2015,7.5,9.1,6.0,0.1,1027.7,321,9
13/01/2015,6.3,6.8,5.9,33.9,1027.8,348,8
12/01/2015,7.1,8.4,5.8,,1033.4,71,9
11/01/2015,9.3,16.1,2.6,0.0,1030.5,81,8
10/01/2015,9.7,13.7,5.6,0.0,1028.2,190,7
09/01/2015,6.5,12.6,0.4,0.0,1029.8,157,5
08/01/2015,4.7,9.8,-0.4,0.0,1032.3,222,5
07/01/2015,5.4,7.7,3.1,0.0,1030.9,304,6
06/01/2015,8.4,13.1,3.7,5.4,1025.0,4,13
05/01/2015,10.0,14.4,5.6,,1015.1,267,10
04/01/2015,11.4,19.1,3.8,0.0,1016.7,138,7
03/01/2015,8.9,14.9,3.0,0.0,1020.8,173,6
02/01/2015,4.4,10.7,-1.9,0.0,1029.9,198,6
01/01/2015,3.5,7.1,-0.2,0.0,1033.7,309,9

28/02/2015,5.2,6.0,4.5,30.2,1024.8,359,12
27/02/2015,6.0,7.2,4.8,42.0,1025.5,85,12
26/02/2015,9.8,11.4,8.1,20.9,1023.2,68,10
25/02/2015,8.7,9.2,8.2,22.0,1017.5,352,8
24/02/2015,8.2,9.8,6.6,4.4,1018.1,49,5
23/02/2015,6.9,8.1,5.7,1.0,1020.7,68,7
22/02/2015,9.4,10.6,8.2,9.5,1022.5,31,9
21/02/2015,9.6,10.4,8.7,0.4,1019.0,39,6
20/02/2015,8.6,10.7,6.5,13.2,1016.3,205,6
19/02/2015,8.0,12.2,3.7,0.8,1025.5,94,7
18/02/2015,9.3,14.3,4.4,,1027.7,48,9
17/02/2015,11.8,14.0,9.6,0.0,1023.0,70,8
16/02/2015,15.3,18.0,12.6,0.0,1019.5,347,8
15/02/2015,17.5,21.7,13.3,0.1,1015.6,7,8
14/02/2015,13.5,22.4,4.6,0.2,1017.3,182,8
13/02/2015,9.8,14.7,4.8,0.0,1020.8,42,6
12/02/2015,12.0,18.0,6.0,0.0,1019.3,42,7
11/02/2015,9.6,16.4,2.7,0.0,1017.1,202,8
10/02/2015,5.2,12.6,-2.2,0.0,1021.7,175,6
09/02/2015,2.5,6.5,-1.4,0.0,1032.1,130,8
08/02/2015,5.5,7.7,3.3,0.0,1034.3,24,16
07/02/2015,6.4,13.6,-0.8,0.0,1026.2,10,9
06/02/2015,4.5,10.3,-1.3,0.0,1027.2,179,5
05/02/2015,4.8,7.9,1.7,0.0,1032.2,313,9
04/02/2015,6.8,9.2,4.4,0.0,1030.4,320,9
03/02/2015,5.0,5.6,4.3,0.1,1031.1,338,8
02/02/2015,3.5,5.1,1.8,0.8,1031.8,306,5
01/02/2015,2.5,3.1,2.0,1.5,1033.8,311,5

28/03/2015,16.1,22.1,10.1,0.0,1018.1,180,7
27/03/2015,12.2,13.4,11.1,0.1,1025.0,275,6
26/03/2015,12.3,17.5,7.1,18.2,1028.8,86,5
25/03/2015,12.7,16.7,8.6,0.0,1032.2,83,8
24/03/2015,11.3,15.4,7.3,0.0,1033.1,84,12
23/03/2015,12.8,15.6,10.1,0.0,1028.9,68,9
22/03/2015,15.5,21.0,10.0,0.0,1024.2,99,9
21/03/2015,14.7,18.2,11.1,0.0,1021.9,243,6
20/03/2015,12.9,14.4,11.4,11.6,1020.8,359,7
19/03/2015,13.8,15.5,12.0,1.5,1017.6,36,7
18/03/2015,16.6,19.0,14.1,14.1,1010.7,2,11
17/03/2015,19.2,25.8,12.7,44.8,1008.1,167,7
16/03/2015,14.5,18.3,10.7,0.0,1016.4,127,5
15/03/2015,11.3,12.2,10.4,7.6,1019.5,40,5
14/03/2015,12.1,13.4,10.8,5.0,1020.8,25,8
13/03/2015,15.2,22.2,8.2,0.0,1019.9,37,7
12/03/2015,11.6,18.9,4.2,0.0,1020.3,170,8
11/03/2015,7.3,12.3,2.4,0.0,1026.1,67,5
10/03/2015,6.7,9.6,3.7,0.0,1031.5,62,9
09/03/2015,10.5,13.6,7.4,,1030.4,2,14
08/03/2015,7.7,9.4,5.9,14.4,1020.1,280,6
07/03/2015,8.0,10.8,5.2,0.7,1023.2,112,6
06/03/2015,4.3,5.8,2.9,0.0,1024.1,348,5
05/03/2015,3.1,4.3,1.9,9.9,1025.8,25,7
04/03/2015,5.6,6.1,5.1,1.5,1027.5,76,8
03/03/2015,12.0,15.7,8.3,0.0,1019.9,338,13
02/03/2015,9.3,16.0,2.6,2.7,1016.2,122,6
01/03/2015,7.3,10.8,3.8,0.0,1026.5,263,9

28/04/2015,26.1,32.1,20.0,0.5,1008.0,216,14
27/04/2015,22.3,28.9,15.7,0.0,1010.4,190,10
26/04/2015,20.6,26.8,14.4,0.0,1016.9,177,8
25/04/2015,21.0,27.5,14.5,0.0,1019.6,96,7
24/04/2015,19.9,23.7,16.1,0.0,1020.1,163,5
23/04/2015,19.6,25.7,13.4,0.0,1020.3,190,7
22/04/2015,17.2,25.4,9.1,0.0,1021.7,148,6
