Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,7.2,8.5,6.0,2.1,1020.3,20,9
27/01/2015,12.1,13.6,10.6,1.4,1019.5,15,10
26/01/2015,16.4,19.7,13.1,0.4,1018.9,15,8
25/01/2015,17.2,20.5,13.9,0.0,1018.8,17,6
24/01/2015,16.9,17.8,15.9,,1016.5,18,5
23/01/2015,15.0,20.9,9.1,0.0,1016.5,186,5
22/01/2015,14.3,20.7,7.9,0.0,1020.7,116,2
21/01/2015,14.6,21.6,7.5,0.0,1023.6,0,5
20/01/2015,13.0,15.6,10.4,0.0,1022.5,85,2
19/01/2015,13.7,19.8,7.5,0.0,1023.2,348,5
18/01/2015,12.7,14.8,10.5,0.0,1027.7,6,9
17/01/2015,13.1,16.8,9.3,,1026.7,30,9
16/01/2015,11.8,16.7,7.0,0.0,1026.6,11,9
15/01/2015,10.0,16.0,4.0,0.0,1025.0,19,4
14/01/2015,10.7,14.1,7.2,0.0,1026.7,16,8
13/01/2015,11.5,14.1,8.9,0.0,1025.9,9,8
12/01/2015,8.9,10.0,7.9,0.6,1026.3,13,9
11/01/2015,8.4,9.3,7.5,18.3,1026.6,9,8
10/01/2015,8.2,9.8,6.7,6.5,1027.7,14,6
09/01/2015,9.9,11.8,8.0,20.7,1029.1,19,9
08/01/2015,9.9,12.1,7.7,0.0,1029.6,19,10
07/01/2015,8.4,9.6,7.3,,1028.1,17,12
06/01/2015,12.9,15.8,10.0,1.1,1021.5,18,15
05/01/2015,14.2,16.0,12.4,8.4,1013.4,331,5
04/01/2015,12.1,14.7,9.4,0.4,1014.0,359,4
03/01/2015,13.2,19.9,6.4,0.0,1019.8,204,4
02/01/2015,12.9,18.2,7.6,0.0,1025.3,28,5
01/01/2015,13.7,16.9,10.5,0.0,1028.4,22,10

28/02/2015,10.6,13.3,7.8,,1023.8,17,16
27/02/2015,13.6,15.4,11.8,0.9,1013.3,7,8
26/02/2015,12.3,12.9,11.8,3.7,1014.1,22,8
25/02/2015,14.6,16.0,13.2,9.9,1012.8,15,10
24/02/2015,13.2,15.1,11.2,0.0,1012.9,19,6
23/02/2015,12.8,14.5,11.1,,1015.8,22,7
22/02/2015,13.8,15.7,12.0,,1017.6,12,9
21/02/2015,14.4,16.2,12.6,0.7,1016.9,12,8
20/02/2015,20.9,22.4,19.4,24.1,1012.6,191,9
19/02/2015,18.7,21.2,16.2,1.6,1015.1,176,6
18/02/2015,17.0,18.8,15.2,7.0,1017.3,81,4
17/02/2015,18.3,22.9,13.7,35.0,1016.3,3,3
16/02/2015,19.1,24.6,13.6,11.8,1017.3,17,6
