Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-2.2,1.1,-5.6,,1032.9,157,7
27/01/2015,-2.5,1.3,-6.4,0.0,1036.5,17,9
26/01/2015,0.2,5.2,-4.7,0.0,1033.2,2,15
25/01/2015,0.5,3.4,-2.5,0.0,1024.5,223,6
24/01/2015,0.6,3.9,-2.8,,1027.5,152,6
23/01/2015,0.4,6.8,-6.0,0.0,1020.4,51,5
22/01/2015,-0.6,5.8,-7.0,0.0,1022.6,160,6
21/01/2015,1.8,5.7,-2.2,0.0,1028.5,17,8
20/01/2015,-0.5,4.2,-5.1,0.0,1023.4,25,9
19/01/2015,0.9,6.7,-4.8,0.0,1025.3,119,6
18/01/2015,2.8,7.0,-1.5,0.0,1021.4,300,10
17/01/2015,-1.9,3.0,-6.8,0.0,1028.7,227,6
16/01/2015,-1.1,2.7,-4.9,0.0,1032.4,360,13
15/01/2015,-2.5,0.2,-5.3,0.0,1027.1,229,7
14/01/2015,-1.9,1.0,-4.8,,1030.3,75,5
13/01/2015,-0.6,3.1,-4.3,0.0,1031.7,46,5
12/01/2015,-0.7,4.2,-5.5,0.0,1036.1,140,5
11/01/2015,2.1,6.5,-2.2,0.0,1035.6,196,5
10/01/2015,3.0,11.1,-5.2,0.0,1024.0,168,8
09/01/2015,1.3,7.5,-4.9,0.0,1027.9,311,7
08/01/2015,-1.2,4.1,-6.6,0.0,1029.2,64,6
07/01/2015,-1.8,3.3,-6.8,0.0,1031.4,155,5
06/01/2015,0.5,3.9,-2.9,0.0,1027.5,236,5
05/01/2015,6.0,11.0,0.9,0.0,1023.7,8,16
04/01/2015,0.8,8.6,-7.0,0.0,1016.9,46,5
03/01/2015,-1.8,3.6,-7.1,0.0,1015.9,64,5
02/01/2015,-0.8,4.8,-6.5,0.0,1027.5,194,7
01/01/2015,-2.6,2.5,-7.7,0.0,1029.7,243,6

28/02/2015,1.1,4.8,-2.5,1.1,1025.2,228,9
27/02/2015,0.0,2.4,-2.4,0.8,1032.6,167,9
26/02/2015,1.9,6.2,-2.5,0.0,1028.4,7,12
25/02/2015,3.0,6.9,-1.0,0.0,1021.9,5,15
24/02/2015,1.2,6.7,-4.2,0.0,1015.4,72,6
23/02/2015,-0.1,5.9,-6.1,0.0,1019.4,135,8
22/02/2015,0.0,4.2,-4.2,0.0,1023.2,311,10
21/02/2015,2.2,4.5,0.0,0.0,1019.8,292,17
20/02/2015,0.3,0.9,-0.2,5.0,1020.1,189,4
19/02/2015,1.2,5.5,-3.0,4.3,1027.1,174,7
18/02/2015,4.3,10.9,-2.2,0.0,1031.1,123,9
17/02/2015,6.2,10.5,1.9,0.0,1026.4,26,8
16/02/2015,4.5,12.0,-3.0,0.0,1019.2,15,10
15/02/2015,2.6,6.7,-1.5,0.0,1019.4,205,5
14/02/2015,4.3,10.7,-2.1,0.0,1014.0,44,6
13/02/2015,2.0,9.6,-5.6,0.0,1015.6,71,5
12/02/2015,1.9,7.9,-4.0,0.0,1020.2,154,6
11/02/2015,4.0,10.2,-2.1,0.0,1017.9,40,8
10/02/2015,3.4,13.3,-6.6,0.0,1015.6,321,6
09/02/2015,-1.6,6.1,-9.2,0.0,1024.8,193,7
08/02/2015,-3.7,1.8,-9.2,0.0,1034.8,217,9
07/02/2015,2.1,5.3,-1.1,0.0,1034.1,15,15
06/02/2015,2.4,9.8,-5.0,0.0,1022.8,252,8
05/02/2015,3.0,7.4,-1.4,0.0,1029.4,274,7
04/02/2015,2.6,6.9,-1.6,0.0,1032.6,354,16
03/02/2015,2.0,8.6,-4.6,0.0,1032.0,316,11
02/02/2015,-1.2,4.2,-6.7,,1033.0,206,6
01/02/2015,-2.8,2.9,-8.4,0.0,1034.5,220,5

28/03/2015,16.9,23.8,9.9,0.0,1014.2,333,11
27/03/2015,14.0,20.4,7.6,0.0,1016.9,205,11
26/03/2015,13.8,20.9,6.7,0.0,1027.0,216,12
25/03/2015,11.2,18.8,3.6,0.0,1030.3,184,9
24/03/2015,9.8,16.7,3.0,0.0,1031.2,110,9
23/03/2015,9.0,18.8,-0.8,0.0,1029.4,220,9
22/03/2015,10.2,14.2,6.3,0.0,1029.2,224,11
21/03/2015,14.6,19.2,10.0,0.0,1020.5,327,14
20/03/2015,13.7,20.1,7.3,0.0,1016.7,258,7
19/03/2015,11.1,19.6,2.6,0.0,1017.5,315,6
18/03/2015,9.6,13.5,5.6,0.0,1015.5,202,7
17/03/2015,11.3,15.9,6.8,0.0,1020.1,163,9
16/03/2015,10.6,14.6,6.6,0.0,1013.1,67,6
15/03/2015,8.7,17.2,0.2,0.0,1015.2,189,9
14/03/2015,6.2,11.9,0.5,0.0,1018.9,64,6
