Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,3.3,5.5,1.1,5.5,1028.8,47,11
27/01/2015,4.6,6.8,2.4,0.8,1029.8,11,14
26/01/2015,7.8,8.5,7.2,0.3,1025.3,40,8
25/01/2015,11.7,14.2,9.1,1.2,1022.2,301,9
24/01/2015,9.7,16.3,3.0,0.0,1021.6,137,9
23/01/2015,5.2,10.9,-0.6,0.0,1023.0,145,6
22/01/2015,5.6,7.4,3.8,0.0,1026.2,277,9
21/01/2015,10.7,14.7,6.6,0.0,1022.7,270,14
20/01/2015,8.3,11.8,4.8,0.0,1023.7,152,9
19/01/2015,5.8,11.0,0.5,0.0,1028.7,56,7
18/01/2015,5.1,10.1,0.1,0.0,1027.3,246,10
17/01/2015,4.3,5.8,2.9,0.0,1033.1,27,7
16/01/2015,5.3,8.0,2.7,0.0,1029.1,289,10
15/01/2015,7.4,8.1,6.7,0.0,1027.7,275,8
14/01/2015,7.9,8.6,7.2,6.0,1026.6,315,9
13/01/2015,7.4,9.1,5.7,39.8,1028.6,56,13
12/01/2015,6.5,8.6,4.5,0.0,1034.6,58,11
11/01/2015,7.5,14.7,0.2,0.0,1031.3,26,8
10/01/2015,7.3,14.1,0.6,0.0,1027.8,270,3
09/01/2015,5.2,11.5,-1.2,0.0,1029.6,258,4
08/01/2015,4.2,8.0,0.3,0.0,1032.2,294,7
07/01/2015,5.0,6.9,3.1,0.0,1030.4,313,11
06/01/2015,7.0,10.2,3.7,1.0,1025.3,0,14
05/01/2015,14.2,19.7,8.7,0.0,1014.8,262,12
04/01/2015,8.6,16.6,0.5,0.0,1017.6,114,6
03/01/2015,6.3,12.4,0.2,0.0,1021.2,163,5
02/01/2015,1.9,8.7,-4.8,0.0,1030.3,276,5
01/01/2015,1.8,4.6,-1.0,0.0,1033.4,287,9

28/02/2015,4.3,5.2,3.4,12.9,1024.9,350,11
27/02/2015,5.5,7.5,3.6,17.5,1027.4,65,14
26/02/2015,8.2,9.1,7.2,,1024.4,55,11
25/02/2015,8.8,10.1,7.6,26.5,1018.2,64,7
24/02/2015,8.1,10.0,6.2,9.0,1019.2,98,8
23/02/2015,5.8,8.8,2.7,0.1,1021.7,68,8
22/02/2015,7.5,8.3,6.6,2.1,1023.4,15,6
21/02/2015,10.3,11.8,8.9,0.3,1018.8,287,10
20/02/2015,8.8,12.0,5.7,7.8,1017.3,170,14
19/02/2015,6.5,9.7,3.4,0.0,1027.3,113,12
18/02/2015,5.5,10.2,0.9,0.0,1028.9,31,9
17/02/2015,9.4,12.5,6.4,0.0,1024.0,76,4
16/02/2015,12.6,14.2,10.9,0.0,1020.0,329,10
15/02/2015,14.8,17.0,12.5,2.8,1015.6,243,7
14/02/2015,12.2,18.4,6.1,1.8,1018.2,155,11
13/02/2015,8.6,12.9,4.3,0.0,1021.9,111,9
12/02/2015,8.7,11.9,5.4,0.0,1020.3,46,7
11/02/2015,7.7,15.1,0.3,0.0,1016.2,264,11
10/02/2015,3.5,10.7,-3.8,0.0,1021.9,210,5
09/02/2015,2.1,4.8,-0.6,0.0,1032.3,14,5
08/02/2015,3.0,5.4,0.6,0.0,1034.8,17,14
07/02/2015,4.6,10.8,-1.6,0.0,1026.4,3,8
06/02/2015,3.2,8.7,-2.2,0.0,1027.5,227,4
05/02/2015,3.8,6.3,1.3,0.0,1031.8,343,9
04/02/2015,5.8,8.5,3.2,0.0,1029.6,297,11
03/02/2015,5.7,6.7,4.6,0.0,1030.8,39,5
02/02/2015,5.5,6.9,4.1,0.0,1032.2,51,6
01/02/2015,4.0,5.7,2.4,0.4,1033.9,40,5

28/03/2015,14.3,20.5,8.2,0.0,1018.5,180,4
27/03/2015,11.4,12.6,10.3,1.4,1025.3,84,4
26/03/2015,12.3,15.4,9.2,19.5,1030.2,101,14
25/03/2015,10.8,14.3,7.4,0.0,1034.1,104,13
24/03/2015,10.7,13.7,7.6,0.0,1034.2,85,9
23/03/2015,10.9,12.9,9.0,0.0,1030.4,74,9
22/03/2015,14.6,19.1,10.1,0.0,1025.7,82,9
21/03/2015,14.5,19.3,9.7,0.0,1021.6,312,5
20/03/2015,11.6,14.1,9.1,2.5,1021.0,65,4
19/03/2015,12.8,15.8,9.7,7.2,1018.3,42,9
18/03/2015,13.6,15.8,11.3,16.6,1011.0,294,13
