Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-14.1,-5.9,-22.3,0.0,1033.3,38,6
27/01/2015,-14.6,-9.0,-20.1,0.0,1036.3,71,6
26/01/2015,-5.8,-1.1,-10.5,1.4,1031.2,357,12
25/01/2015,-3.8,0.5,-8.1,,1024.1,194,3
24/01/2015,-7.0,-3.7,-10.4,0.0,1028.4,32,7
23/01/2015,-8.2,3.0,-19.5,0.0,1019.9,254,9
22/01/2015,-12.8,-2.6,-23.1,0.0,1023.6,96,5
21/01/2015,-6.3,-4.0,-8.7,0.0,1028.5,38,7
20/01/2015,-10.3,-1.4,-19.2,0.6,1026.5,37,5
19/01/2015,-10.4,-5.9,-15.0,0.0,1028.4,95,6
18/01/2015,-7.7,-0.4,-15.0,5.1,1017.1,248,10
17/01/2015,-11.6,-3.7,-19.4,0.0,1028.1,126,5
16/01/2015,-9.9,-7.7,-12.1,0.0,1028.2,316,8
15/01/2015,-8.8,-7.2,-10.5,1.0,1026.8,352,8
14/01/2015,-8.0,-4.2,-11.8,0.0,1030.8,354,7
13/01/2015,-6.8,2.6,-16.1,0.0,1032.2,84,6
12/01/2015,-11.7,-4.5,-18.9,0.0,1037.3,57,5
11/01/2015,-10.2,-5.2,-15.1,0.0,1036.4,14,6
10/01/2015,-8.8,-0.6,-16.9,0.4,1023.5,12,8
09/01/2015,-12.2,-3.7,-20.7,0.0,1026.0,145,4
08/01/2015,-13.5,-6.5,-20.5,0.0,1029.8,68,3
07/01/2015,-11.7,-8.2,-15.2,0.0,1032.2,23,5
06/01/2015,-11.8,-3.8,-19.8,0.0,1025.6,322,9
05/01/2015,-4.5,1.7,-10.8,1.7,1021.5,316,12
04/01/2015,-5.4,1.4,-12.2,0.0,1017.8,69,3
03/01/2015,-8.1,1.6,-17.7,0.0,1014.1,162,9
02/01/2015,-13.2,-6.7,-19.6,0.0,1026.7,172,4
01/01/2015,-12.9,-8.9,-16.9,0.0,1027.6,162,5

28/02/2015,-2.8,1.6,-7.2,4.4,1021.0,208,14
27/02/2015,-6.7,-0.4,-13.0,0.0,1032.4,50,4
26/02/2015,-7.0,-3.0,-11.0,0.0,1026.6,327,9
25/02/2015,-1.4,2.2,-5.1,,1019.9,355,11
24/02/2015,-3.1,5.2,-11.4,0.0,1017.7,90,6
23/02/2015,-3.6,-0.1,-7.1,0.0,1020.2,240,7
22/02/2015,-3.0,-0.3,-5.8,0.0,1017.0,233,14
21/02/2015,2.4,5.3,-0.5,3.2,1012.6,232,13
20/02/2015,-3.6,4.9,-12.1,4.9,1020.5,191,9
19/02/2015,-6.5,2.1,-15.0,0.0,1027.2,103,4
18/02/2015,-8.2,-0.8,-15.6,0.0,1031.1,17,7
17/02/2015,-2.6,-1.0,-4.2,0.1,1024.1,13,7
16/02/2015,-0.9,0.6,-2.5,9.0,1016.1,340,9
15/02/2015,-0.1,5.5,-5.6,1.9,1019.5,67,5
14/02/2015,0.3,7.6,-7.0,0.0,1016.7,346,8
13/02/2015,-5.0,2.8,-12.9,0.0,1016.1,186,8
12/02/2015,-4.7,-0.2,-9.1,0.0,1019.2,275,7
11/02/2015,-8.8,-0.3,-17.3,0.0,1016.6,329,5
10/02/2015,-7.8,-1.8,-13.8,0.0,1016.3,82,5
09/02/2015,-11.9,-2.6,-21.2,0.0,1022.5,62,5
08/02/2015,-15.2,-10.9,-19.4,0.0,1032.5,149,6
07/02/2015,-7.7,-2.4,-12.9,0.0,1032.7,340,16
06/02/2015,-4.7,5.1,-14.5,0.0,1023.0,236,9
