Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-12.1,-6.2,-18.0,0.0,1033.0,200,5
27/01/2015,-13.4,-7.8,-19.0,0.0,1036.0,294,7
26/01/2015,-9.6,-6.5,-12.7,0.2,1032.9,301,13
25/01/2015,-6.2,-1.0,-11.3,0.8,1023.4,242,8
24/01/2015,-8.3,-3.6,-13.1,0.0,1028.9,84,5
23/01/2015,-7.5,-2.6,-12.3,0.0,1019.2,273,8
22/01/2015,-8.8,-1.1,-16.6,,1021.8,171,5
21/01/2015,-8.4,-3.9,-13.0,0.0,1029.3,278,7
20/01/2015,-10.9,-5.7,-16.1,0.0,1027.3,284,5
19/01/2015,-11.0,-7.4,-14.6,0.0,1027.3,168,5
18/01/2015,-8.3,-6.3,-10.3,0.2,1017.8,320,8
17/01/2015,-9.1,-2.8,-15.3,0.0,1025.6,196,8
16/01/2015,-9.3,-6.2,-12.4,,1028.2,290,10
15/01/2015,-11.3,-7.2,-15.4,0.5,1029.9,41,10
14/01/2015,-10.4,-6.6,-14.2,,1033.8,28,10
13/01/2015,-6.8,-1.5,-12.1,0.0,1032.3,338,8
12/01/2015,-9.9,-1.6,-18.2,0.0,1035.1,167,7
11/01/2015,-9.3,-4.3,-14.3,0.0,1036.5,43,7
10/01/2015,-7.6,-4.7,-10.5,0.6,1025.0,316,6
09/01/2015,-5.7,-0.4,-11.0,0.0,1023.1,259,8
08/01/2015,-9.4,-1.4,-17.4,0.0,1028.4,225,5
07/01/2015,-11.4,-5.9,-16.9,0.0,1032.2,216,5
06/01/2015,-10.2,-5.0,-15.5,0.0,1026.0,296,12
05/01/2015,-6.7,-2.4,-10.9,0.0,1021.6,287,15
04/01/2015,-8.1,-1.9,-14.2,0.0,1016.2,183,7
03/01/2015,-5.0,1.3,-11.4,0.0,1011.6,209,8
02/01/2015,-11.2,-6.1,-16.4,0.0,1023.4,205,8
01/01/2015,-13.7,-9.4,-17.9,0.0,1026.8,288,8

28/02/2015,-4.7,-2.0,-7.4,2.1,1017.3,237,11
27/02/2015,-6.5,0.7,-13.8,0.0,1031.3,215,7
26/02/2015,-9.4,-5.5,-13.3,0.0,1027.0,302,8
25/02/2015,-8.8,-5.2,-12.4,0.0,1023.0,327,8
24/02/2015,-7.0,-0.6,-13.3,0.0,1019.5,61,12
23/02/2015,-5.8,-0.6,-10.9,0.0,1019.0,278,8
22/02/2015,-4.5,-1.1,-7.8,,1014.0,272,16
21/02/2015,2.6,6.8,-1.5,1.3,1007.7,234,16
20/02/2015,0.1,7.1,-6.8,5.1,1014.8,194,14
19/02/2015,-4.0,4.4,-12.3,0.0,1023.9,162,8
18/02/2015,-3.5,1.4,-8.4,0.0,1031.8,319,8
17/02/2015,-1.8,2.2,-5.8,0.0,1025.8,344,12
16/02/2015,-2.9,0.3,-6.1,,1018.8,352,8
15/02/2015,-2.9,3.0,-8.7,0.0,1021.2,53,5
14/02/2015,-3.4,2.3,-9.1,0.0,1019.3,35,10
13/02/2015,-4.9,3.0,-12.8,0.0,1013.5,208,6
12/02/2015,-5.7,-0.7,-10.7,0.0,1018.7,296,9
11/02/2015,-7.4,-2.1,-12.7,0.0,1017.6,310,10
10/02/2015,-8.9,-2.1,-15.8,0.0,1016.6,324,7
09/02/2015,-8.1,-1.1,-15.0,0.0,1021.6,129,5
08/02/2015,-15.2,-8.4,-21.9,0.0,1030.4,280,9
07/02/2015,-13.3,-9.0,-17.6,0.0,1033.8,303,16
06/02/2015,-0.7,6.5,-7.9,0.0,1023.0,305,14
05/02/2015,-6.0,1.9,-13.9,0.0,1023.3,251,9
04/02/2015,-7.5,-2.5,-12.4,0.0,1029.9,331,6
03/02/2015,-7.5,-2.7,-12.2,0.0,1030.8,310,8
02/02/2015,-4.9,4.1,-13.9,0.0,1033.6,210,3
01/02/2015,-6.5,1.0,-14.1,0.0,1034.2,254,7

28/03/2015,8.7,11.9,5.4,0.0,1013.9,308,8
27/03/2015,15.1,23.2,7.0,0.0,1008.8,211,13
26/03/2015,13.8,24.3,3.2,0.0,1019.2,246,11
25/03/2015,8.6,19.0,-1.8,0.0,1025.1,195,9
24/03/2015,2.2,11.9,-7.5,0.0,1030.5,175,7
23/03/2015,-0.7,5.4,-6.8,0.0,1032.6,126,5
22/03/2015,-0.1,5.3,-5.4,0.0,1027.1,316,14
21/03/2015,5.8,12.6,-1.0,0.0,1018.8,290,12
20/03/2015,5.0,12.2,-2.2,0.0,1015.1,208,8
19/03/2015,5.7,11.6,-0.3,0.0,1016.8,284,8
18/03/2015,6.0,14.8,-2.9,0.0,1012.3,222,10
17/03/2015,3.1,8.7,-2.5,0.0,1021.7,97,7
16/03/2015,5.0,9.5,0.6,0.0,1017.0,321,9
15/03/2015,5.7,10.9,0.5,0.0,1012.3,223,10
14/03/2015,-0.3,6.8,-7.4,0.0,1014.9,195,10
13/03/2015,-2.0,4.1,-8.1,0.0,1023.4,270,7
12/03/2015,-4.0,1.3,-9.3,0.0,1017.5,309,10
11/03/2015,-5.0,0.6,-10.6,0.0,1019.9,289,11
10/03/2015,-7.3,-0.9,-13.8,0.0,1024.9,321,9
09/03/2015,-8.4,-4.9,-11.9,0.0,1032.0,297,14
08/03/2015,-2.0,1.6,-5.7,,1028.5,321,12
07/03/2015,1.6,6.2,-3.0,2.3,1022.8,0,9
06/03/2015,2.5,10.3,-5.2,0.0,1013.5,201,12
05/03/2015,-2.4,6.5,-11.3,0.0,1020.2,185,9
04/03/2015,-6.5,-1.7,-11.2,0.0,1027.2,204,8
03/03/2015,-5.8,-2.4,-9.1,1.3,1019.7,317,13
02/03/2015,-4.7,0.6,-9.9,0.0,1015.5,343,8
01/03/2015,-2.0,3.5,-7.6,0.0,1016.0,286,7

28/04/2015,19.6,25.2,14.1,0.1,1012.1,219,7
27/04/2015,24.0,30.6,17.4,0.5,1004.2,200,13
26/04/2015,24.9,35.5,14.3,0.0,1000.9,232,13
25/04/2015,21.5,31.8,11.2,0.0,1004.5,254,9
24/04/2015,13.2,19.8,6.7,0.0,1015.7,250,6
23/04/2015,14.7,17.6,11.7,0.0,1016.0,280,14
22/04/2015,13.9,24.4,3.4,0.0,1008.6,248,17
21/04/2015,9.6,16.8,2.3,0.0,1011.9,295,10
20/04/2015,9.7,17.6,1.8,0.0,1009.6,310,9
19/04/2015,11.8,15.5,8.1,0.0,1015.4,300,12
18/04/2015,11.8,21.0,2.6,0.0,1010.7,186,12
17/04/2015,10.6,19.1,2.0,0.0,1009.9,295,6
16/04/2015,9.0,12.7,5.3,0.0,1005.1,267,13
15/04/2015,16.3,24.9,7.7,1.8,996.1,230,15
14/04/2015,13.4,23.0,3.9,0.0,1001.8,187,8
13/04/2015,7.0,15.5,-1.4,0.0,1016.5,243,9
12/04/2015,3.5,7.0,-0.1,0.0,1032.3,15,16
11/04/2015,7.6,12.0,3.2,0.0,1027.5,52,20
10/04/2015,7.8,14.1,1.6,0.0,1022.4,77,10
09/04/2015,8.7,15.4,2.0,0.0,1018.3,293,8
08/04/2015,5.7,13.9,-2.6,0.0,1017.8,231,10
07/04/2015,0.8,5.8,-4.3,0.0,1027.7,251,8
06/04/2015,0.0,4.4,-4.4,0.0,1031.2,303,10
05/04/2015,2.2,6.8,-2.4,0.0,1022.4,301,14
04/04/2015,5.0,9.5,0.4,0.0,1014.9,12,13
03/04/2015,6.2,11.8,0.7,0.0,1014.9,57,6
02/04/2015,5.0,9.0,0.9,12.2,1005.1,17,12
01/04/2015,5.7,14.6,-3.2,0.2,1016.9,242,6

28/05/2015,24.4,30.7,18.2,0.0,999.7,212,13
27/05/2015,22.9,29.3,16.6,,1003.8,170,9
26/05/2015,23.5,29.0,18.0,0.0,1006.0,54,11
25/05/2015,25.8,33.1,18.4,0.0,1003.0,47,11
24/05/2015,26.4,35.9,16.8,0.0,1000.7,200,10
23/05/2015,23.4,33.7,13.1,0.0,1003.0,209,9
22/05/2015,23.4,32.0,14.8,0.0,1004.2,279,7
21/05/2015,22.1,29.2,15.1,0.0,1004.3,274,10
20/05/2015,17.4,26.0,8.8,0.0,1007.9,276,9
19/05/2015,12.2,15.1,9.2,5.8,1005.7,317,12
18/05/2015,14.6,19.4,9.8,0.3,997.7,280,10
17/05/2015,19.6,23.9,15.2,1.5,996.8,206,9
16/05/2015,18.6,26.8,10.5,0.0,1001.7,234,9
15/05/2015,15.2,22.8,7.5,0.0,1008.1,273,12
14/05/2015,17.5,21.6,13.4,0.0,1008.7,320,11
13/05/2015,15.6,23.6,7.5,,994.5,97,11
12/05/2015,10.8,13.9,7.8,24.3,987.6,283,10
