Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,-2.9,-1.0,-4.7,3.0,1031.7,127,8
27/01/2015,-2.1,1.1,-5.4,0.0,1033.3,7,11
26/01/2015,-0.6,4.8,-5.9,0.0,1031.6,12,15
25/01/2015,-1.3,1.2,-3.8,0.0,1027.5,157,4
24/01/2015,-0.2,2.4,-2.9,1.0,1025.4,47,8
23/01/2015,-0.8,8.3,-9.8,0.0,1020.6,15,8
22/01/2015,-4.1,4.9,-13.1,0.0,1025.2,236,4
21/01/2015,-1.2,3.7,-6.1,0.0,1030.2,62,5
20/01/2015,1.6,8.8,-5.6,0.0,1024.8,301,8
19/01/2015,-0.8,8.8,-10.4,0.0,1024.5,7,5
18/01/2015,-0.9,3.2,-5.0,0.0,1028.3,214,12
17/01/2015,-5.1,2.6,-12.8,0.0,1031.4,211,5
16/01/2015,-0.8,4.2,-5.9,0.0,1034.9,70,6
15/01/2015,-3.1,3.5,-9.8,0.0,1030.1,287,5
14/01/2015,-1.3,5.1,-7.7,0.0,1030.4,83,3
13/01/2015,-0.7,5.7,-7.0,0.0,1029.4,81,6
12/01/2015,-0.9,5.3,-7.1,0.0,1033.5,49,5
11/01/2015,0.7,9.8,-8.4,0.0,1033.4,49,6
10/01/2015,-1.1,9.2,-11.4,0.0,1030.0,31,5
09/01/2015,-0.8,7.9,-9.6,0.0,1032.4,128,4
08/01/2015,-1.4,8.1,-10.8,0.0,1033.1,231,5
07/01/2015,-1.9,4.6,-8.3,0.0,1032.5,206,4
06/01/2015,-4.3,1.3,-9.9,0.0,1029.1,223,3
05/01/2015,4.1,8.0,0.2,0.0,1024.4,0,12
04/01/2015,0.6,9.7,-8.6,0.0,1016.0,2,6
03/01/2015,-0.8,8.8,-10.3,0.0,1020.4,69,6
02/01/2015,-4.2,4.5,-12.9,0.0,1029.2,109,5
01/01/2015,-6.0,3.3,-15.2,0.0,1034.5,191,6

28/02/2015,-0.7,4.6,-6.0,0.0,1029.5,244,6
27/02/2015,-1.4,0.5,-3.3,4.1,1030.1,91,9
26/02/2015,0.8,7.1,-5.6,,1025.0,33,14
25/02/2015,3.4,7.4,-0.7,0.0,1021.9,342,10
24/02/2015,1.2,7.6,-5.2,0.0,1016.4,251,7
23/02/2015,-0.5,6.4,-7.3,0.0,1019.8,158,5
22/02/2015,-3.5,2.1,-9.0,0.0,1026.4,349,5
21/02/2015,-0.2,5.4,-5.9,0.0,1025.3,303,12
20/02/2015,0.0,1.4,-1.4,0.0,1021.0,224,3
19/02/2015,0.4,1.4,-0.6,8.2,1024.7,45,8
18/02/2015,4.5,9.5,-0.6,,1028.1,50,13
17/02/2015,4.5,14.2,-5.3,0.0,1023.3,30,13
16/02/2015,3.9,11.7,-3.9,0.0,1021.6,223,9
15/02/2015,4.8,11.7,-2.2,0.0,1020.4,248,11
14/02/2015,3.9,13.5,-5.8,0.0,1014.1,40,5
13/02/2015,1.1,11.5,-9.3,0.0,1018.9,342,4
12/02/2015,0.6,7.9,-6.7,0.0,1020.7,53,8
11/02/2015,3.2,9.3,-2.9,0.0,1019.1,240,7
10/02/2015,-0.5,9.9,-10.8,0.0,1020.3,237,6
09/02/2015,-2.6,6.5,-11.7,0.0,1030.0,134,4
08/02/2015,-4.1,4.6,-12.8,0.0,1033.8,38,6
07/02/2015,-2.2,5.1,-9.6,0.0,1033.4,16,14
06/02/2015,-1.9,5.6,-9.5,0.0,1027.7,184,5
05/02/2015,-1.9,4.3,-8.1,0.0,1033.3,48,3
04/02/2015,-3.1,3.6,-9.9,0.0,1037.0,317,5
03/02/2015,-3.9,3.0,-10.8,0.0,1037.2,327,7
02/02/2015,-4.0,0.8,-8.8,0.0,1033.6,49,7
01/02/2015,-2.5,3.2,-8.3,0.0,1032.6,13,7

28/03/2015,12.2,19.5,5.0,0.0,1016.9,71,5
27/03/2015,9.4,17.3,1.5,0.0,1021.0,214,9
26/03/2015,8.0,14.7,1.2,0.0,1029.2,219,6
25/03/2015,9.1,14.4,3.8,1.1,1030.2,25,6
24/03/2015,8.9,17.2,0.6,0.0,1028.2,86,8
23/03/2015,7.3,15.9,-1.3,0.0,1029.4,72,8
22/03/2015,7.7,14.5,0.8,0.0,1026.0,38,19
21/03/2015,10.3,19.0,1.7,0.0,1020.5,100,5
20/03/2015,9.7,18.3,1.1,0.0,1020.9,228,10
19/03/2015,10.2,17.6,2.7,0.0,1019.9,158,6
18/03/2015,9.6,13.7,5.4,0.0,1015.9,130,6
17/03/2015,12.6,16.8,8.3,0.0,1015.6,41,21
16/03/2015,13.3,21.6,5.0,0.0,1010.7,61,7
15/03/2015,8.2,18.0,-1.5,0.0,1015.3,222,9
14/03/2015,9.9,17.2,2.6,0.0,1018.8,202,11
13/03/2015,6.8,15.7,-2.2,0.0,1021.0,61,7
12/03/2015,6.1,17.1,-4.9,0.0,1016.0,44,7
11/03/2015,3.5,11.6,-4.6,0.0,1023.0,197,8
10/03/2015,-0.1,8.4,-8.7,0.0,1029.7,291,7
09/03/2015,1.9,6.3,-2.4,0.0,1034.8,43,10
08/03/2015,7.5,14.1,0.9,0.0,1023.4,353,11
07/03/2015,4.4,12.0,-3.2,0.0,1019.0,115,4
06/03/2015,3.0,11.1,-5.1,0.0,1020.3,213,7
05/03/2015,1.4,4.4,-1.7,,1025.0,200,9
04/03/2015,-3.0,3.7,-9.6,0.0,1027.6,65,8
03/03/2015,-0.2,3.2,-3.7,0.0,1027.1,28,9
02/03/2015,2.7,9.7,-4.3,,1017.9,298,11
01/03/2015,1.6,9.0,-5.9,0.0,1022.4,207,9

28/04/2015,20.4,27.9,13.0,0.0,1010.0,30,17
27/04/2015,20.0,29.2,10.8,,1005.0,276,9
26/04/2015,17.9,26.6,9.3,0.0,1010.8,262,6
25/04/2015,18.6,27.8,9.4,0.0,1016.1,245,8
24/04/2015,19.6,25.0,14.1,0.0,1019.5,110,9
23/04/2015,18.9,28.0,9.9,0.0,1016.9,345,9
22/04/2015,15.2,24.7,5.7,0.0,1017.6,189,9
21/04/2015,15.6,25.1,6.1,0.0,1015.7,258,11
20/04/2015,11.9,19.9,4.0,0.0,1015.0,193,7
19/04/2015,12.6,15.8,9.3,0.4,1016.3,53,7
18/04/2015,14.5,18.4,10.6,3.8,1011.4,7,13
17/04/2015,15.8,26.4,5.2,0.0,1007.1,43,11
16/04/2015,11.9,17.5,6.4,0.0,1013.6,48,5
15/04/2015,18.3,29.9,6.7,0.0,1006.6,308,21
14/04/2015,11.4,22.9,0.0,0.0,1010.1,196,7
13/04/2015,7.5,14.0,1.1,0.0,1024.0,250,8
12/04/2015,6.4,9.6,3.2,0.0,1028.9,352,18
11/04/2015,12.7,20.9,4.5,0.0,1020.4,303,11
10/04/2015,10.4,19.8,1.0,0.0,1020.2,190,6
09/04/2015,9.9,15.4,4.4,,1022.1,129,7
08/04/2015,9.1,14.0,4.2,4.9,1021.2,23,5
07/04/2015,7.3,13.4,1.2,0.4,1026.8,90,9
06/04/2015,7.8,11.5,4.2,0.0,1027.7,31,13
05/04/2015,11.7,16.0,7.4,0.0,1021.0,333,14
04/04/2015,10.3,14.2,6.4,0.4,1014.1,251,8
03/04/2015,8.6,14.9,2.3,1.9,1010.0,20,12
02/04/2015,5.9,11.4,0.4,0.0,1006.1,290,6
01/04/2015,4.1,7.2,1.0,9.1,1013.9,30,23

28/05/2015,22.6,26.1,19.2,1.7,1003.8,185,5
27/05/2015,25.4,33.9,17.0,0.0,1001.1,81,11
26/05/2015,24.7,32.7,16.7,0.0,1003.6,126,5
25/05/2015,23.8,33.0,14.5,0.0,1005.5,155,5
24/05/2015,22.6,31.3,13.8,0.0,1005.6,147,7
23/05/2015,21.4,30.9,11.8,0.0,1007.1,111,9
22/05/2015,18.9,28.6,9.2,0.0,1009.9,198,6
21/05/2015,15.6,18.2,12.9,1.2,1016.1,209,6
20/05/2015,16.9,24.4,9.4,0.9,1015.8,76,8
19/05/2015,20.9,26.4,15.3,0.0,1011.0,27,13
18/05/2015,22.9,30.1,15.8,0.0,1002.7,349,9
17/05/2015,23.2,32.0,14.4,2.4,999.2,230,13
16/05/2015,18.4,27.3,9.4,0.0,1007.5,191,7
15/05/2015,19.9,26.1,13.8,0.0,1012.6,56,12
14/05/2015,21.8,26.8,16.7,0.0,1007.2,157,10
13/05/2015,20.1,32.3,8.0,0.0,999.9,300,10
12/05/2015,16.4,25.6,7.3,0.0,1002.1,251,12
11/05/2015,11.9,16.9,7.0,0.0,1010.4,266,13
10/05/2015,9.2,11.0,7.4,14.0,1015.7,280,9
09/05/2015,11.8,16.1,7.6,2.8,1011.7,49,20
08/05/2015,17.8,27.0,8.6,3.7,1007.5,223,10
07/05/2015,13.3,19.9,6.8,0.0,1012.2,200,9
06/05/2015,18.4,22.7,14.1,0.4,1008.7,61,15
05/05/2015,19.0,27.3,10.7,,1004.4,2,14
04/05/2015,15.7,24.0,7.3,0.0,1012.5,212,11
03/05/2015,18.6,24.2,13.0,0.0,1015.2,345,13
02/05/2015,16.6,25.0,8.1,0.0,1010.7,244,6
01/05/2015,16.9,19.8,13.9,5.5,1009.8,5,8

28/06/2015,24.6,29.9,19.2,6.2,1004.1,325,8
27/06/2015,25.9,33.0,18.8,,1003.3,103,7
26/06/2015,25.7,32.5,18.9,0.0,998.8,196,6
25/06/2015,22.4,26.1,18.8,0.0,1000.1,200,6
24/06/2015,20.1,22.6,17.7,0.1,1004.6,138,5
23/06/2015,22.5,25.8,19.2,0.1,1006.8,161,7
22/06/2015,23.4,30.0,16.7,0.4,1003.9,33,7
21/06/2015,20.4,23.3,17.4,,1007.7,27,5
20/06/2015,21.6,27.2,16.0,0.3,1010.2,185,5
19/06/2015,23.9,31.9,15.8,0.0,1007.1,74,14
18/06/2015,23.7,30.6,16.8,0.0,1005.2,46,9
17/06/2015,23.9,30.5,17.2,0.0,1004.1,44,6
16/06/2015,23.0,30.7,15.3,0.0,1002.5,16,4
15/06/2015,23.1,27.2,19.1,0.0,1006.0,154,5
14/06/2015,22.6,30.1,15.1,0.0,1006.6,123,6
13/06/2015,20.9,27.8,14.1,0.0,1006.2,17,6
12/06/2015,22.1,29.9,14.4,0.0,1002.0,322,11
11/06/2015,20.8,27.3,14.2,,1003.2,267,15
10/06/2015,25.1,31.2,19.1,0.0,1001.8,262,14
09/06/2015,25.6,34.7,16.4,0.8,997.8,241,12
08/06/2015,20.4,31.0,9.9,0.0,1003.7,183,9
07/06/2015,21.1,27.0,15.2,0.5,1008.3,54,9
06/06/2015,22.9,31.7,14.0,0.0,1002.3,304,8
05/06/2015,21.9,32.8,10.9,0.0,999.3,230,9
04/06/2015,19.4,24.4,14.4,1.3,1005.7,241,12
03/06/2015,22.9,28.8,16.9,0.2,1011.4,231,9
02/06/2015,23.5,29.7,17.3,0.0,1009.2,14,14
01/06/2015,24.3,32.0,16.6,0.0,1002.3,208,8

28/07/2015,27.8,34.8,20.8,0.0,1000.3,108,4
27/07/2015,28.0,34.7,21.3,0.0,1001.8,113,5
26/07/2015,27.5,35.4,19.6,0.0,1003.5,50,4
25/07/2015,24.1,33.1,15.2,0.0,1002.0,152,5
24/07/2015,22.9,29.6,16.2,0.2,1002.5,181,6
23/07/2015,24.6,30.9,18.2,0.0,1004.2,190,5
22/07/2015,24.1,30.0,18.2,0.3,1004.9,17,6
21/07/2015,24.1,28.4,19.8,,1004.5,121,4
20/07/2015,23.6,30.0,17.1,0.1,1006.0,84,5
19/07/2015,23.5,28.5,18.5,0.0,1006.2,117,5
18/07/2015,21.7,26.9,16.5,0.0,1005.1,1,3
17/07/2015,21.7,26.2,17.2,29.1,1006.2,14,7
16/07/2015,21.1,26.7,15.6,0.0,1006.3,58,9
15/07/2015,20.2,22.6,17.8,12.9,1007.8,359,7
14/07/2015,26.4,34.0,18.9,2.2,1003.4,72,7
13/07/2015,27.0,34.4,19.6,,1000.2,169,5
12/07/2015,27.4,35.4,19.3,0.0,999.8,106,5
11/07/2015,25.4,32.7,18.0,0.0,1004.6,57,9
10/07/2015,24.1,30.0,18.2,0.0,1008.8,51,6
09/07/2015,23.9,30.8,17.1,0.0,1010.2,132,9
08/07/2015,25.9,32.7,19.1,0.0,1008.9,67,11
07/07/2015,24.8,32.2,17.4,0.0,1007.5,80,7
06/07/2015,24.1,30.4,17.8,0.0,1007.9,63,8
05/07/2015,23.9,31.0,16.8,0.0,1006.5,125,8
04/07/2015,24.6,32.0,17.3,0.0,1006.0,165,11
03/07/2015,23.4,31.0,15.7,0.0,1006.8,130,7
02/07/2015,24.2,30.8,17.6,0.0,1003.8,26,9
01/07/2015,23.1,33.1,13.0,0.0,1000.3,352,5

28/08/2015,21.9,30.5,13.4,0.0,1008.1,65,4
27/08/2015,21.3,29.9,12.7,0.0,1010.5,87,4
26/08/2015,21.5,27.7,15.3,,1010.9,126,5
25/08/2015,21.2,28.1,14.4,0.0,1010.6,64,6
24/08/2015,21.1,27.5,14.7,0.0,1010.8,64,8
23/08/2015,23.1,30.3,16.0,0.2,1008.9,52,6
22/08/2015,22.4,30.9,13.8,0.0,1006.1,48,5
21/08/2015,21.8,30.2,13.3,0.0,1007.3,180,4
20/08/2015,22.4,29.6,15.2,0.0,1009.6,129,5
19/08/2015,23.4,28.6,18.3,0.0,1010.3,171,5
18/08/2015,23.4,29.0,17.7,0.3,1010.0,163,4
17/08/2015,24.9,29.6,20.3,0.0,1007.3,171,6
16/08/2015,23.9,31.8,16.1,0.1,1006.4,172,3
15/08/2015,22.9,30.2,15.6,0.0,1007.3,86,5
14/08/2015,23.1,27.6,18.7,0.0,1006.7,183,4
13/08/2015,22.9,30.9,15.0,7.1,1005.3,107,4
12/08/2015,25.4,30.2,20.5,0.2,1008.3,109,4
11/08/2015,23.9,29.4,18.3,0.0,1008.8,29,5
10/08/2015,25.3,31.8,18.8,0.0,1009.2,52,7
09/08/2015,25.6,32.6,18.7,0.0,1010.2,38,8
08/08/2015,24.4,29.4,19.5,0.0,1012.2,68,5
07/08/2015,24.6,30.8,18.5,0.0,1011.2,50,7
06/08/2015,23.9,31.3,16.5,0.4,1006.9,62,7
05/08/2015,24.6,30.7,18.5,0.0,1003.4,206,5
04/08/2015,21.6,28.4,14.8,0.0,1004.7,187,5
03/08/2015,21.9,26.1,17.8,20.8,1004.2,77,6
02/08/2015,24.4,29.4,19.4,,1002.5,186,4
01/08/2015,25.7,29.8,21.6,40.2,1004.0,119,8

28/09/2015,16.9,18.4,15.4,,1021.0,44,15
27/09/2015,19.4,26.7,12.1,3.1,1014.6,96,4
26/09/2015,17.1,26.1,8.0,0.0,1014.0,137,5
25/09/2015,17.0,24.2,9.8,0.0,1013.2,55,4
24/09/2015,19.2,26.1,12.4,0.0,1010.2,195,5
23/09/2015,15.0,20.3,9.7,0.0,1012.2,204,3
22/09/2015,17.3,19.4,15.2,2.3,1011.7,193,5
21/09/2015,19.6,25.8,13.4,0.0,1010.1,128,5
20/09/2015,20.2,26.5,14.0,0.0,1012.1,155,4
19/09/2015,19.1,26.3,11.8,0.0,1015.6,142,5
18/09/2015,20.4,25.7,15.2,0.0,1018.0,48,5
17/09/2015,19.2,25.9,12.6,2.0,1017.6,44,2
16/09/2015,17.8,24.5,11.0,0.0,1018.4,71,5
15/09/2015,17.8,23.8,11.7,0.0,1018.7,57,7
14/09/2015,17.9,25.3,10.4,0.0,1017.7,48,10
13/09/2015,14.6,22.2,6.9,0.0,1018.9,277,3
12/09/2015,14.4,21.1,7.7,0.0,1021.7,222,5
11/09/2015,18.1,23.0,13.2,0.0,1018.7,331,7
10/09/2015,16.0,16.8,15.2,23.5,1017.4,62,5
09/09/2015,16.9,17.6,16.2,24.9,1019.6,37,9
08/09/2015,20.7,25.9,15.5,8.4,1014.4,55,9
07/09/2015,19.5,25.8,13.2,0.0,1013.6,32,5
06/09/2015,18.6,21.3,16.0,0.0,1013.9,52,11
05/09/2015,23.1,28.6,17.5,0.0,1007.2,99,9
04/09/2015,18.1,19.3,16.9,6.6,1010.5,126,4
03/09/2015,21.6,28.3,14.8,5.5,1013.0,69,7
02/09/2015,19.8,27.1,12.4,0.0,1015.0,53,6
01/09/2015,18.9,24.1,13.7,3.5,1013.9,65,6

28/10/2015,8.4,16.7,0.1,0.0,1023.3,37,5
27/10/2015,6.7,15.5,-2.1,0.0,1021.1,211,7
26/10/2015,8.2,11.6,4.9,0.0,1024.7,256,8
25/10/2015,7.2,9.3,5.2,7.7,1025.2,39,11
24/10/2015,9.9,13.1,6.8,11.5,1025.9,28,9
23/10/2015,12.0,15.4,8.6,0.0,1020.2,102,4
22/10/2015,9.2,9.5,8.8,10.5,1022.2,71,5
21/10/2015,14.7,19.9,9.5,0.0,1019.6,42,18
20/10/2015,15.9,23.8,8.1,0.0,1013.9,53,9
19/10/2015,16.1,22.7,9.6,0.0,1015.4,105,4
18/10/2015,15.1,18.5,11.7,0.0,1021.3,49,14
17/10/2015,15.4,23.4,7.5,0.0,1019.5,26,5
16/10/2015,15.0,25.2,4.8,0.0,1018.9,50,4
15/10/2015,13.3,23.2,3.4,0.0,1020.8,111,5
14/10/2015,12.7,18.4,6.9,,1021.0,174,5
13/10/2015,12.3,21.5,3.1,,1021.7,158,4
12/10/2015,10.8,21.1,0.6,0.0,1025.4,61,4
11/10/2015,8.7,18.4,-1.0,0.0,1026.1,194,4
10/10/2015,8.4,14.3,2.5,0.0,1022.8,51,7
09/10/2015,12.1,20.7,3.4,0.0,1015.6,271,11
08/10/2015,12.2,15.1,9.2,0.0,1023.0,250,10
07/10/2015,17.2,24.8,9.7,0.0,1017.8,256,11
06/10/2015,15.9,23.7,8.1,0.4,1017.7,277,6
05/10/2015,15.7,24.9,6.4,0.0,1020.3,56,3
04/10/2015,14.6,23.1,6.0,0.0,1024.3,261,4
03/10/2015,13.0,21.4,4.6,0.0,1024.0,180,5
02/10/2015,12.5,22.4,2.6,0.0,1018.3,164,6
01/10/2015,14.2,20.1,8.4,0.0,1020.6,234,8

28/11/2015,1.1,7.9,-5.6,0.0,1026.7,148,3
27/11/2015,-1.9,5.1,-8.9,0.0,1026.3,105,4
26/11/2015,-7.0,0.0,-13.9,0.0,1031.6,37,5
25/11/2015,-6.8,-0.4,-13.1,,1033.8,17,10
24/11/2015,-5.8,-2.8,-8.9,2.1,1035.2,90,5
23/11/2015,1.9,5.1,-1.2,5.0,1033.7,47,20
