Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

28/01/2015,0.1,0.4,-0.2,11.8,1027.7,14,12
27/01/2015,4.0,6.4,1.5,9.6,1027.7,24,20
26/01/2015,6.0,7.2,4.7,4.8,1024.4,25,9
25/01/2015,7.0,9.1,4.8,0.1,1024.1,12,7
24/01/2015,12.2,15.2,9.3,1.2,1018.7,48,7
23/01/2015,7.3,13.5,1.1,0.0,1017.6,114,8
22/01/2015,5.1,12.9,-2.7,0.0,1023.7,79,6
21/01/2015,7.8,15.4,0.2,0.0,1027.0,17,9
20/01/2015,10.2,15.7,4.6,0.0,1022.3,169,3
19/01/2015,6.5,14.7,-1.8,0.0,1025.5,128,4
18/01/2015,7.4,13.7,1.1,0.0,1029.5,237,5
17/01/2015,5.2,12.0,-1.7,0.0,1031.0,54,5
16/01/2015,7.2,13.9,0.4,0.0,1030.4,4,4
15/01/2015,5.8,12.1,-0.4,0.0,1027.7,335,4
14/01/2015,5.4,11.9,-1.1,0.0,1028.7,359,2
13/01/2015,7.5,11.3,3.8,0.0,1028.3,6,4
12/01/2015,8.2,11.6,4.9,,1029.7,19,9
11/01/2015,7.5,16.0,-1.0,0.0,1028.5,105,3
10/01/2015,7.8,15.0,0.5,0.0,1028.1,190,2
09/01/2015,6.1,12.6,-0.4,0.0,1030.1,285,2
08/01/2015,4.5,11.6,-2.7,0.0,1032.1,287,2
07/01/2015,4.0,10.0,-2.0,0.0,1031.6,225,1
06/01/2015,6.7,9.9,3.4,5.2,1026.6,357,9
05/01/2015,10.7,13.8,7.6,1.3,1017.2,5,10
04/01/2015,10.3,19.3,1.4,0.0,1012.4,91,5
03/01/2015,6.5,14.2,-1.3,0.0,1019.2,190,3
02/01/2015,3.4,9.5,-2.8,0.0,1027.6,60,3
01/01/2015,2.7,9.3,-3.9,0.0,1033.1,16,2

28/02/2015,3.4,5.6,1.2,2.2,1029.0,333,11
27/02/2015,7.6,9.9,5.3,30.4,1021.2,22,16
26/02/2015,10.3,12.4,8.2,29.8,1018.3,61,6
25/02/2015,9.7,10.5,8.9,5.7,1017.5,318,4
24/02/2015,8.8,11.3,6.4,2.8,1016.2,331,4
23/02/2015,8.3,10.4,6.2,1.3,1019.9,356,5
22/02/2015,8.1,12.1,4.0,7.2,1022.0,8,7
21/02/2015,7.2,11.9,2.5,0.0,1020.7,313,5
20/02/2015,5.8,6.4,5.1,10.8,1018.0,335,9
19/02/2015,8.6,11.4,5.8,2.2,1020.1,8,10
18/02/2015,11.5,14.4,8.6,0.3,1022.1,36,10
17/02/2015,12.0,20.4,3.6,0.0,1018.3,94,5
16/02/2015,11.9,17.0,6.8,0.0,1020.3,288,4
15/02/2015,13.1,16.7,9.5,0.0,1017.7,15,2
14/02/2015,9.4,13.7,5.1,3.5,1013.6,139,10
13/02/2015,10.9,19.8,2.0,0.0,1017.2,76,6
