"airportId","airportName","weatherId","longitude","latitude"
"CGO","郑州新郑国际机场","57083","113.6401","34.7247"
"CKG","重庆江北国际机场","57516","106.5404","29.4027"
"CTU","成都双流国际机场","57516","104.1019","30.6598"
"FOC","福州长乐国际机场","58847","119.2734","26.0477"
"HET","呼和浩特白塔国际机场","53463","111.623","40.8077"
"HFE","合肥新桥国际机场","58321","117.3079","31.7932"
"HGH","杭州萧山国际机场","58457","120.212","30.2084"
"HRB","哈尔滨太平国际机场","50953","126.9572","45.5477"
"JDZ","景德镇罗家机场","58527","117.1837","29.2732"
"KMG","昆明长水国际机场","56778","102.8215","24.8855"
"KWL","桂林两江国际机场","57957","110.3019","25.314"
"NKG","南京禄口国际机场","58238","118.8921","31.3275"
"PEK","北京首都国际机场","54511","116.2313","40.2208"
"PVG","上海浦东国际机场","58362","121.4894","31.4053"
"SHA","上海虹桥国际机场","58362","121.4894","31.4053"
"SHE","沈阳桃仙国际机场","54342","123.4699","41.8051"
"SJW","石家庄正定国际机场","53698","114.5395","38.0365"
"SYX","三亚凤凰国际机场","59948","109.7525","18.4001"
"SZX","深圳宝安国际机场","59493","113.8831","22.5533"
"TAO","青岛流亭国际机场","54857","120.3963","36.3074"
"TGO","通辽机场","54135","122.2562","43.6224"
"TLQ","吐鲁番交河机场","51573","89.186","42.9424"
"TNA","济南遥墙国际机场","54823","116.752","36.5536"
"TYN","太原武宿国际机场","53772","112.487","37.9404"
"URC","乌鲁木齐地窝堡国际机场","51463","88.311","43.3638"
"WUH","武汉天河国际机场","57494","114.0292","30.582"
"XMN","厦门高崎国际机场","59134","118.0339","24.484"
