YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AA,2336,N3KUAA,LAX,PBI,10,2.0,-8.0,12.0,14.0,280.0,279.0,263.0,2330,737.0,4.0,750,741.0,-9.0,0,0,,,,,,
2015,1,1,4,US,840,N171US,SFO,CLT,20,18.0,-2.0,16.0,34.0,286.0,293.0,266.0,2296,800.0,11.0,806,811.0,5.0,0,0,,,,,,
2015,1,1,4,AS,135,N527AS,SEA,ANC,25,24.0,-1.0,11.0,35.0,235.0,215.0,199.0,1448,254.0,5.0,320,259.0,-21.0,0,0,,,,,,
2015,1,1,4,NK,612,N635NK,LAS,MSP,25,19.0,-6.0,11.0,30.0,181.0,170.0,154.0,1299,504.0,5.0,526,509.0,-17.0,0,0,,,,,,
2015,1,1,4,DL,2324,N3751B,SLC,ATL,40,34.0,-6.0,18.0,52.0,215.0,199.0,176.0,1590,548.0,5.0,615,553.0,-22.0,0,0,,,,,,
2015,1,1,4,NK,168,N629NK,PHX,ORD,125,237.0,72.0,9.0,246.0,204.0,175.0,156.0,1440,622.0,10.0,549,632.0,43.0,0,0,,43.0,0.0,0.0,0.0,0.0
2015,1,1,4,HA,102,N492HA,HNL,ITO,500,452.0,-8.0,10.0,502.0,49.0,51.0,35.0,216,537.0,6.0,549,543.0,-6.0,0,0,,,,,,
2015,1,1,4,AA,1057,N3ASAA,DFW,MIA,515,703.0,108.0,15.0,718.0,161.0,155.0,133.0,1121,1031.0,7.0,856,1038.0,102.0,0,0,,0.0,0.0,0.0,0.0,102.0
2015,1,1,4,AA,89,N3KVAA,IAH,MIA,520,618.0,58.0,19.0,637.0,141.0,137.0,111.0,964,928.0,7.0,841,935.0,54.0,0,0,,0.0,0.0,54.0,0.0,0.0
2015,1,1,4,B6,2023,N324JB,JFK,SJU,535,618.0,43.0,13.0,631.0,225.0,201.0,184.0,1598,1035.0,4.0,1020,1039.0,19.0,0,0,,0.0,0.0,19.0,0.0,0.0
2015,1,1,4,EV,3268,N14998,ATL,IAD,540,556.0,16.0,9.0,605.0,105.0,103.0,79.0,534,724.0,15.0,725,739.0,14.0,0,0,,,,,,
2015,1,1,4,AA,196,N3FBAA,MIA,PHL,600,604.0,4.0,18.0,622.0,164.0,174.0,148.0,1013,850.0,8.0,844,858.0,14.0,0,0,,,,,,
2015,1,1,4,AA,233,N3BEAA,BWI,MIA,600,643.0,43.0,21.0,704.0,163.0,151.0,124.0,946,908.0,6.0,843,914.0,31.0,0,0,,0.0,0.0,31.0,0.0,0.0
2015,1,1,4,EV,4213,N17560,MHT,ORD,600,555.0,-5.0,16.0,611.0,173.0,174.0,153.0,843,744.0,5.0,753,749.0,-4.0,0,0,,,,,,
2015,1,1,4,WN,343,N8649A,MDW,PHX,625,625.0,0.0,22.0,647.0,240.0,251.0,224.0,1444,931.0,5.0,925,936.0,11.0,0,0,,,,,,
2015,1,2,5,AA,2400,N5CDAA,LAX,DFW,5,2359.0,-6.0,22.0,21.0,170.0,174.0,147.0,1235,448.0,5.0,455,453.0,-2.0,0,0,,,,,,
2015,1,2,5,US,580,N105UW,SLC,PHL,10,22.0,12.0,20.0,42.0,244.0,233.0,210.0,1927,612.0,3.0,614,615.0,1.0,0,0,,,,,,
