出发机场,到达机场,航班号,计划出发,计划到达,实际出发,实际到达,飞机号,是否取消,计划出发日期,计划到达日期,实际出发日期,实际到达日期,出发延迟,到达延迟,出发经度,出发纬度,到达经度,到达纬度,距离,平均温度,最高温度,最低温度,降水量,气压,风向,风速
SHA,XMN,FM9261,1452760800,1452767100,1452762600.0,1452767940.0,2.0,正常,2016-01-14,2016-01-14,2016-01-14,2016-01-14,30.0,14.0,121,31,118,24,507,2.3,6.7,-2.1,0.0,1024.3,231.0,2.0
SHE,TAO,TZ185,1452399000,1452406800,1452399900.0,1452404340.0,5.0,正常,2016-01-10,2016-01-10,2016-01-10,2016-01-10,15.0,-41.0,123,41,120,36,442,-12.7,-8.2,-17.1,0.0,1033.2,57.0,5.0
WUH,HRB,3U8726,1452677100,1452687900,1452677700.0,1452687780.0,19.0,正常,2016-01-13,2016-01-13,2016-01-13,2016-01-13,10.0,-2.0,114,30,126,45,1564,4.0,7.3,0.8,0.0,1027.9,17.0,3.0
KMG,PEK,MU5705,1453787400,1453799700,1453789380.0,1453799160.0,22.0,正常,2016-01-26,2016-01-26,2016-01-26,2016-01-26,33.0,-9.0,102,24,116,40,1647,5.3,12.0,-1.4,0.0,,207.0,11.0
WUH,KMG,CZ3542,1453034700,1453044000,1453035060.0,1453042800.0,23.0,正常,2016-01-17,2016-01-17,2016-01-17,2016-01-17,6.0,-20.0,114,30,102,24,1348,7.8,11.9,3.8,0.0,1021.4,13.0,7.0
CKG,PEK,CA4141,1453010400,1453020000,1453010940.0,1453018260.0,27.0,正常,2016-01-17,2016-01-17,2016-01-17,2016-01-17,9.0,-29.0,106,29,116,40,1190,10.9,14.4,7.5,0.0,1018.3,301.0,5.0
PEK,CTU,CA4118,1452171600,1452183000,1452174540.0,1452183600.0,29.0,正常,2016-01-07,2016-01-07,2016-01-07,2016-01-07,49.0,10.0,116,40,104,30,1382,-1.8,2.0,-5.5,0.0,1030.1,349.0,9.0
NKG,KMG,MU2719,1452555000,1452566100,1452555660.0,1452565380.0,32.0,正常,2016-01-11,2016-01-12,2016-01-11,2016-01-12,11.0,-12.0,118,31,102,24,1795,4.8,7.0,2.5,6.5,1029.0,27.0,11.0
CTU,URC,CZ6926,1452495900,1452510000,1452496620.0,1452508680.0,35.0,正常,2016-01-11,2016-01-11,2016-01-11,2016-01-11,12.0,-22.0,104,30,88,43,1774,11.4,13.7,9.2,,1021.2,29.0,4.0
SYX,WUH,HU7253,1453881600,1453890300,1453882620.0,1453889940.0,37.0,正常,2016-01-27,2016-01-27,2016-01-27,2016-01-27,17.0,-6.0,109,18,114,30,737,15.7,18.6,12.7,0.4,1019.3,346.0,9.0
NKG,PEK,MU2831,1453791300,1453798200,1453793580.0,1453799280.0,39.0,正常,2016-01-26,2016-01-26,2016-01-26,2016-01-26,38.0,18.0,118,31,116,40,505,0.1,7.2,-7.0,0.0,1030.8,117.0,5.0
