Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp

06/07/2021,28.6,32.1,25.0,0.0,1004.5,286,2
05/07/2021,26.6,28.2,25.0,24.0,1005.0,37,2
04/07/2021,27.3,30.4,24.2,0.1,1005.2,322,1
03/07/2021,27.3,30.4,24.2,0.4,1003.3,47,3
02/07/2021,26.4,27.9,25.0,10.1,999.7,207,7
01/07/2021,28.7,32.2,25.2,24.3,1000.7,117,8
30/06/2021,30.1,35.0,25.3,0.3,1001.6,179,4
29/06/2021,30.1,35.0,25.2,0.0,1000.9,42,2
28/06/2021,29.7,34.2,25.2,0.0,1001.4,55,6
27/06/2021,30.1,34.1,26.0,27.9,1000.8,355,3
26/06/2021,29.8,35.0,24.5,6.9,1001.8,145,6
25/06/2021,28.9,35.0,22.8,0.0,1002.9,232,3
24/06/2021,27.4,34.4,20.4,0.0,1004.7,142,4
23/06/2021,27.4,34.4,20.4,0.0,1006.7,123,5
22/06/2021,27.4,33.2,21.5,0.0,1006.2,24,4
21/06/2021,24.8,28.6,21.0,0.0,1004.2,311,1
